Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
5,RI_gub,2,6,0.39,0.61,Non-Solver,N/A
7,RI_gub,2,8,0.11,0.89,Non-Solver,N/A
8,RI_gub,1,10,0.93,0.07,Solver,N/A
9,RI_gub,2,2,0.49,0.51,Non-Solver,N/A
18,RI_gub,2,2,0.47,0.53,Non-Solver,N/A
23,RI_gub,1,2,0.51,0.49,Solver,N/A
25,RI_gub,1,6,0.55,0.45,Solver,N/A
26,RI_gub,1,2,0.5,0.5,Solver,N/A
34,RI_gub,2,4,0.55,0.45,Non-Solver,N/A
39,RI_gub,1,6,0.5,0.5,Solver,N/A
44,RI_gub,1,2,0.68,0.32,Solver,N/A
54,RI_gub,1,2,0.51,0.49,Solver,N/A
68,RI_gub,2,8,0.73,0.27,Non-Solver,N/A
70,RI_gub,2,2,0.78,0.22,Non-Solver,N/A
85,RI_gub,1,8,0.54,0.46,Solver,N/A
91,RI_gub,1,2,0.5,0.5,Solver,N/A
93,RI_gub,2,2,0.49,0.51,Non-Solver,N/A
94,RI_gub,2,2,0.62,0.38,Non-Solver,N/A
97,RI_gub,2,4,0.44,0.56,Non-Solver,N/A
102,RI_gub,1,2,0.5,0.5,Solver,N/A
107,RI_gub,1,6,0.77,0.23,Solver,N/A
110,RI_gub,2,2,0.48,0.52,Non-Solver,N/A
117,RI_gub,1,8,0.71,0.29,Solver,N/A
122,RI_gub,1,2,0.5,0.5,Solver,N/A
131,RI_gub,1,6,0.54,0.46,Solver,N/A
132,RI_gub,2,6,0.58,0.42,Non-Solver,N/A
150,RI_gub,1,2,0.51,0.49,Solver,N/A
151,RI_gub,1,2,0.5,0.5,Solver,N/A
154,RI_gub,1,4,0.52,0.48,Solver,N/A
157,RI_gub,1,2,0.4,0.6,Solver,N/A
158,RI_gub,1,6,0.52,0.48,Solver,N/A
159,RI_gub,1,6,0.41,0.59,Solver,N/A
164,RI_gub,2,2,0.43,0.57,Non-Solver,N/A
172,RI_gub,1,6,0.88,0.12,Solver,N/A
177,RI_gub,2,6,0.21,0.79,Non-Solver,N/A
189,RI_gub,1,8,0.71,0.29,Solver,N/A
192,RI_gub,1,2,0.51,0.49,Solver,N/A
202,RI_gub,1,6,0.56,0.44,Solver,N/A
203,RI_gub,1,10,0.67,0.33,Solver,N/A
204,RI_gub,1,6,0.7,0.3,Solver,N/A
207,RI_gub,1,6,0.66,0.34,Solver,N/A
208,RI_gub,1,2,0.51,0.49,Solver,N/A
209,RI_gub,2,6,0.31,0.69,Non-Solver,N/A
210,RI_gub,2,6,0.4,0.6,Non-Solver,N/A
212,RI_gub,1,8,0.79,0.21,Solver,N/A
222,RI_gub,1,6,0.61,0.39,Solver,N/A
230,RI_gub,1,6,0.51,0.49,Solver,N/A
233,RI_gub,2,6,0.25,0.75,Non-Solver,N/A
234,RI_gub,1,8,0.69,0.31,Solver,N/A
236,RI_gub,1,8,0.84,0.16,Solver,N/A
239,RI_gub,1,6,0.7,0.3,Solver,N/A
243,RI_gub,1,6,0.56,0.44,Solver,N/A
251,RI_gub,1,2,0.51,0.49,Solver,N/A
256,RI_gub,1,2,0.61,0.39,Solver,N/A
261,RI_gub,2,6,0.39,0.61,Non-Solver,N/A
264,RI_gub,2,4,0.6,0.4,Non-Solver,N/A
267,RI_gub,1,8,0.37,0.63,Solver,N/A
268,RI_gub,1,8,0.88,0.12,Solver,N/A
274,RI_gub,1,8,0.8,0.2,Solver,N/A
276,RI_gub,2,2,0.4,0.6,Non-Solver,N/A
277,RI_gub,2,8,0.15,0.85,Non-Solver,N/A
281,RI_gub,1,6,0.5,0.5,Solver,N/A
293,RI_gub,1,2,0.51,0.49,Solver,N/A
294,RI_gub,1,2,0.27,0.73,Solver,N/A
295,RI_gub,1,2,0.59,0.41,Solver,N/A
302,RI_gub,1,6,0.55,0.45,Solver,N/A
