Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,RI_sen,1,8,0.37,0.63,Solver,N/A
5,RI_sen,2,6,0.38,0.62,Non-Solver,N/A
18,RI_sen,2,2,0.45,0.55,Non-Solver,N/A
21,RI_sen,1,4,0.64,0.36,Solver,N/A
23,RI_sen,1,2,0.49,0.51,Solver,N/A
24,RI_sen,1,2,0.51,0.49,Solver,N/A
26,RI_sen,1,10,0.9,0.1,Solver,N/A
29,RI_sen,1,6,0.22,0.78,Solver,N/A
31,RI_sen,1,8,0.8,0.2,Solver,N/A
39,RI_sen,1,6,0.5,0.5,Solver,N/A
47,RI_sen,1,6,0.56,0.44,Solver,N/A
68,RI_sen,2,4,0.73,0.27,Non-Solver,N/A
74,RI_sen,1,2,0.61,0.39,Solver,N/A
76,RI_sen,1,2,0.23,0.77,Solver,N/A
78,RI_sen,1,6,0.7,0.3,Solver,N/A
81,RI_sen,1,8,0.92,0.08,Solver,N/A
83,RI_sen,1,8,0.83,0.17,Solver,N/A
91,RI_sen,1,2,0.5,0.5,Solver,N/A
92,RI_sen,1,8,0.76,0.24,Solver,N/A
99,RI_sen,2,8,0.05,0.95,Non-Solver,N/A
102,RI_sen,1,2,0.6,0.4,Solver,N/A
108,RI_sen,2,6,0.75,0.25,Non-Solver,N/A
109,RI_sen,1,2,0.54,0.46,Solver,N/A
111,RI_sen,2,2,0.54,0.46,Non-Solver,N/A
113,RI_sen,2,2,0.52,0.48,Non-Solver,N/A
114,RI_sen,2,8,0.09,0.91,Non-Solver,N/A
117,RI_sen,1,6,0.54,0.46,Solver,N/A
119,RI_sen,1,6,0.61,0.39,Solver,N/A
120,RI_sen,1,4,0.54,0.46,Solver,N/A
127,RI_sen,1,2,0.51,0.49,Solver,N/A
138,RI_sen,2,6,0.32,0.68,Non-Solver,N/A
141,RI_sen,1,4,0.57,0.43,Solver,N/A
145,RI_sen,2,2,0.8,0.2,Non-Solver,N/A
154,RI_sen,1,4,0.52,0.48,Solver,N/A
162,RI_sen,1,6,0.6,0.4,Solver,N/A
163,RI_sen,1,6,0.88,0.12,Solver,N/A
166,RI_sen,1,6,0.4,0.6,Solver,N/A
167,RI_sen,1,8,0.85,0.15,Solver,N/A
169,RI_sen,2,4,0.8,0.2,Non-Solver,N/A
170,RI_sen,1,2,0.5,0.5,Solver,N/A
177,RI_sen,2,6,0.34,0.66,Non-Solver,N/A
179,RI_sen,1,2,0.61,0.39,Solver,N/A
183,RI_sen,2,6,0.34,0.66,Non-Solver,N/A
185,RI_sen,1,6,0.65,0.35,Solver,N/A
190,RI_sen,1,10,1.0,0.0,Solver,N/A
191,RI_sen,1,8,0.51,0.49,Solver,N/A
193,RI_sen,1,6,0.62,0.38,Solver,N/A
195,RI_sen,1,8,0.75,0.25,Solver,N/A
196,RI_sen,1,10,0.95,0.05,Solver,N/A
197,RI_sen,2,8,0.23,0.77,Non-Solver,N/A
206,RI_sen,1,10,0.98,0.02,Solver,N/A
210,RI_sen,2,6,0.42,0.58,Non-Solver,N/A
212,RI_sen,1,6,0.73,0.27,Solver,N/A
225,RI_sen,2,2,0.65,0.35,Non-Solver,N/A
226,RI_sen,2,2,0.79,0.21,Non-Solver,N/A
227,RI_sen,2,2,0.49,0.51,Non-Solver,N/A
235,RI_sen,1,8,0.65,0.35,Solver,N/A
236,RI_sen,1,8,0.93,0.07,Solver,N/A
245,RI_sen,1,6,0.6,0.4,Solver,N/A
247,RI_sen,2,2,0.33,0.67,Non-Solver,N/A
248,RI_sen,2,6,0.41,0.59,Non-Solver,N/A
250,RI_sen,1,4,0.61,0.39,Solver,N/A
257,RI_sen,1,10,0.82,0.18,Solver,N/A
268,RI_sen,1,8,0.87,0.13,Solver,N/A
278,RI_sen,1,10,0.68,0.32,Solver,N/A
279,RI_sen,1,8,0.82,0.18,Solver,N/A
284,RI_sen,2,2,0.59,0.41,Non-Solver,N/A
292,RI_sen,2,2,0.49,0.51,Non-Solver,N/A
293,RI_sen,1,2,0.4,0.6,Solver,N/A
295,RI_sen,1,2,0.57,0.43,Solver,N/A
296,RI_sen,2,2,0.69,0.31,Non-Solver,N/A
306,RI_sen,1,2,0.49,0.51,Solver,N/A
