Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,SD_gub,1,6,0.34,0.66,Non-Solver,N/A
11,SD_gub,2,4,0.55,0.45,Solver,N/A
12,SD_gub,1,2,0.5,0.5,Non-Solver,N/A
21,SD_gub,1,4,0.37,0.63,Non-Solver,N/A
22,SD_gub,2,8,0.3,0.7,Solver,N/A
27,SD_gub,1,6,0.57,0.43,Non-Solver,N/A
31,SD_gub,2,10,0.0,1.0,Solver,N/A
41,SD_gub,2,2,0.56,0.44,Solver,N/A
51,SD_gub,2,6,0.43,0.57,Solver,N/A
52,SD_gub,2,4,0.5,0.5,Solver,N/A
55,SD_gub,1,2,0.34,0.66,Non-Solver,N/A
56,SD_gub,2,10,0.34,0.66,Solver,N/A
60,SD_gub,1,8,0.58,0.42,Non-Solver,N/A
66,SD_gub,2,10,0.08,0.92,Solver,N/A
67,SD_gub,2,2,0.39,0.61,Solver,N/A
69,SD_gub,2,6,0.26,0.74,Solver,N/A
70,SD_gub,2,2,0.64,0.36,Solver,N/A
72,SD_gub,1,6,0.45,0.55,Non-Solver,N/A
76,SD_gub,2,6,0.29,0.71,Solver,N/A
79,SD_gub,2,2,0.49,0.51,Solver,N/A
80,SD_gub,2,6,0.25,0.75,Solver,N/A
81,SD_gub,2,6,0.24,0.76,Solver,N/A
84,SD_gub,1,4,0.32,0.68,Non-Solver,N/A
88,SD_gub,2,8,0.23,0.77,Solver,N/A
91,SD_gub,2,8,0.2,0.8,Solver,N/A
96,SD_gub,2,2,0.29,0.71,Solver,N/A
104,SD_gub,2,4,0.49,0.51,Solver,N/A
111,SD_gub,2,2,0.32,0.68,Solver,N/A
115,SD_gub,2,6,0.3,0.7,Solver,N/A
117,SD_gub,2,8,0.29,0.71,Solver,N/A
127,SD_gub,1,2,0.51,0.49,Non-Solver,N/A
134,SD_gub,2,4,0.56,0.44,Solver,N/A
135,SD_gub,1,10,0.87,0.13,Non-Solver,N/A
146,SD_gub,2,6,0.33,0.67,Solver,N/A
149,SD_gub,2,8,0.19,0.81,Solver,N/A
156,SD_gub,2,10,0.0,1.0,Solver,N/A
171,SD_gub,2,4,0.36,0.64,Solver,N/A
172,SD_gub,2,8,0.25,0.75,Solver,N/A
178,SD_gub,2,2,0.5,0.5,Solver,N/A
182,SD_gub,2,6,0.4,0.6,Solver,N/A
194,SD_gub,2,6,0.5,0.5,Solver,N/A
196,SD_gub,2,8,0.28,0.72,Solver,N/A
197,SD_gub,2,8,0.36,0.64,Solver,N/A
199,SD_gub,2,6,0.48,0.52,Solver,N/A
202,SD_gub,2,6,0.6,0.4,Solver,N/A
203,SD_gub,1,10,0.83,0.17,Non-Solver,N/A
213,SD_gub,2,2,0.92,0.08,Solver,N/A
214,SD_gub,2,2,0.65,0.35,Solver,N/A
221,SD_gub,2,8,0.1,0.9,Solver,N/A
230,SD_gub,1,8,0.77,0.23,Non-Solver,N/A
232,SD_gub,2,2,0.51,0.49,Solver,N/A
236,SD_gub,1,6,0.5,0.5,Non-Solver,N/A
241,SD_gub,2,2,0.5,0.5,Solver,N/A
242,SD_gub,2,6,0.36,0.64,Solver,N/A
243,SD_gub,1,6,0.56,0.44,Non-Solver,N/A
248,SD_gub,2,10,0.09,0.91,Solver,N/A
250,SD_gub,2,10,0.15,0.85,Solver,N/A
251,SD_gub,1,6,0.16,0.84,Non-Solver,N/A
252,SD_gub,2,6,0.19,0.81,Solver,N/A
253,SD_gub,2,8,0.27,0.73,Solver,N/A
255,SD_gub,2,6,0.4,0.6,Solver,N/A
256,SD_gub,1,2,0.44,0.56,Non-Solver,N/A
268,SD_gub,1,6,0.51,0.49,Non-Solver,N/A
269,SD_gub,2,2,0.41,0.59,Solver,N/A
279,SD_gub,1,8,0.85,0.15,Non-Solver,N/A
290,SD_gub,2,6,0.4,0.6,Solver,N/A
291,SD_gub,2,2,0.49,0.51,Solver,N/A
298,SD_gub,2,2,0.69,0.31,Solver,N/A
301,SD_gub,2,6,0.26,0.74,Solver,N/A
308,SD_gub,2,2,0.53,0.47,Solver,N/A
