Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
5,TN_gub,2,6,0.24,0.76,Solver,N/A
6,TN_gub,1,6,0.76,0.24,Non-Solver,N/A
10,TN_gub,2,6,0.16,0.84,Solver,N/A
16,TN_gub,2,6,0.22,0.78,Solver,N/A
21,TN_gub,1,2,0.59,0.41,Non-Solver,N/A
22,TN_gub,2,2,0.39,0.61,Solver,N/A
24,TN_gub,1,2,0.45,0.55,Non-Solver,N/A
29,TN_gub,2,8,0.22,0.78,Solver,N/A
33,TN_gub,2,8,0.09,0.91,Solver,N/A
36,TN_gub,2,8,0.2,0.8,Solver,N/A
39,TN_gub,2,10,0.1,0.9,Solver,N/A
42,TN_gub,2,4,0.72,0.28,Solver,N/A
43,TN_gub,2,6,0.32,0.68,Solver,N/A
50,TN_gub,2,10,0.01,0.99,Solver,N/A
52,TN_gub,2,4,0.49,0.51,Solver,N/A
58,TN_gub,1,10,1.0,0.0,Non-Solver,N/A
62,TN_gub,1,2,0.54,0.46,Non-Solver,N/A
64,TN_gub,1,4,0.53,0.47,Non-Solver,N/A
66,TN_gub,2,10,0.24,0.76,Solver,N/A
71,TN_gub,2,6,0.4,0.6,Solver,N/A
77,TN_gub,2,6,0.43,0.57,Solver,N/A
80,TN_gub,2,4,0.4,0.6,Solver,N/A
83,TN_gub,2,8,0.22,0.78,Solver,N/A
89,TN_gub,2,6,0.39,0.61,Solver,N/A
103,TN_gub,1,4,0.52,0.48,Non-Solver,N/A
107,TN_gub,1,6,0.73,0.27,Non-Solver,N/A
111,TN_gub,1,4,0.56,0.44,Non-Solver,N/A
119,TN_gub,2,4,0.43,0.57,Solver,N/A
120,TN_gub,2,8,0.09,0.91,Solver,N/A
127,TN_gub,1,2,0.51,0.49,Non-Solver,N/A
129,TN_gub,2,6,0.49,0.51,Solver,N/A
131,TN_gub,2,6,0.43,0.57,Solver,N/A
134,TN_gub,2,4,0.81,0.19,Solver,N/A
143,TN_gub,2,2,0.09,0.91,Solver,N/A
149,TN_gub,2,2,0.49,0.51,Solver,N/A
150,TN_gub,2,4,0.36,0.64,Solver,N/A
154,TN_gub,2,6,0.37,0.63,Solver,N/A
157,TN_gub,2,6,0.33,0.67,Solver,N/A
169,TN_gub,2,4,0.28,0.72,Solver,N/A
170,TN_gub,2,4,0.49,0.51,Solver,N/A
178,TN_gub,2,2,0.5,0.5,Solver,N/A
180,TN_gub,1,6,0.46,0.54,Non-Solver,N/A
182,TN_gub,2,6,0.35,0.65,Solver,N/A
184,TN_gub,2,6,0.48,0.52,Solver,N/A
191,TN_gub,2,2,0.43,0.57,Solver,N/A
198,TN_gub,2,4,0.25,0.75,Solver,N/A
201,TN_gub,1,10,0.98,0.02,Non-Solver,N/A
203,TN_gub,1,10,0.93,0.07,Non-Solver,N/A
209,TN_gub,2,8,0.2,0.8,Solver,N/A
210,TN_gub,2,6,0.36,0.64,Solver,N/A
211,TN_gub,1,6,0.7,0.3,Non-Solver,N/A
217,TN_gub,2,6,0.3,0.7,Solver,N/A
219,TN_gub,2,2,0.3,0.7,Solver,N/A
222,TN_gub,2,6,0.27,0.73,Solver,N/A
227,TN_gub,2,2,0.48,0.52,Solver,N/A
228,TN_gub,2,6,0.58,0.42,Solver,N/A
231,TN_gub,2,8,0.26,0.74,Solver,N/A
246,TN_gub,1,2,0.69,0.31,Non-Solver,N/A
247,TN_gub,2,2,0.39,0.61,Solver,N/A
257,TN_gub,2,6,0.27,0.73,Solver,N/A
261,TN_gub,2,6,0.38,0.62,Solver,N/A
268,TN_gub,2,8,0.17,0.83,Solver,N/A
270,TN_gub,2,10,0.03,0.97,Solver,N/A
271,TN_gub,2,4,0.35,0.65,Solver,N/A
272,TN_gub,2,2,0.68,0.32,Solver,N/A
273,TN_gub,2,6,0.35,0.65,Solver,N/A
278,TN_gub,2,8,0.34,0.66,Solver,N/A
293,TN_gub,2,2,0.49,0.51,Solver,N/A
297,TN_gub,2,6,0.45,0.55,Solver,N/A
299,TN_gub,2,6,0.4,0.6,Solver,N/A
303,TN_gub,2,6,0.49,0.51,Solver,N/A
304,TN_gub,2,8,0.26,0.74,Solver,N/A
308,TN_gub,2,2,0.4,0.6,Solver,N/A
