Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,TN_sen,2,8,0.33,0.67,Solver,N/A
10,TN_sen,2,6,0.22,0.78,Solver,N/A
14,TN_sen,2,4,0.03,0.97,Solver,N/A
24,TN_sen,1,2,0.54,0.46,Non-Solver,N/A
26,TN_sen,1,6,0.55,0.45,Non-Solver,N/A
30,TN_sen,1,4,0.35,0.65,Non-Solver,N/A
32,TN_sen,2,6,0.61,0.39,Solver,N/A
38,TN_sen,2,8,0.8,0.2,Solver,N/A
44,TN_sen,1,4,0.43,0.57,Non-Solver,N/A
46,TN_sen,2,8,0.25,0.75,Solver,N/A
47,TN_sen,2,8,0.39,0.61,Solver,N/A
61,TN_sen,2,6,0.42,0.58,Solver,N/A
64,TN_sen,1,4,0.56,0.44,Non-Solver,N/A
71,TN_sen,2,6,0.34,0.66,Solver,N/A
74,TN_sen,2,6,0.17,0.83,Solver,N/A
82,TN_sen,1,4,0.4,0.6,Non-Solver,N/A
83,TN_sen,2,8,0.28,0.72,Solver,N/A
90,TN_sen,2,6,0.4,0.6,Solver,N/A
92,TN_sen,2,6,0.49,0.51,Solver,N/A
100,TN_sen,2,8,0.1,0.9,Solver,N/A
103,TN_sen,1,4,0.37,0.63,Non-Solver,N/A
105,TN_sen,2,6,0.4,0.6,Solver,N/A
106,TN_sen,1,4,0.45,0.55,Non-Solver,N/A
108,TN_sen,1,6,0.67,0.33,Non-Solver,N/A
120,TN_sen,2,8,0.35,0.65,Solver,N/A
124,TN_sen,2,6,0.2,0.8,Solver,N/A
128,TN_sen,1,4,0.38,0.62,Non-Solver,N/A
138,TN_sen,1,6,0.67,0.33,Non-Solver,N/A
141,TN_sen,2,8,0.32,0.68,Solver,N/A
142,TN_sen,1,4,0.3,0.7,Non-Solver,N/A
145,TN_sen,2,2,0.7,0.3,Solver,N/A
153,TN_sen,2,8,0.39,0.61,Solver,N/A
158,TN_sen,2,6,0.36,0.64,Solver,N/A
160,TN_sen,2,6,0.39,0.61,Solver,N/A
161,TN_sen,1,4,0.29,0.71,Non-Solver,N/A
170,TN_sen,2,2,0.4,0.6,Solver,N/A
172,TN_sen,2,6,0.28,0.72,Solver,N/A
173,TN_sen,2,2,0.75,0.25,Solver,N/A
175,TN_sen,2,2,0.47,0.53,Solver,N/A
181,TN_sen,1,4,0.25,0.75,Non-Solver,N/A
191,TN_sen,2,2,0.49,0.51,Solver,N/A
192,TN_sen,2,4,0.48,0.52,Solver,N/A
199,TN_sen,1,8,0.7,0.3,Non-Solver,N/A
204,TN_sen,2,6,0.25,0.75,Solver,N/A
207,TN_sen,2,4,0.54,0.46,Solver,N/A
208,TN_sen,1,2,0.51,0.49,Non-Solver,N/A
210,TN_sen,1,6,0.6,0.4,Non-Solver,N/A
215,TN_sen,2,6,0.37,0.63,Solver,N/A
223,TN_sen,2,6,0.32,0.68,Solver,N/A
228,TN_sen,2,8,0.47,0.53,Solver,N/A
234,TN_sen,1,2,0.29,0.71,Non-Solver,N/A
237,TN_sen,2,10,0.16,0.84,Solver,N/A
238,TN_sen,2,6,0.4,0.6,Solver,N/A
242,TN_sen,2,8,0.38,0.62,Solver,N/A
243,TN_sen,1,6,0.67,0.33,Non-Solver,N/A
247,TN_sen,1,2,0.47,0.53,Non-Solver,N/A
253,TN_sen,1,10,0.71,0.29,Non-Solver,N/A
254,TN_sen,1,6,0.55,0.45,Non-Solver,N/A
279,TN_sen,1,8,0.8,0.2,Non-Solver,N/A
281,TN_sen,1,6,0.72,0.28,Non-Solver,N/A
286,TN_sen,1,4,0.51,0.49,Non-Solver,N/A
289,TN_sen,1,4,0.03,0.97,Non-Solver,N/A
290,TN_sen,2,6,0.4,0.6,Solver,N/A
295,TN_sen,2,2,0.46,0.54,Solver,N/A
304,TN_sen,2,8,0.24,0.76,Solver,N/A
