Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,TX_23,2,4,0.67,0.33,Solver,N/A
6,TX_23,1,6,0.78,0.22,Non-Solver,N/A
16,TX_23,2,6,0.59,0.41,Solver,N/A
21,TX_23,1,2,0.88,0.12,Non-Solver,N/A
23,TX_23,1,2,0.51,0.49,Non-Solver,N/A
46,TX_23,2,6,0.29,0.71,Solver,N/A
48,TX_23,2,8,0.1,0.9,Solver,N/A
55,TX_23,2,8,0.29,0.71,Solver,N/A
61,TX_23,2,8,0.39,0.61,Solver,N/A
63,TX_23,2,8,0.22,0.78,Solver,N/A
65,TX_23,2,8,0.09,0.91,Solver,N/A
67,TX_23,2,2,0.62,0.38,Solver,N/A
70,TX_23,2,2,0.68,0.32,Solver,N/A
72,TX_23,2,6,0.49,0.51,Solver,N/A
76,TX_23,2,4,0.63,0.37,Solver,N/A
82,TX_23,2,8,0.36,0.64,Solver,N/A
86,TX_23,2,6,0.3,0.7,Solver,N/A
87,TX_23,2,6,0.2,0.8,Solver,N/A
88,TX_23,2,6,0.5,0.5,Solver,N/A
91,TX_23,2,2,0.5,0.5,Solver,N/A
97,TX_23,2,4,0.41,0.59,Solver,N/A
99,TX_23,1,8,0.98,0.02,Non-Solver,N/A
102,TX_23,2,2,0.3,0.7,Solver,N/A
111,TX_23,2,4,0.41,0.59,Solver,N/A
113,TX_23,2,2,0.49,0.51,Solver,N/A
115,TX_23,2,6,0.26,0.74,Solver,N/A
124,TX_23,2,6,0.5,0.5,Solver,N/A
127,TX_23,2,10,0.12,0.88,Solver,N/A
128,TX_23,2,10,0.03,0.97,Solver,N/A
144,TX_23,2,8,0.12,0.88,Solver,N/A
146,TX_23,2,8,0.41,0.59,Solver,N/A
150,TX_23,2,4,0.43,0.57,Solver,N/A
158,TX_23,2,4,0.62,0.38,Solver,N/A
159,TX_23,2,6,0.3,0.7,Solver,N/A
160,TX_23,2,6,0.39,0.61,Solver,N/A
164,TX_23,2,2,0.25,0.75,Solver,N/A
175,TX_23,2,2,0.47,0.53,Solver,N/A
180,TX_23,1,4,0.31,0.69,Non-Solver,N/A
181,TX_23,1,6,0.59,0.41,Non-Solver,N/A
183,TX_23,2,8,0.42,0.58,Solver,N/A
185,TX_23,2,8,0.2,0.8,Solver,N/A
186,TX_23,1,2,0.41,0.59,Non-Solver,N/A
187,TX_23,1,2,0.38,0.62,Non-Solver,N/A
190,TX_23,2,6,0.55,0.45,Solver,N/A
203,TX_23,1,10,0.87,0.13,Non-Solver,N/A
204,TX_23,2,8,0.2,0.8,Solver,N/A
214,TX_23,2,2,0.6,0.4,Solver,N/A
220,TX_23,1,4,0.55,0.45,Non-Solver,N/A
222,TX_23,2,6,0.38,0.62,Solver,N/A
225,TX_23,1,2,0.35,0.65,Non-Solver,N/A
248,TX_23,2,10,0.0600000000000001,0.94,Solver,N/A
252,TX_23,1,6,0.72,0.28,Non-Solver,N/A
253,TX_23,2,10,0.33,0.67,Solver,N/A
259,TX_23,2,6,0.3,0.7,Solver,N/A
265,TX_23,2,6,0.37,0.63,Solver,N/A
266,TX_23,2,10,0.09,0.91,Solver,N/A
272,TX_23,2,2,0.58,0.42,Solver,N/A
274,TX_23,1,4,0.2,0.8,Non-Solver,N/A
276,TX_23,2,2,0.3,0.7,Solver,N/A
277,TX_23,2,8,0.07,0.93,Solver,N/A
283,TX_23,2,8,0.58,0.42,Solver,N/A
284,TX_23,2,4,0.74,0.26,Solver,N/A
288,TX_23,1,6,0.47,0.53,Non-Solver,N/A
289,TX_23,2,2,0.55,0.45,Solver,N/A
307,TX_23,1,6,0.52,0.48,Non-Solver,N/A
