Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,TX_gub,1,4,0.3,0.7,Non-Solver,N/A
14,TX_gub,2,6,0.36,0.64,Solver,N/A
18,TX_gub,1,2,0.53,0.47,Non-Solver,N/A
20,TX_gub,2,2,0.54,0.46,Solver,N/A
21,TX_gub,1,8,0.81,0.19,Non-Solver,N/A
24,TX_gub,1,2,0.48,0.52,Non-Solver,N/A
29,TX_gub,2,6,0.28,0.72,Solver,N/A
35,TX_gub,1,2,0.6,0.4,Non-Solver,N/A
38,TX_gub,1,6,0.36,0.64,Non-Solver,N/A
39,TX_gub,2,8,0.3,0.7,Solver,N/A
43,TX_gub,2,6,0.38,0.62,Solver,N/A
47,TX_gub,2,8,0.25,0.75,Solver,N/A
54,TX_gub,2,4,0.49,0.51,Solver,N/A
60,TX_gub,1,2,0.49,0.51,Non-Solver,N/A
63,TX_gub,2,8,0.24,0.76,Solver,N/A
65,TX_gub,2,8,0.09,0.91,Solver,N/A
66,TX_gub,2,10,0.13,0.87,Solver,N/A
73,TX_gub,2,4,0.29,0.71,Solver,N/A
74,TX_gub,2,6,0.14,0.86,Solver,N/A
78,TX_gub,2,8,0.27,0.73,Solver,N/A
80,TX_gub,2,6,0.4,0.6,Solver,N/A
81,TX_gub,2,8,0.29,0.71,Solver,N/A
85,TX_gub,2,6,0.4,0.6,Solver,N/A
93,TX_gub,1,4,0.5,0.5,Non-Solver,N/A
99,TX_gub,2,8,0.33,0.67,Solver,N/A
100,TX_gub,2,8,0.16,0.84,Solver,N/A
109,TX_gub,2,10,0.03,0.97,Solver,N/A
111,TX_gub,2,6,0.35,0.65,Solver,N/A
112,TX_gub,2,10,0.08,0.92,Solver,N/A
113,TX_gub,2,2,0.39,0.61,Solver,N/A
117,TX_gub,2,6,0.3,0.7,Solver,N/A
127,TX_gub,2,8,0.3,0.7,Solver,N/A
134,TX_gub,2,4,0.78,0.22,Solver,N/A
136,TX_gub,2,2,0.49,0.51,Solver,N/A
140,TX_gub,1,6,0.71,0.29,Non-Solver,N/A
146,TX_gub,2,10,0.15,0.85,Solver,N/A
147,TX_gub,2,4,0.34,0.66,Solver,N/A
149,TX_gub,2,10,0.01,0.99,Solver,N/A
152,TX_gub,2,8,0.07,0.93,Solver,N/A
153,TX_gub,1,6,0.72,0.28,Non-Solver,N/A
163,TX_gub,2,6,0.26,0.74,Solver,N/A
165,TX_gub,2,6,0.49,0.51,Solver,N/A
172,TX_gub,2,8,0.13,0.87,Solver,N/A
177,TX_gub,2,6,0.33,0.67,Solver,N/A
181,TX_gub,1,6,0.62,0.38,Non-Solver,N/A
192,TX_gub,2,8,0.25,0.75,Solver,N/A
200,TX_gub,1,2,0.51,0.49,Non-Solver,N/A
211,TX_gub,2,8,0.21,0.79,Solver,N/A
212,TX_gub,2,10,0.05,0.95,Solver,N/A
214,TX_gub,2,2,0.45,0.55,Solver,N/A
220,TX_gub,1,4,0.55,0.45,Non-Solver,N/A
224,TX_gub,2,6,0.32,0.68,Solver,N/A
227,TX_gub,2,2,0.51,0.49,Solver,N/A
237,TX_gub,2,10,0.09,0.91,Solver,N/A
239,TX_gub,2,8,0.31,0.69,Solver,N/A
244,TX_gub,2,6,0.4,0.6,Solver,N/A
245,TX_gub,2,8,0.2,0.8,Solver,N/A
247,TX_gub,2,2,0.41,0.59,Solver,N/A
252,TX_gub,1,6,0.79,0.21,Non-Solver,N/A
259,TX_gub,2,6,0.19,0.81,Solver,N/A
265,TX_gub,2,8,0.21,0.79,Solver,N/A
266,TX_gub,2,8,0.29,0.71,Solver,N/A
274,TX_gub,2,8,0.2,0.8,Solver,N/A
275,TX_gub,2,10,0.1,0.9,Solver,N/A
278,TX_gub,2,8,0.28,0.72,Solver,N/A
279,TX_gub,1,8,0.81,0.19,Non-Solver,N/A
290,TX_gub,2,10,0.32,0.68,Solver,N/A
300,TX_gub,1,6,0.66,0.34,Non-Solver,N/A
302,TX_gub,2,8,0.21,0.79,Solver,N/A
308,TX_gub,2,2,0.39,0.61,Solver,N/A
309,TX_gub,2,6,0.54,0.46,Solver,N/A
