Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,UT_4,2,4,0.78,0.22,Non-Solver,N/A
5,UT_4,2,6,0.19,0.81,Non-Solver,N/A
9,UT_4,1,2,0.51,0.49,Solver,N/A
10,UT_4,1,6,0.75,0.25,Solver,N/A
16,UT_4,2,8,0.15,0.85,Non-Solver,N/A
18,UT_4,2,2,0.4,0.6,Non-Solver,N/A
26,UT_4,2,2,0.37,0.63,Non-Solver,N/A
32,UT_4,2,6,0.45,0.55,Non-Solver,N/A
34,UT_4,2,4,0.45,0.55,Non-Solver,N/A
35,UT_4,2,2,0.59,0.41,Non-Solver,N/A
36,UT_4,2,8,0.15,0.85,Non-Solver,N/A
45,UT_4,2,6,0.25,0.75,Non-Solver,N/A
47,UT_4,2,6,0.44,0.56,Non-Solver,N/A
48,UT_4,1,6,0.4,0.6,Solver,N/A
51,UT_4,1,4,0.23,0.77,Solver,N/A
56,UT_4,1,6,0.42,0.58,Solver,N/A
63,UT_4,1,6,0.67,0.33,Solver,N/A
73,UT_4,2,4,0.45,0.55,Non-Solver,N/A
74,UT_4,2,8,0.26,0.74,Non-Solver,N/A
77,UT_4,1,4,0.34,0.66,Solver,N/A
82,UT_4,2,8,0.1,0.9,Non-Solver,N/A
85,UT_4,2,6,0.34,0.66,Non-Solver,N/A
88,UT_4,2,8,0.28,0.72,Non-Solver,N/A
92,UT_4,2,8,0.29,0.71,Non-Solver,N/A
95,UT_4,1,6,0.6,0.4,Solver,N/A
108,UT_4,1,6,0.73,0.27,Solver,N/A
109,UT_4,2,8,0.08,0.92,Non-Solver,N/A
114,UT_4,2,2,0.19,0.81,Non-Solver,N/A
120,UT_4,2,10,0.0,1.0,Non-Solver,N/A
122,UT_4,1,2,0.4,0.6,Solver,N/A
133,UT_4,2,2,0.49,0.51,Non-Solver,N/A
134,UT_4,2,4,0.58,0.42,Non-Solver,N/A
140,UT_4,1,4,0.23,0.77,Solver,N/A
141,UT_4,2,6,0.35,0.65,Non-Solver,N/A
146,UT_4,2,2,0.43,0.57,Non-Solver,N/A
147,UT_4,1,6,0.7,0.3,Solver,N/A
149,UT_4,1,6,0.71,0.29,Solver,N/A
153,UT_4,2,6,0.47,0.53,Non-Solver,N/A
169,UT_4,2,2,0.84,0.16,Non-Solver,N/A
173,UT_4,2,2,0.5,0.5,Non-Solver,N/A
175,UT_4,2,2,0.47,0.53,Non-Solver,N/A
187,UT_4,1,2,0.51,0.49,Solver,N/A
190,UT_4,1,6,0.6,0.4,Solver,N/A
191,UT_4,2,2,0.49,0.51,Non-Solver,N/A
194,UT_4,2,8,0.26,0.74,Non-Solver,N/A
195,UT_4,2,6,0.16,0.84,Non-Solver,N/A
199,UT_4,1,4,0.51,0.49,Solver,N/A
205,UT_4,2,6,0.56,0.44,Non-Solver,N/A
209,UT_4,2,8,0.2,0.8,Non-Solver,N/A
218,UT_4,2,6,0.19,0.81,Non-Solver,N/A
230,UT_4,1,8,0.71,0.29,Solver,N/A
244,UT_4,2,8,0.3,0.7,Non-Solver,N/A
250,UT_4,2,6,0.2,0.8,Non-Solver,N/A
256,UT_4,2,6,0.31,0.69,Non-Solver,N/A
262,UT_4,1,6,0.44,0.56,Solver,N/A
265,UT_4,1,6,0.54,0.46,Solver,N/A
270,UT_4,2,10,0.08,0.92,Non-Solver,N/A
280,UT_4,2,6,0.45,0.55,Non-Solver,N/A
282,UT_4,1,8,0.67,0.33,Solver,N/A
289,UT_4,1,6,0.43,0.57,Solver,N/A
292,UT_4,2,2,0.41,0.59,Non-Solver,N/A
293,UT_4,2,4,0.49,0.51,Non-Solver,N/A
297,UT_4,2,10,0.04,0.96,Non-Solver,N/A
299,UT_4,2,6,0.3,0.7,Non-Solver,N/A
301,UT_4,2,8,0.35,0.65,Non-Solver,N/A
304,UT_4,2,2,0.85,0.15,Non-Solver,N/A
309,UT_4,2,6,0.62,0.38,Non-Solver,N/A
