Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,UT_sen,2,10,0.15,0.85,Solver,N/A
5,UT_sen,2,10,0.09,0.91,Solver,N/A
7,UT_sen,1,8,0.93,0.07,Non-Solver,N/A
21,UT_sen,1,6,0.61,0.39,Non-Solver,N/A
22,UT_sen,2,10,0.13,0.87,Solver,N/A
24,UT_sen,1,2,0.55,0.45,Non-Solver,N/A
26,UT_sen,2,8,0.21,0.79,Solver,N/A
31,UT_sen,2,10,0.0,1.0,Solver,N/A
38,UT_sen,1,6,0.21,0.79,Non-Solver,N/A
44,UT_sen,2,8,0.18,0.82,Solver,N/A
52,UT_sen,2,6,0.18,0.82,Solver,N/A
57,UT_sen,1,6,0.62,0.38,Non-Solver,N/A
65,UT_sen,2,10,0.0,1.0,Solver,N/A
66,UT_sen,2,10,0.21,0.79,Solver,N/A
74,UT_sen,2,8,0.15,0.85,Solver,N/A
76,UT_sen,2,2,0.71,0.29,Solver,N/A
78,UT_sen,2,10,0.0,1.0,Solver,N/A
81,UT_sen,2,6,0.23,0.77,Solver,N/A
99,UT_sen,1,8,0.97,0.03,Non-Solver,N/A
102,UT_sen,2,6,0.3,0.7,Solver,N/A
106,UT_sen,2,10,0.1,0.9,Solver,N/A
108,UT_sen,2,8,0.24,0.76,Solver,N/A
110,UT_sen,2,8,0.3,0.7,Solver,N/A
112,UT_sen,2,10,0.19,0.81,Solver,N/A
114,UT_sen,2,6,0.14,0.86,Solver,N/A
117,UT_sen,2,10,0.02,0.98,Solver,N/A
118,UT_sen,2,10,0.0,1.0,Solver,N/A
126,UT_sen,2,8,0.26,0.74,Solver,N/A
130,UT_sen,2,8,0.26,0.74,Solver,N/A
132,UT_sen,2,4,0.3,0.7,Solver,N/A
133,UT_sen,2,2,0.43,0.57,Solver,N/A
140,UT_sen,1,4,0.38,0.62,Non-Solver,N/A
144,UT_sen,2,8,0.26,0.74,Solver,N/A
146,UT_sen,2,10,0.16,0.84,Solver,N/A
148,UT_sen,2,6,0.3,0.7,Solver,N/A
154,UT_sen,2,8,0.17,0.83,Solver,N/A
156,UT_sen,2,8,0.48,0.52,Solver,N/A
161,UT_sen,2,8,0.21,0.79,Solver,N/A
165,UT_sen,2,8,0.12,0.88,Solver,N/A
168,UT_sen,2,10,0.05,0.95,Solver,N/A
172,UT_sen,2,8,0.23,0.77,Solver,N/A
174,UT_sen,2,2,0.39,0.61,Solver,N/A
176,UT_sen,2,8,0.13,0.87,Solver,N/A
177,UT_sen,2,6,0.44,0.56,Solver,N/A
178,UT_sen,2,2,0.5,0.5,Solver,N/A
180,UT_sen,1,6,0.55,0.45,Non-Solver,N/A
183,UT_sen,2,10,0.01,0.99,Solver,N/A
186,UT_sen,1,2,0.63,0.37,Non-Solver,N/A
206,UT_sen,2,10,0.0,1.0,Solver,N/A
220,UT_sen,1,4,0.55,0.45,Non-Solver,N/A
225,UT_sen,1,2,0.35,0.65,Non-Solver,N/A
226,UT_sen,2,6,0.35,0.65,Solver,N/A
228,UT_sen,2,8,0.41,0.59,Solver,N/A
237,UT_sen,2,8,0.24,0.76,Solver,N/A
243,UT_sen,2,6,0.31,0.69,Solver,N/A
244,UT_sen,2,10,0.02,0.98,Solver,N/A
245,UT_sen,2,8,0.3,0.7,Solver,N/A
249,UT_sen,2,2,0.69,0.31,Solver,N/A
259,UT_sen,1,2,0.79,0.21,Non-Solver,N/A
261,UT_sen,2,4,0.57,0.43,Solver,N/A
265,UT_sen,2,2,0.7,0.3,Solver,N/A
274,UT_sen,2,8,0.09,0.91,Solver,N/A
277,UT_sen,2,8,0.12,0.88,Solver,N/A
279,UT_sen,1,8,0.81,0.19,Non-Solver,N/A
289,UT_sen,1,4,0.55,0.45,Non-Solver,N/A
293,UT_sen,2,8,0.09,0.91,Solver,N/A
297,UT_sen,2,4,0.71,0.29,Solver,N/A
300,UT_sen,2,2,0.31,0.69,Solver,N/A
307,UT_sen,1,6,0.51,0.49,Non-Solver,N/A
