Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,VA_7,2,6,0.26,0.74,Non-Solver,N/A
4,VA_7,1,4,0.15,0.85,Solver,N/A
8,VA_7,2,6,0.26,0.74,Non-Solver,N/A
12,VA_7,1,10,1.0,0.0,Solver,N/A
13,VA_7,1,6,0.51,0.49,Solver,N/A
16,VA_7,1,4,0.3,0.7,Solver,N/A
21,VA_7,1,2,0.69,0.31,Solver,N/A
23,VA_7,2,2,0.29,0.71,Non-Solver,N/A
53,VA_7,1,6,0.6,0.4,Solver,N/A
57,VA_7,1,6,0.69,0.31,Solver,N/A
61,VA_7,2,6,0.43,0.57,Non-Solver,N/A
65,VA_7,2,8,0.29,0.71,Non-Solver,N/A
67,VA_7,2,2,0.68,0.32,Non-Solver,N/A
70,VA_7,2,2,0.57,0.43,Non-Solver,N/A
72,VA_7,2,6,0.44,0.56,Non-Solver,N/A
76,VA_7,2,4,0.55,0.45,Non-Solver,N/A
80,VA_7,1,2,0.5,0.5,Solver,N/A
85,VA_7,2,2,0.57,0.43,Non-Solver,N/A
86,VA_7,1,6,0.56,0.44,Solver,N/A
88,VA_7,2,8,0.23,0.77,Non-Solver,N/A
91,VA_7,1,2,0.5,0.5,Solver,N/A
95,VA_7,1,6,0.55,0.45,Solver,N/A
96,VA_7,2,2,0.49,0.51,Non-Solver,N/A
106,VA_7,1,8,0.7,0.3,Solver,N/A
111,VA_7,2,2,0.47,0.53,Non-Solver,N/A
113,VA_7,2,2,0.57,0.43,Non-Solver,N/A
115,VA_7,2,6,0.42,0.58,Non-Solver,N/A
125,VA_7,1,6,0.58,0.42,Solver,N/A
127,VA_7,1,2,0.52,0.48,Solver,N/A
129,VA_7,2,2,0.57,0.43,Non-Solver,N/A
130,VA_7,1,6,0.58,0.42,Solver,N/A
133,VA_7,2,6,0.34,0.66,Non-Solver,N/A
144,VA_7,2,4,0.43,0.57,Non-Solver,N/A
145,VA_7,1,2,0.3,0.7,Solver,N/A
159,VA_7,2,8,0.3,0.7,Non-Solver,N/A
161,VA_7,1,4,0.44,0.56,Solver,N/A
162,VA_7,1,6,0.72,0.28,Solver,N/A
166,VA_7,2,4,0.45,0.55,Non-Solver,N/A
171,VA_7,2,8,0.36,0.64,Non-Solver,N/A
174,VA_7,2,2,0.42,0.58,Non-Solver,N/A
176,VA_7,2,8,0.2,0.8,Non-Solver,N/A
185,VA_7,1,4,0.4,0.6,Solver,N/A
191,VA_7,1,4,0.49,0.51,Solver,N/A
192,VA_7,1,6,0.51,0.49,Solver,N/A
193,VA_7,1,6,0.52,0.48,Solver,N/A
196,VA_7,1,8,0.75,0.25,Solver,N/A
202,VA_7,2,2,0.58,0.42,Non-Solver,N/A
204,VA_7,2,6,0.3,0.7,Non-Solver,N/A
209,VA_7,2,6,0.42,0.58,Non-Solver,N/A
213,VA_7,2,2,0.91,0.09,Non-Solver,N/A
232,VA_7,2,4,0.47,0.53,Non-Solver,N/A
234,VA_7,2,6,0.4,0.6,Non-Solver,N/A
236,VA_7,1,2,0.49,0.51,Solver,N/A
238,VA_7,1,4,0.57,0.43,Solver,N/A
239,VA_7,2,8,0.41,0.59,Non-Solver,N/A
241,VA_7,2,2,0.5,0.5,Non-Solver,N/A
250,VA_7,2,6,0.5,0.5,Non-Solver,N/A
251,VA_7,1,2,0.24,0.76,Solver,N/A
252,VA_7,1,6,0.71,0.29,Solver,N/A
255,VA_7,1,4,0.45,0.55,Solver,N/A
257,VA_7,2,6,0.36,0.64,Non-Solver,N/A
260,VA_7,1,6,0.45,0.55,Solver,N/A
262,VA_7,2,8,0.24,0.76,Non-Solver,N/A
263,VA_7,1,6,0.64,0.36,Solver,N/A
276,VA_7,1,2,0.3,0.7,Solver,N/A
283,VA_7,2,6,0.38,0.62,Non-Solver,N/A
285,VA_7,2,4,0.35,0.65,Non-Solver,N/A
289,VA_7,2,8,0.23,0.77,Non-Solver,N/A
295,VA_7,1,2,0.52,0.48,Solver,N/A
305,VA_7,2,2,0.58,0.42,Non-Solver,N/A
308,VA_7,2,6,0.39,0.61,Non-Solver,N/A
