Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
7,VA_sen,2,8,0.17,0.83,Non-Solver,N/A
14,VA_sen,2,6,0.4,0.6,Non-Solver,N/A
18,VA_sen,1,4,0.54,0.46,Solver,N/A
24,VA_sen,1,2,0.48,0.52,Solver,N/A
25,VA_sen,1,8,0.6,0.4,Solver,N/A
26,VA_sen,1,8,0.82,0.18,Solver,N/A
34,VA_sen,1,4,0.6,0.4,Solver,N/A
36,VA_sen,1,10,0.94,0.0600000000000001,Solver,N/A
37,VA_sen,1,6,0.73,0.27,Solver,N/A
44,VA_sen,1,2,0.51,0.49,Solver,N/A
47,VA_sen,2,6,0.39,0.61,Non-Solver,N/A
51,VA_sen,1,6,0.53,0.47,Solver,N/A
68,VA_sen,2,8,0.07,0.93,Non-Solver,N/A
73,VA_sen,1,6,0.66,0.34,Solver,N/A
79,VA_sen,1,6,0.53,0.47,Solver,N/A
84,VA_sen,1,10,0.97,0.03,Solver,N/A
103,VA_sen,2,4,0.59,0.41,Non-Solver,N/A
106,VA_sen,1,10,0.7,0.3,Solver,N/A
107,VA_sen,2,6,0.21,0.79,Non-Solver,N/A
108,VA_sen,2,6,0.79,0.21,Non-Solver,N/A
112,VA_sen,1,2,0.53,0.47,Solver,N/A
114,VA_sen,2,6,0.3,0.7,Non-Solver,N/A
119,VA_sen,2,4,0.35,0.65,Non-Solver,N/A
121,VA_sen,2,6,0.28,0.72,Non-Solver,N/A
122,VA_sen,1,2,0.6,0.4,Solver,N/A
125,VA_sen,1,6,0.56,0.44,Solver,N/A
135,VA_sen,1,10,0.81,0.19,Solver,N/A
140,VA_sen,1,8,0.82,0.18,Solver,N/A
142,VA_sen,1,6,0.5,0.5,Solver,N/A
146,VA_sen,1,6,0.61,0.39,Solver,N/A
153,VA_sen,2,4,0.46,0.54,Non-Solver,N/A
159,VA_sen,2,6,0.29,0.71,Non-Solver,N/A
174,VA_sen,1,2,0.41,0.59,Solver,N/A
175,VA_sen,2,2,0.47,0.53,Non-Solver,N/A
190,VA_sen,1,10,0.76,0.24,Solver,N/A
192,VA_sen,1,8,0.7,0.3,Solver,N/A
194,VA_sen,1,6,0.55,0.45,Solver,N/A
202,VA_sen,2,6,0.3,0.7,Non-Solver,N/A
204,VA_sen,1,8,0.85,0.15,Solver,N/A
208,VA_sen,1,2,0.51,0.49,Solver,N/A
209,VA_sen,2,6,0.32,0.68,Non-Solver,N/A
214,VA_sen,2,2,0.65,0.35,Non-Solver,N/A
227,VA_sen,1,2,0.51,0.49,Solver,N/A
229,VA_sen,1,4,0.72,0.28,Solver,N/A
230,VA_sen,1,8,0.75,0.25,Solver,N/A
231,VA_sen,1,8,0.75,0.25,Solver,N/A
233,VA_sen,1,6,0.24,0.76,Solver,N/A
239,VA_sen,1,10,0.73,0.27,Solver,N/A
244,VA_sen,1,6,0.58,0.42,Solver,N/A
254,VA_sen,1,6,0.64,0.36,Solver,N/A
259,VA_sen,1,2,0.67,0.33,Solver,N/A
261,VA_sen,2,8,0.42,0.58,Non-Solver,N/A
262,VA_sen,2,6,0.32,0.68,Non-Solver,N/A
265,VA_sen,1,6,0.54,0.46,Solver,N/A
280,VA_sen,1,4,0.55,0.45,Solver,N/A
282,VA_sen,1,8,0.8,0.2,Solver,N/A
283,VA_sen,2,6,0.3,0.7,Non-Solver,N/A
288,VA_sen,1,6,0.54,0.46,Solver,N/A
298,VA_sen,1,8,0.74,0.26,Solver,N/A
301,VA_sen,1,6,0.7,0.3,Solver,N/A
302,VA_sen,2,6,0.41,0.59,Non-Solver,N/A
306,VA_sen,2,2,0.49,0.51,Non-Solver,N/A
