Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
7,VT_gub,2,4,0.14,0.86,Solver,N/A
17,VT_gub,2,6,0.26,0.74,Solver,N/A
19,VT_gub,2,6,0.33,0.67,Solver,N/A
21,VT_gub,1,2,0.48,0.52,Non-Solver,N/A
22,VT_gub,1,8,0.87,0.13,Non-Solver,N/A
28,VT_gub,2,2,0.64,0.36,Solver,N/A
31,VT_gub,1,10,1.0,0.0,Non-Solver,N/A
32,VT_gub,1,8,0.81,0.19,Non-Solver,N/A
35,VT_gub,2,6,0.22,0.78,Solver,N/A
44,VT_gub,1,8,0.72,0.28,Non-Solver,N/A
45,VT_gub,1,4,0.75,0.25,Non-Solver,N/A
46,VT_gub,1,6,0.76,0.24,Non-Solver,N/A
48,VT_gub,2,6,0.2,0.8,Solver,N/A
59,VT_gub,2,2,0.5,0.5,Solver,N/A
60,VT_gub,1,6,0.51,0.49,Non-Solver,N/A
61,VT_gub,2,6,0.6,0.4,Solver,N/A
68,VT_gub,2,8,0.34,0.66,Solver,N/A
74,VT_gub,2,2,0.44,0.56,Solver,N/A
75,VT_gub,2,4,0.4,0.6,Solver,N/A
95,VT_gub,1,2,0.5,0.5,Non-Solver,N/A
96,VT_gub,1,8,0.62,0.38,Non-Solver,N/A
98,VT_gub,1,4,0.51,0.49,Non-Solver,N/A
101,VT_gub,2,6,0.49,0.51,Solver,N/A
105,VT_gub,1,4,0.55,0.45,Non-Solver,N/A
111,VT_gub,1,8,0.69,0.31,Non-Solver,N/A
112,VT_gub,2,8,0.1,0.9,Solver,N/A
114,VT_gub,1,6,0.84,0.16,Non-Solver,N/A
118,VT_gub,2,10,0.21,0.79,Solver,N/A
119,VT_gub,2,6,0.4,0.6,Solver,N/A
124,VT_gub,2,10,0.15,0.85,Solver,N/A
125,VT_gub,1,6,0.56,0.44,Non-Solver,N/A
126,VT_gub,1,6,0.61,0.39,Non-Solver,N/A
127,VT_gub,1,4,0.31,0.69,Non-Solver,N/A
128,VT_gub,1,8,0.82,0.18,Non-Solver,N/A
138,VT_gub,2,6,0.11,0.89,Solver,N/A
139,VT_gub,1,6,0.57,0.43,Non-Solver,N/A
142,VT_gub,1,8,0.8,0.2,Non-Solver,N/A
145,VT_gub,2,2,0.8,0.2,Solver,N/A
147,VT_gub,1,6,0.67,0.33,Non-Solver,N/A
152,VT_gub,1,4,0.33,0.67,Non-Solver,N/A
156,VT_gub,2,8,0.14,0.86,Solver,N/A
160,VT_gub,2,6,0.55,0.45,Solver,N/A
162,VT_gub,1,6,0.71,0.29,Non-Solver,N/A
165,VT_gub,1,4,0.43,0.57,Non-Solver,N/A
172,VT_gub,1,6,0.6,0.4,Non-Solver,N/A
174,VT_gub,2,2,0.45,0.55,Solver,N/A
177,VT_gub,2,6,0.42,0.58,Solver,N/A
179,VT_gub,1,2,0.6,0.4,Non-Solver,N/A
193,VT_gub,1,8,0.83,0.17,Non-Solver,N/A
197,VT_gub,1,8,0.65,0.35,Non-Solver,N/A
198,VT_gub,1,4,0.62,0.38,Non-Solver,N/A
202,VT_gub,1,6,0.41,0.59,Non-Solver,N/A
211,VT_gub,2,6,0.09,0.91,Solver,N/A
214,VT_gub,1,2,0.45,0.55,Non-Solver,N/A
215,VT_gub,1,4,0.78,0.22,Non-Solver,N/A
218,VT_gub,2,8,0.29,0.71,Solver,N/A
229,VT_gub,1,8,0.66,0.34,Non-Solver,N/A
232,VT_gub,1,8,0.88,0.12,Non-Solver,N/A
240,VT_gub,1,6,0.65,0.35,Non-Solver,N/A
247,VT_gub,2,2,0.44,0.56,Solver,N/A
248,VT_gub,2,6,0.49,0.51,Solver,N/A
249,VT_gub,1,6,0.67,0.33,Non-Solver,N/A
255,VT_gub,1,10,0.75,0.25,Non-Solver,N/A
261,VT_gub,1,6,0.61,0.39,Non-Solver,N/A
264,VT_gub,1,6,0.65,0.35,Non-Solver,N/A
272,VT_gub,1,6,0.52,0.48,Non-Solver,N/A
278,VT_gub,1,10,0.73,0.27,Non-Solver,N/A
282,VT_gub,1,6,0.8,0.2,Non-Solver,N/A
285,VT_gub,2,6,0.2,0.8,Solver,N/A
289,VT_gub,1,10,0.92,0.08,Non-Solver,N/A
290,VT_gub,2,8,0.35,0.65,Solver,N/A
292,VT_gub,1,8,0.83,0.17,Non-Solver,N/A
297,VT_gub,1,10,0.94,0.0600000000000001,Non-Solver,N/A
298,VT_gub,1,4,0.36,0.64,Non-Solver,N/A
308,VT_gub,1,2,0.5,0.5,Non-Solver,N/A
