Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,VT_sen,1,10,0.82,0.18,Solver,N/A
5,VT_sen,2,10,0.19,0.81,Non-Solver,N/A
7,VT_sen,2,6,0.1,0.9,Non-Solver,N/A
14,VT_sen,2,6,0.68,0.32,Non-Solver,N/A
15,VT_sen,2,6,0.27,0.73,Non-Solver,N/A
18,VT_sen,1,4,0.61,0.39,Solver,N/A
22,VT_sen,1,10,0.79,0.21,Solver,N/A
23,VT_sen,1,6,0.71,0.29,Solver,N/A
29,VT_sen,1,6,0.66,0.34,Solver,N/A
39,VT_sen,1,10,0.8,0.2,Solver,N/A
47,VT_sen,1,8,0.71,0.29,Solver,N/A
54,VT_sen,1,8,0.71,0.29,Solver,N/A
59,VT_sen,1,8,0.9,0.1,Solver,N/A
68,VT_sen,1,10,0.92,0.08,Solver,N/A
71,VT_sen,1,10,0.93,0.07,Solver,N/A
74,VT_sen,2,6,0.44,0.56,Non-Solver,N/A
79,VT_sen,1,10,0.92,0.08,Solver,N/A
80,VT_sen,1,6,0.6,0.4,Solver,N/A
81,VT_sen,1,6,0.71,0.29,Solver,N/A
84,VT_sen,1,8,0.73,0.27,Solver,N/A
96,VT_sen,1,10,0.91,0.09,Solver,N/A
97,VT_sen,1,8,0.82,0.18,Solver,N/A
100,VT_sen,1,10,1.0,0.0,Solver,N/A
103,VT_sen,1,6,0.62,0.38,Solver,N/A
112,VT_sen,1,10,0.88,0.12,Solver,N/A
122,VT_sen,1,8,0.6,0.4,Solver,N/A
125,VT_sen,1,6,0.58,0.42,Solver,N/A
133,VT_sen,1,8,0.74,0.26,Solver,N/A
136,VT_sen,1,8,0.9,0.1,Solver,N/A
141,VT_sen,1,10,0.99,0.01,Solver,N/A
147,VT_sen,1,10,0.98,0.02,Solver,N/A
151,VT_sen,1,10,0.9,0.1,Solver,N/A
168,VT_sen,1,10,0.96,0.04,Solver,N/A
174,VT_sen,1,8,0.57,0.43,Solver,N/A
180,VT_sen,1,10,0.86,0.14,Solver,N/A
182,VT_sen,1,8,0.71,0.29,Solver,N/A
185,VT_sen,1,8,0.8,0.2,Solver,N/A
188,VT_sen,2,2,0.5,0.5,Non-Solver,N/A
191,VT_sen,1,8,0.75,0.25,Solver,N/A
204,VT_sen,1,8,0.9,0.1,Solver,N/A
205,VT_sen,1,10,0.82,0.18,Solver,N/A
214,VT_sen,1,2,0.7,0.3,Solver,N/A
216,VT_sen,1,8,0.8,0.2,Solver,N/A
221,VT_sen,2,6,0.11,0.89,Non-Solver,N/A
223,VT_sen,1,8,0.97,0.03,Solver,N/A
224,VT_sen,1,2,0.69,0.31,Solver,N/A
225,VT_sen,1,2,0.35,0.65,Solver,N/A
228,VT_sen,2,6,0.53,0.47,Non-Solver,N/A
232,VT_sen,1,8,0.91,0.09,Solver,N/A
234,VT_sen,1,8,0.71,0.29,Solver,N/A
240,VT_sen,1,8,0.87,0.13,Solver,N/A
241,VT_sen,2,2,0.5,0.5,Non-Solver,N/A
245,VT_sen,1,10,0.84,0.16,Solver,N/A
246,VT_sen,2,4,0.44,0.56,Non-Solver,N/A
252,VT_sen,1,8,0.89,0.11,Solver,N/A
254,VT_sen,1,6,0.76,0.24,Solver,N/A
255,VT_sen,1,10,0.9,0.1,Solver,N/A
257,VT_sen,1,10,1.0,0.0,Solver,N/A
267,VT_sen,1,8,0.86,0.14,Solver,N/A
269,VT_sen,1,8,0.76,0.24,Solver,N/A
271,VT_sen,1,8,0.85,0.15,Solver,N/A
273,VT_sen,1,8,0.91,0.09,Solver,N/A
278,VT_sen,1,10,0.82,0.18,Solver,N/A
280,VT_sen,1,10,1.0,0.0,Solver,N/A
296,VT_sen,2,10,0.01,0.99,Non-Solver,N/A
