,Answer,Confidence,Class,1,2,sum_prediction
0,2,1.0,1,0.57,0.43,1.0
1,1,0.2,0,0.22,0.78,1.0
2,1,0.2,0,0.35,0.65,1.0
3,2,0.8,1,0.72,0.28,1.0
4,1,0.2,0,0.66,0.34,1.0
5,1,0.2,0,0.08,0.92,1.0
6,2,1.4,1,0.05,0.95,1.0
7,2,0.2,1,0.5,0.5,1.0
8,2,1.4,1,0.3,0.7,1.0
9,1,0.8,0,0.42,0.58,1.0
10,1,0.2,0,0.25,0.75,1.0
11,2,1.0,1,0.4,0.6,1.0
12,1,0.8,0,0.46,0.54,1.0
13,2,1.4,1,0.24,0.76,1.0
14,1,1.2,0,0.8,0.2,1.0
15,2,1.4,1,0.1,0.9,1.0
16,2,0.2,1,0.56,0.44,1.0
17,1,0.2,0,0.55,0.45,1.0
18,1,0.2,0,0.82,0.18,1.0
19,2,1.0,1,0.45,0.55,1.0
20,2,1.0,1,0.47,0.53,1.0
21,1,0.2,0,0.52,0.48,1.0
22,1,0.2,0,0.0,1.0,1.0
23,1,1.0,0,0.65,0.35,1.0
24,2,1.4,1,0.0,1.0,1.0
25,1,1.0,0,0.6,0.4,1.0
26,2,1.2,1,0.25,0.75,1.0
27,2,1.0,1,0.24,0.76,1.0
28,1,0.8,0,0.38,0.62,1.0
29,1,1.2,0,0.66,0.34,1.0
30,2,1.4,1,0.0,1.0,1.0
31,2,0.2,1,0.5,0.5,1.0
32,1,0.2,0,0.5,0.5,1.0
33,1,0.2,0,0.54,0.46,1.0
34,1,1.2,0,0.88,0.12,1.0
35,2,1.2,1,0.35,0.65,1.0
36,1,0.2,0,0.68,0.32,1.0
37,1,0.2,0,0.14,0.86,1.0
38,2,0.8,1,0.35,0.65,1.0
39,1,1.0,0,0.43,0.57,1.0
40,2,0.8,1,0.54,0.46,1.0
41,2,0.8,1,0.8,0.2,1.0
42,1,1.2,0,0.9,0.1,1.0
43,1,1.0,0,0.7,0.3,1.0
44,1,0.2,0,0.5,0.5,1.0
45,2,1.2,1,0.18,0.82,1.0
46,2,1.2,1,0.23,0.77,1.0
47,1,1.0,0,0.62,0.38,1.0
48,1,0.2,0,0.27,0.73,1.0
49,2,1.2,1,0.15,0.85,1.0
50,2,1.4,1,0.36,0.64,1.0
51,1,1.0,0,0.6,0.4,1.0
52,1,0.2,0,0.2,0.8,1.0
53,2,0.8,1,0.48,0.52,1.0
54,2,0.8,1,0.4,0.6,1.0
55,2,0.8,1,0.38,0.62,1.0
56,1,1.0,0,0.62,0.38,1.0
57,2,1.2,1,0.18,0.82,1.0
58,1,0.2,0,0.67,0.33,1.0
59,1,1.0,0,0.4,0.6,1.0
60,2,1.2,1,0.07,0.93,1.0
61,2,0.2,1,0.4,0.6,1.0
62,2,1.4,1,0.09,0.91,1.0
63,2,1.0,1,0.72,0.28,1.0
64,2,1.0,1,0.45,0.55,1.0
65,1,0.8,0,0.65,0.35,1.0
66,2,1.2,1,0.23,0.77,1.0
67,1,0.8,0,0.6,0.4,1.0
68,1,1.0,0,0.53,0.47,1.0
69,1,0.2,0,0.53,0.47,1.0
70,1,1.4,0,0.94,0.0600000000000001,1.0
71,1,1.0,0,0.51,0.49,1.0
72,1,1.2,0,0.41,0.59,1.0
73,2,0.8,1,0.52,0.48,1.0
74,2,1.2,1,0.26,0.74,1.0
75,2,1.2,1,0.28,0.72,1.0
76,2,0.8,1,0.55,0.45,1.0
77,1,1.2,0,0.86,0.14,1.0
78,1,0.2,0,0.52,0.48,1.0
79,2,0.2,1,1.0,0.0,1.0
80,1,1.0,0,0.63,0.37,1.0
81,2,0.2,1,0.51,0.49,1.0
82,2,1.2,1,0.58,0.42,1.0
83,1,0.2,0,0.57,0.43,1.0
84,2,1.2,1,0.24,0.76,1.0
85,2,0.8,1,0.6,0.4,1.0
86,1,1.2,0,0.88,0.12,1.0
87,1,0.2,0,0.38,0.62,1.0
88,2,0.2,1,0.75,0.25,1.0
89,2,1.4,1,0.73,0.27,1.0
90,2,1.2,1,0.41,0.59,1.0
91,2,1.0,1,0.3,0.7,1.0
92,1,1.0,0,0.39,0.61,1.0
93,1,1.2,0,0.82,0.18,1.0
94,2,0.8,1,0.7,0.3,1.0
95,2,0.2,1,0.78,0.22,1.0
96,2,0.2,1,0.37,0.63,1.0
97,2,0.8,1,0.64,0.36,1.0
98,2,1.2,1,0.34,0.66,1.0
99,1,1.0,0,0.74,0.26,1.0
100,1,1.0,0,0.32,0.68,1.0
101,2,1.0,1,0.49,0.51,1.0
102,2,1.4,1,0.1,0.9,1.0
103,2,0.2,1,0.79,0.21,1.0
104,2,1.2,1,0.14,0.86,1.0
105,2,1.2,1,0.2,0.8,1.0
106,2,1.4,1,0.0,1.0,1.0
107,2,0.8,1,0.52,0.48,1.0
108,1,0.2,0,0.66,0.34,1.0
109,2,0.8,1,0.61,0.39,1.0
