Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W10_BUF_NYJ,2,8,0.39,0.61,Non-Solver,N/A
3,W10_BUF_NYJ,1,2,0.4,0.6,Solver,N/A
4,W10_BUF_NYJ,2,4,0.69,0.31,Non-Solver,N/A
6,W10_BUF_NYJ,2,2,0.29,0.71,Non-Solver,N/A
8,W10_BUF_NYJ,1,2,0.05,0.95,Solver,N/A
9,W10_BUF_NYJ,2,4,0.22,0.78,Non-Solver,N/A
10,W10_BUF_NYJ,2,2,0.5,0.5,Non-Solver,N/A
11,W10_BUF_NYJ,2,6,0.5,0.5,Non-Solver,N/A
13,W10_BUF_NYJ,2,2,0.72,0.28,Non-Solver,N/A
14,W10_BUF_NYJ,2,2,0.8,0.2,Non-Solver,N/A
15,W10_BUF_NYJ,2,2,0.6,0.4,Non-Solver,N/A
16,W10_BUF_NYJ,2,6,0.45,0.55,Non-Solver,N/A
17,W10_BUF_NYJ,1,4,0.56,0.44,Solver,N/A
21,W10_BUF_NYJ,2,8,0.14,0.86,Non-Solver,N/A
23,W10_BUF_NYJ,2,8,0.18,0.82,Non-Solver,N/A
24,W10_BUF_NYJ,2,2,0.35,0.65,Non-Solver,N/A
25,W10_BUF_NYJ,2,2,0.59,0.41,Non-Solver,N/A
26,W10_BUF_NYJ,2,2,0.72,0.28,Non-Solver,N/A
29,W10_BUF_NYJ,1,2,0.28,0.72,Solver,N/A
31,W10_BUF_NYJ,2,6,0.46,0.54,Non-Solver,N/A
32,W10_BUF_NYJ,2,2,0.5,0.5,Non-Solver,N/A
35,W10_BUF_NYJ,2,4,0.95,0.05,Non-Solver,N/A
36,W10_BUF_NYJ,2,6,0.3,0.7,Non-Solver,N/A
39,W10_BUF_NYJ,2,8,0.09,0.91,Non-Solver,N/A
44,W10_BUF_NYJ,2,6,0.55,0.45,Non-Solver,N/A
45,W10_BUF_NYJ,2,8,0.29,0.71,Non-Solver,N/A
46,W10_BUF_NYJ,2,6,0.52,0.48,Non-Solver,N/A
48,W10_BUF_NYJ,2,6,0.55,0.45,Non-Solver,N/A
49,W10_BUF_NYJ,1,4,0.3,0.7,Solver,N/A
51,W10_BUF_NYJ,2,8,0.38,0.62,Non-Solver,N/A
52,W10_BUF_NYJ,2,8,0.29,0.71,Non-Solver,N/A
53,W10_BUF_NYJ,1,2,0.5,0.5,Solver,N/A
54,W10_BUF_NYJ,1,2,0.5,0.5,Solver,N/A
56,W10_BUF_NYJ,2,2,0.47,0.53,Non-Solver,N/A
60,W10_BUF_NYJ,2,8,0.19,0.81,Non-Solver,N/A
62,W10_BUF_NYJ,1,2,0.32,0.68,Solver,N/A
63,W10_BUF_NYJ,2,4,0.44,0.56,Non-Solver,N/A
64,W10_BUF_NYJ,2,2,0.2,0.8,Non-Solver,N/A
65,W10_BUF_NYJ,1,8,0.34,0.66,Solver,N/A
66,W10_BUF_NYJ,2,8,0.44,0.56,Non-Solver,N/A
69,W10_BUF_NYJ,2,6,0.55,0.45,Non-Solver,N/A
70,W10_BUF_NYJ,2,8,0.14,0.86,Non-Solver,N/A
71,W10_BUF_NYJ,2,6,0.38,0.62,Non-Solver,N/A
73,W10_BUF_NYJ,1,2,0.5,0.5,Solver,N/A
