Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W10_CAR_PIT,1,6,0.26,0.74,Non-Solver,N/A
2,W10_CAR_PIT,2,6,0.49,0.51,Solver,N/A
3,W10_CAR_PIT,2,4,0.4,0.6,Solver,N/A
4,W10_CAR_PIT,2,6,0.45,0.55,Solver,N/A
6,W10_CAR_PIT,2,10,0.0,1.0,Solver,N/A
8,W10_CAR_PIT,2,2,0.6,0.4,Solver,N/A
9,W10_CAR_PIT,2,4,0.38,0.62,Solver,N/A
10,W10_CAR_PIT,2,2,0.5,0.5,Solver,N/A
11,W10_CAR_PIT,2,6,0.51,0.49,Solver,N/A
13,W10_CAR_PIT,1,4,0.59,0.41,Non-Solver,N/A
14,W10_CAR_PIT,1,2,0.26,0.74,Non-Solver,N/A
15,W10_CAR_PIT,2,4,0.5,0.5,Solver,N/A
16,W10_CAR_PIT,2,6,0.42,0.58,Solver,N/A
17,W10_CAR_PIT,2,8,0.36,0.64,Solver,N/A
21,W10_CAR_PIT,2,4,0.49,0.51,Solver,N/A
23,W10_CAR_PIT,1,8,0.8,0.2,Non-Solver,N/A
24,W10_CAR_PIT,2,6,0.0600000000000001,0.94,Solver,N/A
25,W10_CAR_PIT,2,4,0.58,0.42,Solver,N/A
26,W10_CAR_PIT,1,2,0.14,0.86,Non-Solver,N/A
29,W10_CAR_PIT,2,4,0.4,0.6,Solver,N/A
31,W10_CAR_PIT,2,6,0.44,0.56,Solver,N/A
32,W10_CAR_PIT,2,2,0.49,0.51,Solver,N/A
35,W10_CAR_PIT,1,2,0.0,1.0,Non-Solver,N/A
36,W10_CAR_PIT,2,6,0.29,0.71,Solver,N/A
44,W10_CAR_PIT,2,10,0.0,1.0,Solver,N/A
45,W10_CAR_PIT,1,6,0.61,0.39,Non-Solver,N/A
46,W10_CAR_PIT,2,8,0.19,0.81,Solver,N/A
48,W10_CAR_PIT,1,6,0.55,0.45,Non-Solver,N/A
49,W10_CAR_PIT,2,6,0.29,0.71,Solver,N/A
50,W10_CAR_PIT,2,2,0.43,0.57,Solver,N/A
53,W10_CAR_PIT,2,2,0.5,0.5,Solver,N/A
54,W10_CAR_PIT,1,2,0.5,0.5,Non-Solver,N/A
56,W10_CAR_PIT,1,2,0.54,0.46,Non-Solver,N/A
60,W10_CAR_PIT,1,8,0.87,0.13,Non-Solver,N/A
61,W10_CAR_PIT,2,6,0.45,0.55,Solver,N/A
62,W10_CAR_PIT,1,2,0.32,0.68,Non-Solver,N/A
63,W10_CAR_PIT,2,4,0.7,0.3,Solver,N/A
64,W10_CAR_PIT,2,2,0.4,0.6,Solver,N/A
65,W10_CAR_PIT,2,6,0.55,0.45,Solver,N/A
66,W10_CAR_PIT,2,6,0.42,0.58,Solver,N/A
69,W10_CAR_PIT,2,4,0.62,0.38,Solver,N/A
70,W10_CAR_PIT,2,8,0.2,0.8,Solver,N/A
71,W10_CAR_PIT,2,8,0.19,0.81,Solver,N/A
73,W10_CAR_PIT,2,2,0.5,0.5,Solver,N/A
76,W10_CAR_PIT,1,6,0.29,0.71,Non-Solver,N/A
77,W10_CAR_PIT,2,2,0.47,0.53,Solver,N/A
80,W10_CAR_PIT,1,2,0.31,0.69,Non-Solver,N/A
81,W10_CAR_PIT,1,6,0.59,0.41,Non-Solver,N/A
82,W10_CAR_PIT,1,6,0.44,0.56,Non-Solver,N/A
83,W10_CAR_PIT,2,6,0.4,0.6,Solver,N/A
86,W10_CAR_PIT,1,6,0.62,0.38,Non-Solver,N/A
87,W10_CAR_PIT,2,6,0.39,0.61,Solver,N/A
88,W10_CAR_PIT,2,2,0.46,0.54,Solver,N/A
90,W10_CAR_PIT,2,6,0.3,0.7,Solver,N/A
92,W10_CAR_PIT,2,6,0.47,0.53,Solver,N/A
95,W10_CAR_PIT,2,6,0.4,0.6,Solver,N/A
97,W10_CAR_PIT,2,6,0.61,0.39,Solver,N/A
98,W10_CAR_PIT,2,8,0.32,0.68,Solver,N/A
99,W10_CAR_PIT,2,6,0.39,0.61,Solver,N/A
100,W10_CAR_PIT,2,2,0.6,0.4,Solver,N/A
103,W10_CAR_PIT,2,6,0.48,0.52,Solver,N/A
104,W10_CAR_PIT,2,6,0.36,0.64,Solver,N/A
105,W10_CAR_PIT,2,6,0.35,0.65,Solver,N/A
106,W10_CAR_PIT,2,6,0.29,0.71,Solver,N/A
108,W10_CAR_PIT,1,6,0.35,0.65,Non-Solver,N/A
109,W10_CAR_PIT,2,6,0.39,0.61,Solver,N/A
110,W10_CAR_PIT,2,4,0.42,0.58,Solver,N/A
111,W10_CAR_PIT,2,8,0.32,0.68,Solver,N/A
112,W10_CAR_PIT,2,2,0.4,0.6,Solver,N/A
113,W10_CAR_PIT,2,4,0.78,0.22,Solver,N/A
115,W10_CAR_PIT,1,2,0.58,0.42,Non-Solver,N/A
118,W10_CAR_PIT,2,10,0.02,0.98,Solver,N/A
126,W10_CAR_PIT,2,2,0.48,0.52,Solver,N/A
129,W10_CAR_PIT,2,6,0.58,0.42,Solver,N/A
131,W10_CAR_PIT,2,10,0.08,0.92,Solver,N/A
132,W10_CAR_PIT,2,6,0.3,0.7,Solver,N/A
137,W10_CAR_PIT,1,4,0.44,0.56,Non-Solver,N/A
143,W10_CAR_PIT,1,4,0.16,0.84,Non-Solver,N/A
146,W10_CAR_PIT,1,2,0.66,0.34,Non-Solver,N/A
148,W10_CAR_PIT,2,10,0.0,1.0,Solver,N/A
149,W10_CAR_PIT,2,6,0.28,0.72,Solver,N/A
153,W10_CAR_PIT,2,2,0.49,0.51,Solver,N/A
155,W10_CAR_PIT,2,8,0.25,0.75,Solver,N/A
156,W10_CAR_PIT,1,6,0.36,0.64,Non-Solver,N/A
159,W10_CAR_PIT,2,2,0.57,0.43,Solver,N/A
161,W10_CAR_PIT,2,4,0.37,0.63,Solver,N/A
165,W10_CAR_PIT,2,2,0.33,0.67,Solver,N/A
167,W10_CAR_PIT,2,8,0.15,0.85,Solver,N/A
169,W10_CAR_PIT,1,4,0.52,0.48,Non-Solver,N/A
171,W10_CAR_PIT,1,2,0.53,0.47,Non-Solver,N/A
172,W10_CAR_PIT,2,6,0.58,0.42,Solver,N/A
