Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W10_DAL_PHI,2,6,0.29,0.71,Non-Solver,N/A
2,W10_DAL_PHI,1,10,0.65,0.35,Solver,N/A
3,W10_DAL_PHI,2,4,0.65,0.35,Non-Solver,N/A
4,W10_DAL_PHI,1,4,0.41,0.59,Solver,N/A
6,W10_DAL_PHI,2,2,0.58,0.42,Non-Solver,N/A
8,W10_DAL_PHI,1,2,0.08,0.92,Solver,N/A
9,W10_DAL_PHI,2,6,0.34,0.66,Non-Solver,N/A
10,W10_DAL_PHI,1,2,0.5,0.5,Solver,N/A
11,W10_DAL_PHI,2,8,0.45,0.55,Non-Solver,N/A
13,W10_DAL_PHI,2,4,0.42,0.58,Non-Solver,N/A
14,W10_DAL_PHI,2,2,0.83,0.17,Non-Solver,N/A
16,W10_DAL_PHI,2,6,0.47,0.53,Non-Solver,N/A
17,W10_DAL_PHI,2,8,0.28,0.72,Non-Solver,N/A
21,W10_DAL_PHI,1,6,0.8,0.2,Solver,N/A
23,W10_DAL_PHI,2,8,0.19,0.81,Non-Solver,N/A
24,W10_DAL_PHI,1,2,0.42,0.58,Solver,N/A
25,W10_DAL_PHI,2,6,0.3,0.7,Non-Solver,N/A
26,W10_DAL_PHI,2,2,0.3,0.7,Non-Solver,N/A
29,W10_DAL_PHI,2,10,0.13,0.87,Non-Solver,N/A
32,W10_DAL_PHI,1,2,0.51,0.49,Solver,N/A
35,W10_DAL_PHI,1,2,0.05,0.95,Solver,N/A
36,W10_DAL_PHI,2,8,0.25,0.75,Non-Solver,N/A
44,W10_DAL_PHI,2,6,0.25,0.75,Non-Solver,N/A
45,W10_DAL_PHI,1,4,0.2,0.8,Solver,N/A
46,W10_DAL_PHI,1,8,0.83,0.17,Solver,N/A
48,W10_DAL_PHI,2,6,0.35,0.65,Non-Solver,N/A
49,W10_DAL_PHI,2,6,0.19,0.81,Non-Solver,N/A
52,W10_DAL_PHI,2,8,0.3,0.7,Non-Solver,N/A
53,W10_DAL_PHI,2,2,0.5,0.5,Non-Solver,N/A
54,W10_DAL_PHI,1,2,0.5,0.5,Solver,N/A
56,W10_DAL_PHI,2,2,0.46,0.54,Non-Solver,N/A
