Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W10_LAC_OAK,1,2,0.37,0.63,Solver,N/A
2,W10_LAC_OAK,1,10,0.81,0.19,Solver,N/A
3,W10_LAC_OAK,2,2,0.7,0.3,Non-Solver,N/A
4,W10_LAC_OAK,2,10,0.1,0.9,Non-Solver,N/A
6,W10_LAC_OAK,2,6,0.34,0.66,Non-Solver,N/A
8,W10_LAC_OAK,1,2,0.09,0.91,Solver,N/A
9,W10_LAC_OAK,1,10,0.84,0.16,Solver,N/A
10,W10_LAC_OAK,2,8,0.22,0.78,Non-Solver,N/A
11,W10_LAC_OAK,1,10,0.4,0.6,Solver,N/A
13,W10_LAC_OAK,1,2,0.63,0.37,Solver,N/A
14,W10_LAC_OAK,1,4,0.44,0.56,Solver,N/A
16,W10_LAC_OAK,1,8,0.72,0.28,Solver,N/A
17,W10_LAC_OAK,2,10,0.0,1.0,Non-Solver,N/A
19,W10_LAC_OAK,2,2,0.14,0.86,Non-Solver,N/A
21,W10_LAC_OAK,1,8,0.8,0.2,Solver,N/A
23,W10_LAC_OAK,1,8,0.81,0.19,Solver,N/A
24,W10_LAC_OAK,1,6,0.97,0.03,Solver,N/A
25,W10_LAC_OAK,2,6,0.23,0.77,Non-Solver,N/A
26,W10_LAC_OAK,1,2,0.71,0.29,Solver,N/A
29,W10_LAC_OAK,1,10,1.0,0.0,Solver,N/A
31,W10_LAC_OAK,2,6,0.42,0.58,Non-Solver,N/A
32,W10_LAC_OAK,1,2,0.51,0.49,Solver,N/A
35,W10_LAC_OAK,1,2,0.5,0.5,Solver,N/A
44,W10_LAC_OAK,1,8,0.75,0.25,Solver,N/A
45,W10_LAC_OAK,1,8,0.61,0.39,Solver,N/A
46,W10_LAC_OAK,1,4,0.56,0.44,Solver,N/A
48,W10_LAC_OAK,1,10,0.85,0.15,Solver,N/A
49,W10_LAC_OAK,1,6,0.81,0.19,Solver,N/A
50,W10_LAC_OAK,1,2,0.24,0.76,Solver,N/A
51,W10_LAC_OAK,1,8,0.8,0.2,Solver,N/A
