Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W10_NE_TEN,2,2,0.46,0.54,Solver,N/A
2,W10_NE_TEN,1,8,0.6,0.4,Non-Solver,N/A
3,W10_NE_TEN,1,6,0.65,0.35,Non-Solver,N/A
4,W10_NE_TEN,1,8,0.8,0.2,Non-Solver,N/A
6,W10_NE_TEN,1,2,0.37,0.63,Non-Solver,N/A
8,W10_NE_TEN,1,2,0.08,0.92,Non-Solver,N/A
9,W10_NE_TEN,1,8,0.84,0.16,Non-Solver,N/A
10,W10_NE_TEN,1,6,0.7,0.3,Non-Solver,N/A
11,W10_NE_TEN,1,8,0.6,0.4,Non-Solver,N/A
13,W10_NE_TEN,1,6,0.71,0.29,Non-Solver,N/A
14,W10_NE_TEN,1,2,0.24,0.76,Non-Solver,N/A
16,W10_NE_TEN,1,8,0.79,0.21,Non-Solver,N/A
17,W10_NE_TEN,1,6,0.62,0.38,Non-Solver,N/A
21,W10_NE_TEN,1,10,0.81,0.19,Non-Solver,N/A
23,W10_NE_TEN,1,8,0.8,0.2,Non-Solver,N/A
24,W10_NE_TEN,1,6,0.98,0.02,Non-Solver,N/A
25,W10_NE_TEN,1,4,0.66,0.34,Non-Solver,N/A
26,W10_NE_TEN,1,2,0.24,0.76,Non-Solver,N/A
29,W10_NE_TEN,2,2,0.91,0.09,Solver,N/A
31,W10_NE_TEN,1,6,0.53,0.47,Non-Solver,N/A
32,W10_NE_TEN,1,2,0.49,0.51,Non-Solver,N/A
35,W10_NE_TEN,1,2,0.04,0.96,Non-Solver,N/A
36,W10_NE_TEN,1,10,0.78,0.22,Non-Solver,N/A
39,W10_NE_TEN,1,8,0.8,0.2,Non-Solver,N/A
44,W10_NE_TEN,1,8,0.9,0.1,Non-Solver,N/A
45,W10_NE_TEN,1,8,0.81,0.19,Non-Solver,N/A
46,W10_NE_TEN,2,8,0.18,0.82,Solver,N/A
48,W10_NE_TEN,1,8,0.65,0.35,Non-Solver,N/A
49,W10_NE_TEN,1,8,0.89,0.11,Non-Solver,N/A
50,W10_NE_TEN,2,2,0.62,0.38,Solver,N/A
51,W10_NE_TEN,1,10,0.68,0.32,Non-Solver,N/A
52,W10_NE_TEN,1,10,1.0,0.0,Non-Solver,N/A
53,W10_NE_TEN,1,2,0.5,0.5,Non-Solver,N/A
54,W10_NE_TEN,1,2,0.5,0.5,Non-Solver,N/A
56,W10_NE_TEN,2,2,0.46,0.54,Solver,N/A
60,W10_NE_TEN,1,10,0.94,0.0600000000000001,Non-Solver,N/A
61,W10_NE_TEN,1,8,0.75,0.25,Non-Solver,N/A
62,W10_NE_TEN,1,10,1.0,0.0,Non-Solver,N/A
63,W10_NE_TEN,1,2,0.46,0.54,Non-Solver,N/A
64,W10_NE_TEN,2,2,0.35,0.65,Solver,N/A
65,W10_NE_TEN,1,8,0.6,0.4,Non-Solver,N/A
66,W10_NE_TEN,1,6,0.54,0.46,Non-Solver,N/A
69,W10_NE_TEN,2,6,0.49,0.51,Solver,N/A
70,W10_NE_TEN,1,10,0.95,0.05,Non-Solver,N/A
71,W10_NE_TEN,2,4,0.39,0.61,Solver,N/A
73,W10_NE_TEN,2,2,0.5,0.5,Solver,N/A
75,W10_NE_TEN,1,8,0.85,0.15,Non-Solver,N/A
76,W10_NE_TEN,1,8,0.67,0.33,Non-Solver,N/A
77,W10_NE_TEN,1,8,0.81,0.19,Non-Solver,N/A
80,W10_NE_TEN,2,2,0.72,0.28,Solver,N/A
81,W10_NE_TEN,1,10,1.0,0.0,Non-Solver,N/A
82,W10_NE_TEN,1,8,0.69,0.31,Non-Solver,N/A
83,W10_NE_TEN,1,6,0.63,0.37,Non-Solver,N/A
85,W10_NE_TEN,1,2,0.61,0.39,Non-Solver,N/A
86,W10_NE_TEN,1,8,0.75,0.25,Non-Solver,N/A
87,W10_NE_TEN,1,6,0.69,0.31,Non-Solver,N/A
88,W10_NE_TEN,1,6,0.62,0.38,Non-Solver,N/A
89,W10_NE_TEN,1,6,0.65,0.35,Non-Solver,N/A
90,W10_NE_TEN,1,8,0.85,0.15,Non-Solver,N/A
92,W10_NE_TEN,1,8,0.77,0.23,Non-Solver,N/A
95,W10_NE_TEN,1,6,0.62,0.38,Non-Solver,N/A
97,W10_NE_TEN,2,4,0.57,0.43,Solver,N/A
98,W10_NE_TEN,1,8,0.85,0.15,Non-Solver,N/A
99,W10_NE_TEN,1,10,0.81,0.19,Non-Solver,N/A
100,W10_NE_TEN,1,2,0.65,0.35,Non-Solver,N/A
103,W10_NE_TEN,1,6,0.6,0.4,Non-Solver,N/A
104,W10_NE_TEN,1,6,0.66,0.34,Non-Solver,N/A
105,W10_NE_TEN,1,6,0.7,0.3,Non-Solver,N/A
106,W10_NE_TEN,1,8,0.73,0.27,Non-Solver,N/A
108,W10_NE_TEN,2,4,0.22,0.78,Solver,N/A
109,W10_NE_TEN,1,6,0.83,0.17,Non-Solver,N/A
110,W10_NE_TEN,1,4,0.52,0.48,Non-Solver,N/A
111,W10_NE_TEN,1,8,0.73,0.27,Non-Solver,N/A
112,W10_NE_TEN,1,6,0.65,0.35,Non-Solver,N/A
113,W10_NE_TEN,1,4,0.82,0.18,Non-Solver,N/A
115,W10_NE_TEN,1,2,0.65,0.35,Non-Solver,N/A
118,W10_NE_TEN,2,10,0.08,0.92,Solver,N/A
121,W10_NE_TEN,1,8,0.61,0.39,Non-Solver,N/A
124,W10_NE_TEN,1,8,0.71,0.29,Non-Solver,N/A
126,W10_NE_TEN,1,6,0.58,0.42,Non-Solver,N/A
128,W10_NE_TEN,1,4,0.58,0.42,Non-Solver,N/A
129,W10_NE_TEN,1,10,0.95,0.05,Non-Solver,N/A
131,W10_NE_TEN,1,8,0.71,0.29,Non-Solver,N/A
132,W10_NE_TEN,1,8,0.8,0.2,Non-Solver,N/A
137,W10_NE_TEN,1,10,0.8,0.2,Non-Solver,N/A
143,W10_NE_TEN,2,4,0.55,0.45,Solver,N/A
146,W10_NE_TEN,1,4,0.8,0.2,Non-Solver,N/A
148,W10_NE_TEN,1,6,0.42,0.58,Non-Solver,N/A
149,W10_NE_TEN,2,4,0.61,0.39,Solver,N/A
153,W10_NE_TEN,1,2,0.5,0.5,Non-Solver,N/A
156,W10_NE_TEN,2,6,0.73,0.27,Solver,N/A
159,W10_NE_TEN,1,4,0.61,0.39,Non-Solver,N/A
161,W10_NE_TEN,1,4,0.66,0.34,Non-Solver,N/A
162,W10_NE_TEN,1,8,0.7,0.3,Non-Solver,N/A
165,W10_NE_TEN,1,8,0.95,0.05,Non-Solver,N/A
167,W10_NE_TEN,2,6,0.16,0.84,Solver,N/A
169,W10_NE_TEN,2,6,0.48,0.52,Solver,N/A
171,W10_NE_TEN,1,2,0.43,0.57,Non-Solver,N/A
172,W10_NE_TEN,1,6,0.31,0.69,Non-Solver,N/A
177,W10_NE_TEN,1,6,0.58,0.42,Non-Solver,N/A
180,W10_NE_TEN,1,8,0.91,0.09,Non-Solver,N/A
186,W10_NE_TEN,1,4,0.21,0.79,Non-Solver,N/A
188,W10_NE_TEN,1,10,1.0,0.0,Non-Solver,N/A
190,W10_NE_TEN,2,6,0.4,0.6,Solver,N/A
191,W10_NE_TEN,1,2,0.66,0.34,Non-Solver,N/A
196,W10_NE_TEN,1,6,0.46,0.54,Non-Solver,N/A
197,W10_NE_TEN,1,8,0.69,0.31,Non-Solver,N/A
200,W10_NE_TEN,1,8,0.91,0.09,Non-Solver,N/A
203,W10_NE_TEN,2,4,0.75,0.25,Solver,N/A
204,W10_NE_TEN,1,8,0.68,0.32,Non-Solver,N/A
207,W10_NE_TEN,1,8,0.75,0.25,Non-Solver,N/A
210,W10_NE_TEN,1,2,0.26,0.74,Non-Solver,N/A
211,W10_NE_TEN,1,8,0.89,0.11,Non-Solver,N/A
212,W10_NE_TEN,1,8,0.88,0.12,Non-Solver,N/A
215,W10_NE_TEN,1,8,0.7,0.3,Non-Solver,N/A
218,W10_NE_TEN,1,10,0.69,0.31,Non-Solver,N/A
220,W10_NE_TEN,1,10,1.0,0.0,Non-Solver,N/A
224,W10_NE_TEN,1,2,0.65,0.35,Non-Solver,N/A
225,W10_NE_TEN,1,2,0.65,0.35,Non-Solver,N/A
227,W10_NE_TEN,1,10,0.94,0.0600000000000001,Non-Solver,N/A
