Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W10_NO_CIN,2,6,0.16,0.84,Non-Solver,N/A
2,W10_NO_CIN,1,8,0.51,0.49,Solver,N/A
3,W10_NO_CIN,1,2,0.4,0.6,Solver,N/A
4,W10_NO_CIN,1,8,0.78,0.22,Solver,N/A
6,W10_NO_CIN,1,2,0.41,0.59,Solver,N/A
8,W10_NO_CIN,1,2,0.05,0.95,Solver,N/A
9,W10_NO_CIN,1,10,0.94,0.0600000000000001,Solver,N/A
10,W10_NO_CIN,1,10,1.0,0.0,Solver,N/A
11,W10_NO_CIN,1,8,0.65,0.35,Solver,N/A
13,W10_NO_CIN,1,4,0.62,0.38,Solver,N/A
14,W10_NO_CIN,1,2,0.26,0.74,Solver,N/A
16,W10_NO_CIN,1,8,0.72,0.28,Solver,N/A
17,W10_NO_CIN,1,6,0.45,0.55,Solver,N/A
21,W10_NO_CIN,1,8,0.71,0.29,Solver,N/A
23,W10_NO_CIN,1,8,0.8,0.2,Solver,N/A
24,W10_NO_CIN,1,2,0.51,0.49,Solver,N/A
25,W10_NO_CIN,1,2,0.58,0.42,Solver,N/A
29,W10_NO_CIN,1,4,0.65,0.35,Solver,N/A
31,W10_NO_CIN,1,6,0.53,0.47,Solver,N/A
32,W10_NO_CIN,1,2,0.5,0.5,Solver,N/A
35,W10_NO_CIN,1,2,0.0,1.0,Solver,N/A
36,W10_NO_CIN,1,8,0.81,0.19,Solver,N/A
39,W10_NO_CIN,1,8,0.71,0.29,Solver,N/A
44,W10_NO_CIN,1,10,0.85,0.15,Solver,N/A
45,W10_NO_CIN,1,6,0.85,0.15,Solver,N/A
46,W10_NO_CIN,1,6,0.54,0.46,Solver,N/A
48,W10_NO_CIN,1,6,0.55,0.45,Solver,N/A
49,W10_NO_CIN,1,6,0.62,0.38,Solver,N/A
50,W10_NO_CIN,1,4,0.36,0.64,Solver,N/A
52,W10_NO_CIN,1,10,1.0,0.0,Solver,N/A
53,W10_NO_CIN,1,2,0.5,0.5,Solver,N/A
54,W10_NO_CIN,1,2,0.5,0.5,Solver,N/A
56,W10_NO_CIN,2,2,0.46,0.54,Non-Solver,N/A
60,W10_NO_CIN,1,6,0.63,0.37,Solver,N/A
62,W10_NO_CIN,2,2,0.6,0.4,Non-Solver,N/A
63,W10_NO_CIN,2,2,0.99,0.01,Non-Solver,N/A
64,W10_NO_CIN,2,2,0.55,0.45,Non-Solver,N/A
65,W10_NO_CIN,1,6,0.44,0.56,Solver,N/A
66,W10_NO_CIN,2,4,0.4,0.6,Non-Solver,N/A
69,W10_NO_CIN,2,8,0.29,0.71,Non-Solver,N/A
71,W10_NO_CIN,2,6,0.36,0.64,Non-Solver,N/A
73,W10_NO_CIN,1,6,0.5,0.5,Solver,N/A
76,W10_NO_CIN,1,6,0.65,0.35,Solver,N/A
77,W10_NO_CIN,1,6,0.61,0.39,Solver,N/A
80,W10_NO_CIN,2,2,0.53,0.47,Non-Solver,N/A
81,W10_NO_CIN,2,6,0.31,0.69,Non-Solver,N/A
82,W10_NO_CIN,1,6,0.57,0.43,Solver,N/A
83,W10_NO_CIN,1,6,0.59,0.41,Solver,N/A
86,W10_NO_CIN,1,8,0.7,0.3,Solver,N/A
87,W10_NO_CIN,1,6,0.64,0.36,Solver,N/A
88,W10_NO_CIN,1,4,0.55,0.45,Solver,N/A
89,W10_NO_CIN,1,6,0.7,0.3,Solver,N/A
90,W10_NO_CIN,1,6,0.45,0.55,Solver,N/A
92,W10_NO_CIN,1,8,0.66,0.34,Solver,N/A
95,W10_NO_CIN,1,6,0.6,0.4,Solver,N/A
97,W10_NO_CIN,2,2,0.68,0.32,Non-Solver,N/A
98,W10_NO_CIN,1,6,0.53,0.47,Solver,N/A
99,W10_NO_CIN,1,8,0.71,0.29,Solver,N/A
100,W10_NO_CIN,1,2,0.66,0.34,Solver,N/A
103,W10_NO_CIN,1,6,0.47,0.53,Solver,N/A
104,W10_NO_CIN,1,6,0.76,0.24,Solver,N/A
105,W10_NO_CIN,1,6,0.65,0.35,Solver,N/A
106,W10_NO_CIN,1,8,0.69,0.31,Solver,N/A
108,W10_NO_CIN,1,8,0.72,0.28,Solver,N/A
109,W10_NO_CIN,1,6,0.7,0.3,Solver,N/A
110,W10_NO_CIN,1,4,0.65,0.35,Solver,N/A
111,W10_NO_CIN,2,8,0.36,0.64,Non-Solver,N/A
112,W10_NO_CIN,1,6,0.6,0.4,Solver,N/A
113,W10_NO_CIN,2,8,0.2,0.8,Non-Solver,N/A
115,W10_NO_CIN,1,2,0.36,0.64,Solver,N/A
118,W10_NO_CIN,2,10,0.15,0.85,Non-Solver,N/A
121,W10_NO_CIN,1,6,0.47,0.53,Solver,N/A
124,W10_NO_CIN,1,10,1.0,0.0,Solver,N/A
126,W10_NO_CIN,1,6,0.61,0.39,Solver,N/A
129,W10_NO_CIN,1,4,0.17,0.83,Solver,N/A
131,W10_NO_CIN,1,8,0.65,0.35,Solver,N/A
132,W10_NO_CIN,1,6,0.65,0.35,Solver,N/A
137,W10_NO_CIN,2,10,0.28,0.72,Non-Solver,N/A
143,W10_NO_CIN,1,10,0.88,0.12,Solver,N/A
146,W10_NO_CIN,1,2,0.7,0.3,Solver,N/A
148,W10_NO_CIN,1,2,0.0,1.0,Solver,N/A
149,W10_NO_CIN,1,6,0.45,0.55,Solver,N/A
153,W10_NO_CIN,1,2,0.51,0.49,Solver,N/A
156,W10_NO_CIN,1,4,0.58,0.42,Solver,N/A
159,W10_NO_CIN,1,2,0.47,0.53,Solver,N/A
162,W10_NO_CIN,1,10,1.0,0.0,Solver,N/A
165,W10_NO_CIN,1,8,0.95,0.05,Solver,N/A
167,W10_NO_CIN,1,2,0.53,0.47,Solver,N/A
169,W10_NO_CIN,1,2,0.44,0.56,Solver,N/A
171,W10_NO_CIN,2,4,0.6,0.4,Non-Solver,N/A
172,W10_NO_CIN,1,10,0.72,0.28,Solver,N/A
177,W10_NO_CIN,1,6,0.72,0.28,Solver,N/A
