Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W10_SEA_LAR,2,10,0.29,0.71,Solver,N/A
3,W10_SEA_LAR,1,6,0.7,0.3,Non-Solver,N/A
4,W10_SEA_LAR,2,8,0.12,0.88,Solver,N/A
6,W10_SEA_LAR,1,2,0.64,0.36,Non-Solver,N/A
8,W10_SEA_LAR,1,2,0.03,0.97,Non-Solver,N/A
9,W10_SEA_LAR,2,10,0.08,0.92,Solver,N/A
10,W10_SEA_LAR,2,10,0.0,1.0,Solver,N/A
11,W10_SEA_LAR,2,8,0.4,0.6,Solver,N/A
13,W10_SEA_LAR,1,4,0.73,0.27,Non-Solver,N/A
14,W10_SEA_LAR,2,4,0.62,0.38,Solver,N/A
15,W10_SEA_LAR,2,6,0.41,0.59,Solver,N/A
16,W10_SEA_LAR,1,8,0.67,0.33,Non-Solver,N/A
17,W10_SEA_LAR,2,8,0.21,0.79,Solver,N/A
21,W10_SEA_LAR,2,6,0.29,0.71,Solver,N/A
23,W10_SEA_LAR,2,8,0.2,0.8,Solver,N/A
24,W10_SEA_LAR,2,6,0.09,0.91,Solver,N/A
25,W10_SEA_LAR,2,10,0.18,0.82,Solver,N/A
29,W10_SEA_LAR,2,6,0.2,0.8,Solver,N/A
31,W10_SEA_LAR,2,6,0.48,0.52,Solver,N/A
32,W10_SEA_LAR,1,2,0.5,0.5,Non-Solver,N/A
35,W10_SEA_LAR,2,2,1.0,0.0,Solver,N/A
36,W10_SEA_LAR,2,8,0.24,0.76,Solver,N/A
44,W10_SEA_LAR,2,8,0.05,0.95,Solver,N/A
46,W10_SEA_LAR,1,8,0.75,0.25,Non-Solver,N/A
48,W10_SEA_LAR,2,8,0.15,0.85,Solver,N/A
49,W10_SEA_LAR,1,6,0.72,0.28,Non-Solver,N/A
51,W10_SEA_LAR,2,6,0.26,0.74,Solver,N/A
52,W10_SEA_LAR,2,10,0.0,1.0,Solver,N/A
53,W10_SEA_LAR,1,2,0.5,0.5,Non-Solver,N/A
54,W10_SEA_LAR,1,2,0.5,0.5,Non-Solver,N/A
56,W10_SEA_LAR,1,2,0.53,0.47,Non-Solver,N/A
60,W10_SEA_LAR,2,8,0.18,0.82,Solver,N/A
61,W10_SEA_LAR,2,8,0.3,0.7,Solver,N/A
62,W10_SEA_LAR,1,2,0.3,0.7,Non-Solver,N/A
63,W10_SEA_LAR,1,4,0.88,0.12,Non-Solver,N/A
64,W10_SEA_LAR,2,2,0.35,0.65,Solver,N/A
65,W10_SEA_LAR,2,10,0.04,0.96,Solver,N/A
66,W10_SEA_LAR,2,6,0.46,0.54,Solver,N/A
69,W10_SEA_LAR,2,4,0.63,0.37,Solver,N/A
70,W10_SEA_LAR,1,8,0.86,0.14,Non-Solver,N/A
71,W10_SEA_LAR,1,10,0.69,0.31,Non-Solver,N/A
73,W10_SEA_LAR,2,4,0.5,0.5,Solver,N/A
76,W10_SEA_LAR,2,8,0.31,0.69,Solver,N/A
