Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W10_WAS_TB,2,4,0.7,0.3,Non-Solver,N/A
2,W10_WAS_TB,1,2,0.1,0.9,Solver,N/A
3,W10_WAS_TB,1,2,0.3,0.7,Solver,N/A
4,W10_WAS_TB,1,4,0.38,0.62,Solver,N/A
6,W10_WAS_TB,2,2,0.4,0.6,Non-Solver,N/A
8,W10_WAS_TB,1,2,0.07,0.93,Solver,N/A
9,W10_WAS_TB,2,4,0.6,0.4,Non-Solver,N/A
10,W10_WAS_TB,1,2,0.5,0.5,Solver,N/A
11,W10_WAS_TB,2,6,0.51,0.49,Non-Solver,N/A
13,W10_WAS_TB,1,2,0.4,0.6,Solver,N/A
14,W10_WAS_TB,1,2,0.24,0.76,Solver,N/A
15,W10_WAS_TB,2,2,0.61,0.39,Non-Solver,N/A
16,W10_WAS_TB,1,6,0.52,0.48,Solver,N/A
17,W10_WAS_TB,2,8,0.37,0.63,Non-Solver,N/A
21,W10_WAS_TB,1,6,0.54,0.46,Solver,N/A
23,W10_WAS_TB,1,8,0.8,0.2,Solver,N/A
24,W10_WAS_TB,1,2,0.64,0.36,Solver,N/A
25,W10_WAS_TB,2,2,0.63,0.37,Non-Solver,N/A
29,W10_WAS_TB,2,2,0.78,0.22,Non-Solver,N/A
31,W10_WAS_TB,1,4,0.54,0.46,Solver,N/A
32,W10_WAS_TB,2,2,0.43,0.57,Non-Solver,N/A
35,W10_WAS_TB,2,2,1.0,0.0,Non-Solver,N/A
36,W10_WAS_TB,1,6,0.3,0.7,Solver,N/A
44,W10_WAS_TB,2,4,0.65,0.35,Non-Solver,N/A
45,W10_WAS_TB,1,6,0.4,0.6,Solver,N/A
46,W10_WAS_TB,2,6,0.43,0.57,Non-Solver,N/A
48,W10_WAS_TB,2,6,0.35,0.65,Non-Solver,N/A
49,W10_WAS_TB,1,6,0.72,0.28,Solver,N/A
50,W10_WAS_TB,1,6,0.64,0.36,Solver,N/A
51,W10_WAS_TB,1,6,0.46,0.54,Solver,N/A
