Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W11_ARI_OAK,2,4,0.64,0.36,Solver,N/A
2,W11_ARI_OAK,1,10,0.81,0.19,Non-Solver,N/A
3,W11_ARI_OAK,2,2,0.6,0.4,Solver,N/A
4,W11_ARI_OAK,2,6,0.52,0.48,Solver,N/A
6,W11_ARI_OAK,2,6,0.37,0.63,Solver,N/A
11,W11_ARI_OAK,1,6,0.25,0.75,Non-Solver,N/A
13,W11_ARI_OAK,2,2,0.2,0.8,Solver,N/A
14,W11_ARI_OAK,2,2,0.6,0.4,Solver,N/A
15,W11_ARI_OAK,2,2,0.6,0.4,Solver,N/A
16,W11_ARI_OAK,1,4,0.58,0.42,Non-Solver,N/A
17,W11_ARI_OAK,1,10,0.66,0.34,Non-Solver,N/A
20,W11_ARI_OAK,2,4,0.45,0.55,Solver,N/A
21,W11_ARI_OAK,2,6,0.31,0.69,Solver,N/A
23,W11_ARI_OAK,1,6,0.7,0.3,Non-Solver,N/A
24,W11_ARI_OAK,2,2,0.08,0.92,Solver,N/A
26,W11_ARI_OAK,1,2,0.22,0.78,Non-Solver,N/A
28,W11_ARI_OAK,2,2,0.19,0.81,Solver,N/A
29,W11_ARI_OAK,1,10,1.0,0.0,Non-Solver,N/A
31,W11_ARI_OAK,2,6,0.47,0.53,Solver,N/A
35,W11_ARI_OAK,1,2,0.0,1.0,Non-Solver,N/A
39,W11_ARI_OAK,2,8,0.25,0.75,Solver,N/A
44,W11_ARI_OAK,1,6,0.6,0.4,Non-Solver,N/A
45,W11_ARI_OAK,2,8,0.3,0.7,Solver,N/A
46,W11_ARI_OAK,1,8,0.73,0.27,Non-Solver,N/A
48,W11_ARI_OAK,1,6,0.5,0.5,Non-Solver,N/A
49,W11_ARI_OAK,2,4,0.4,0.6,Solver,N/A
53,W11_ARI_OAK,1,2,0.5,0.5,Non-Solver,N/A
54,W11_ARI_OAK,1,2,0.5,0.5,Non-Solver,N/A
56,W11_ARI_OAK,2,2,0.47,0.53,Solver,N/A
60,W11_ARI_OAK,2,8,0.13,0.87,Solver,N/A
61,W11_ARI_OAK,2,8,0.25,0.75,Solver,N/A
62,W11_ARI_OAK,1,2,0.58,0.42,Non-Solver,N/A
63,W11_ARI_OAK,2,6,0.29,0.71,Solver,N/A
64,W11_ARI_OAK,1,2,0.71,0.29,Non-Solver,N/A
66,W11_ARI_OAK,2,4,0.52,0.48,Solver,N/A
67,W11_ARI_OAK,2,6,0.25,0.75,Solver,N/A
70,W11_ARI_OAK,1,8,0.87,0.13,Non-Solver,N/A
71,W11_ARI_OAK,2,6,0.46,0.54,Solver,N/A
