Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W12_ARI_LAC,2,2,0.45,0.55,Solver,N/A
4,W12_ARI_LAC,2,10,0.11,0.89,Solver,N/A
6,W12_ARI_LAC,2,2,0.62,0.38,Solver,N/A
9,W12_ARI_LAC,2,10,0.15,0.85,Solver,N/A
11,W12_ARI_LAC,2,8,0.36,0.64,Solver,N/A
13,W12_ARI_LAC,2,2,0.3,0.7,Solver,N/A
14,W12_ARI_LAC,2,2,0.75,0.25,Solver,N/A
16,W12_ARI_LAC,2,8,0.23,0.77,Solver,N/A
17,W12_ARI_LAC,2,8,0.27,0.73,Solver,N/A
20,W12_ARI_LAC,2,6,0.25,0.75,Solver,N/A
21,W12_ARI_LAC,2,8,0.2,0.8,Solver,N/A
23,W12_ARI_LAC,2,8,0.2,0.8,Solver,N/A
24,W12_ARI_LAC,2,2,0.19,0.81,Solver,N/A
25,W12_ARI_LAC,2,4,0.34,0.66,Solver,N/A
26,W12_ARI_LAC,2,4,0.17,0.83,Solver,N/A
28,W12_ARI_LAC,2,2,0.37,0.63,Solver,N/A
29,W12_ARI_LAC,2,6,0.47,0.53,Solver,N/A
31,W12_ARI_LAC,2,4,0.47,0.53,Solver,N/A
35,W12_ARI_LAC,2,2,1.0,0.0,Solver,N/A
39,W12_ARI_LAC,2,8,0.2,0.8,Solver,N/A
44,W12_ARI_LAC,2,6,0.4,0.6,Solver,N/A
45,W12_ARI_LAC,2,6,0.44,0.56,Solver,N/A
46,W12_ARI_LAC,1,8,0.71,0.29,Non-Solver,N/A
48,W12_ARI_LAC,2,6,0.5,0.5,Solver,N/A
50,W12_ARI_LAC,1,4,0.68,0.32,Non-Solver,N/A
51,W12_ARI_LAC,2,4,0.26,0.74,Solver,N/A
52,W12_ARI_LAC,2,8,0.28,0.72,Solver,N/A
53,W12_ARI_LAC,1,2,0.5,0.5,Non-Solver,N/A
54,W12_ARI_LAC,1,2,0.5,0.5,Non-Solver,N/A
56,W12_ARI_LAC,1,2,0.56,0.44,Non-Solver,N/A
60,W12_ARI_LAC,2,10,0.05,0.95,Solver,N/A
61,W12_ARI_LAC,2,8,0.25,0.75,Solver,N/A
62,W12_ARI_LAC,1,6,0.73,0.27,Non-Solver,N/A
63,W12_ARI_LAC,2,4,0.38,0.62,Solver,N/A
65,W12_ARI_LAC,2,6,0.55,0.45,Solver,N/A
