Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W12_CLE_CIN,1,2,0.25,0.75,Solver,N/A
4,W12_CLE_CIN,1,6,0.57,0.43,Solver,N/A
6,W12_CLE_CIN,1,6,0.65,0.35,Solver,N/A
9,W12_CLE_CIN,1,4,0.38,0.62,Solver,N/A
11,W12_CLE_CIN,2,8,0.2,0.8,Non-Solver,N/A
13,W12_CLE_CIN,1,2,0.29,0.71,Solver,N/A
14,W12_CLE_CIN,1,2,0.23,0.77,Solver,N/A
15,W12_CLE_CIN,1,2,0.4,0.6,Solver,N/A
16,W12_CLE_CIN,1,2,0.34,0.66,Solver,N/A
17,W12_CLE_CIN,2,8,0.4,0.6,Non-Solver,N/A
21,W12_CLE_CIN,1,2,0.61,0.39,Solver,N/A
23,W12_CLE_CIN,1,8,0.81,0.19,Solver,N/A
24,W12_CLE_CIN,2,2,0.43,0.57,Non-Solver,N/A
25,W12_CLE_CIN,1,2,0.37,0.63,Solver,N/A
26,W12_CLE_CIN,1,2,0.61,0.39,Solver,N/A
29,W12_CLE_CIN,2,2,0.4,0.6,Non-Solver,N/A
31,W12_CLE_CIN,1,6,0.53,0.47,Solver,N/A
35,W12_CLE_CIN,1,2,0.0,1.0,Solver,N/A
39,W12_CLE_CIN,1,4,0.25,0.75,Solver,N/A
44,W12_CLE_CIN,2,2,0.65,0.35,Non-Solver,N/A
45,W12_CLE_CIN,2,8,0.16,0.84,Non-Solver,N/A
46,W12_CLE_CIN,2,6,0.57,0.43,Non-Solver,N/A
48,W12_CLE_CIN,1,6,0.75,0.25,Solver,N/A
50,W12_CLE_CIN,1,2,0.34,0.66,Solver,N/A
51,W12_CLE_CIN,1,6,0.64,0.36,Solver,N/A
53,W12_CLE_CIN,1,2,0.5,0.5,Solver,N/A
54,W12_CLE_CIN,1,2,0.5,0.5,Solver,N/A
56,W12_CLE_CIN,2,2,0.47,0.53,Non-Solver,N/A
60,W12_CLE_CIN,2,6,0.34,0.66,Non-Solver,N/A
61,W12_CLE_CIN,2,8,0.35,0.65,Non-Solver,N/A
62,W12_CLE_CIN,2,4,0.56,0.44,Non-Solver,N/A
63,W12_CLE_CIN,2,2,0.67,0.33,Non-Solver,N/A
65,W12_CLE_CIN,1,6,0.54,0.46,Solver,N/A
