Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W12_GB_MIN,1,2,0.6,0.4,Non-Solver,N/A
4,W12_GB_MIN,1,10,0.96,0.04,Non-Solver,N/A
6,W12_GB_MIN,1,8,0.88,0.12,Non-Solver,N/A
9,W12_GB_MIN,1,6,0.67,0.33,Non-Solver,N/A
11,W12_GB_MIN,1,8,0.66,0.34,Non-Solver,N/A
13,W12_GB_MIN,1,4,0.73,0.27,Non-Solver,N/A
14,W12_GB_MIN,1,2,0.23,0.77,Non-Solver,N/A
16,W12_GB_MIN,2,6,0.42,0.58,Solver,N/A
17,W12_GB_MIN,1,6,0.62,0.38,Non-Solver,N/A
20,W12_GB_MIN,1,6,0.63,0.37,Non-Solver,N/A
21,W12_GB_MIN,2,8,0.39,0.61,Solver,N/A
23,W12_GB_MIN,2,8,0.19,0.81,Solver,N/A
24,W12_GB_MIN,2,6,0.12,0.88,Solver,N/A
25,W12_GB_MIN,1,2,0.64,0.36,Non-Solver,N/A
26,W12_GB_MIN,1,2,0.76,0.24,Non-Solver,N/A
28,W12_GB_MIN,1,2,0.41,0.59,Non-Solver,N/A
29,W12_GB_MIN,1,2,0.5,0.5,Non-Solver,N/A
31,W12_GB_MIN,2,6,0.47,0.53,Solver,N/A
35,W12_GB_MIN,1,2,0.0,1.0,Non-Solver,N/A
39,W12_GB_MIN,1,10,0.95,0.05,Non-Solver,N/A
44,W12_GB_MIN,1,2,0.4,0.6,Non-Solver,N/A
45,W12_GB_MIN,2,4,0.28,0.72,Solver,N/A
46,W12_GB_MIN,1,6,0.59,0.41,Non-Solver,N/A
48,W12_GB_MIN,1,6,0.65,0.35,Non-Solver,N/A
50,W12_GB_MIN,2,4,0.64,0.36,Solver,N/A
51,W12_GB_MIN,1,8,0.72,0.28,Non-Solver,N/A
53,W12_GB_MIN,1,2,0.5,0.5,Non-Solver,N/A
54,W12_GB_MIN,1,2,0.5,0.5,Non-Solver,N/A
56,W12_GB_MIN,1,2,0.56,0.44,Non-Solver,N/A
60,W12_GB_MIN,2,8,0.17,0.83,Solver,N/A
61,W12_GB_MIN,2,8,0.45,0.55,Solver,N/A
62,W12_GB_MIN,1,10,0.99,0.01,Non-Solver,N/A
63,W12_GB_MIN,1,2,0.41,0.59,Non-Solver,N/A
65,W12_GB_MIN,1,2,0.3,0.7,Non-Solver,N/A
66,W12_GB_MIN,1,6,0.56,0.44,Non-Solver,N/A
69,W12_GB_MIN,1,6,0.55,0.45,Non-Solver,N/A
71,W12_GB_MIN,2,8,0.35,0.65,Solver,N/A
73,W12_GB_MIN,2,2,0.5,0.5,Solver,N/A
76,W12_GB_MIN,1,6,0.71,0.29,Non-Solver,N/A
80,W12_GB_MIN,2,2,0.58,0.42,Solver,N/A
