Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W12_MIA_IND,2,2,0.65,0.35,Solver,N/A
4,W12_MIA_IND,1,6,0.62,0.38,Non-Solver,N/A
6,W12_MIA_IND,1,2,0.39,0.61,Non-Solver,N/A
9,W12_MIA_IND,2,8,0.24,0.76,Solver,N/A
11,W12_MIA_IND,1,4,0.52,0.48,Non-Solver,N/A
13,W12_MIA_IND,1,2,0.29,0.71,Non-Solver,N/A
14,W12_MIA_IND,1,2,0.23,0.77,Non-Solver,N/A
16,W12_MIA_IND,2,2,0.45,0.55,Solver,N/A
17,W12_MIA_IND,2,8,0.38,0.62,Solver,N/A
21,W12_MIA_IND,1,2,0.64,0.36,Non-Solver,N/A
23,W12_MIA_IND,1,8,0.81,0.19,Non-Solver,N/A
25,W12_MIA_IND,2,2,0.58,0.42,Solver,N/A
26,W12_MIA_IND,2,2,0.69,0.31,Solver,N/A
28,W12_MIA_IND,1,2,0.62,0.38,Non-Solver,N/A
29,W12_MIA_IND,1,6,0.66,0.34,Non-Solver,N/A
31,W12_MIA_IND,2,6,0.46,0.54,Solver,N/A
35,W12_MIA_IND,1,2,0.0,1.0,Non-Solver,N/A
39,W12_MIA_IND,1,6,0.61,0.39,Non-Solver,N/A
44,W12_MIA_IND,2,2,0.45,0.55,Solver,N/A
45,W12_MIA_IND,1,8,0.93,0.07,Non-Solver,N/A
46,W12_MIA_IND,1,6,0.55,0.45,Non-Solver,N/A
48,W12_MIA_IND,1,6,0.6,0.4,Non-Solver,N/A
50,W12_MIA_IND,1,8,0.69,0.31,Non-Solver,N/A
51,W12_MIA_IND,1,2,0.36,0.64,Non-Solver,N/A
52,W12_MIA_IND,2,8,0.27,0.73,Solver,N/A
53,W12_MIA_IND,1,2,0.5,0.5,Non-Solver,N/A
54,W12_MIA_IND,2,2,0.5,0.5,Solver,N/A
56,W12_MIA_IND,1,2,0.56,0.44,Non-Solver,N/A
