Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W12_OAK_BAL,1,2,0.35,0.65,Non-Solver,N/A
4,W12_OAK_BAL,1,8,0.81,0.19,Non-Solver,N/A
6,W12_OAK_BAL,1,6,0.63,0.37,Non-Solver,N/A
9,W12_OAK_BAL,2,8,0.25,0.75,Solver,N/A
11,W12_OAK_BAL,2,8,0.51,0.49,Solver,N/A
13,W12_OAK_BAL,1,2,0.65,0.35,Non-Solver,N/A
14,W12_OAK_BAL,1,4,0.29,0.71,Non-Solver,N/A
16,W12_OAK_BAL,1,6,0.6,0.4,Non-Solver,N/A
17,W12_OAK_BAL,2,8,0.4,0.6,Solver,N/A
20,W12_OAK_BAL,1,4,0.54,0.46,Non-Solver,N/A
21,W12_OAK_BAL,1,6,0.5,0.5,Non-Solver,N/A
23,W12_OAK_BAL,2,8,0.19,0.81,Solver,N/A
24,W12_OAK_BAL,2,6,0.74,0.26,Solver,N/A
25,W12_OAK_BAL,1,4,0.66,0.34,Non-Solver,N/A
28,W12_OAK_BAL,1,2,0.81,0.19,Non-Solver,N/A
29,W12_OAK_BAL,2,10,0.0,1.0,Solver,N/A
31,W12_OAK_BAL,1,6,0.53,0.47,Non-Solver,N/A
35,W12_OAK_BAL,1,2,0.0,1.0,Non-Solver,N/A
39,W12_OAK_BAL,1,8,0.8,0.2,Non-Solver,N/A
44,W12_OAK_BAL,2,10,0.15,0.85,Solver,N/A
45,W12_OAK_BAL,1,8,0.98,0.02,Non-Solver,N/A
46,W12_OAK_BAL,2,6,0.31,0.69,Solver,N/A
48,W12_OAK_BAL,2,8,0.35,0.65,Solver,N/A
50,W12_OAK_BAL,1,4,0.36,0.64,Non-Solver,N/A
51,W12_OAK_BAL,1,6,0.58,0.42,Non-Solver,N/A
53,W12_OAK_BAL,2,2,0.5,0.5,Solver,N/A
54,W12_OAK_BAL,1,2,0.5,0.5,Non-Solver,N/A
56,W12_OAK_BAL,1,2,0.56,0.44,Non-Solver,N/A
60,W12_OAK_BAL,1,6,0.69,0.31,Non-Solver,N/A
61,W12_OAK_BAL,1,6,0.7,0.3,Non-Solver,N/A
62,W12_OAK_BAL,2,10,0.19,0.81,Solver,N/A
65,W12_OAK_BAL,1,6,0.46,0.54,Non-Solver,N/A
66,W12_OAK_BAL,1,6,0.57,0.43,Non-Solver,N/A
69,W12_OAK_BAL,1,6,0.44,0.56,Non-Solver,N/A
70,W12_OAK_BAL,2,8,0.05,0.95,Solver,N/A
71,W12_OAK_BAL,1,6,0.57,0.43,Non-Solver,N/A
73,W12_OAK_BAL,2,2,0.5,0.5,Solver,N/A
75,W12_OAK_BAL,2,6,0.39,0.61,Solver,N/A
76,W12_OAK_BAL,2,2,0.22,0.78,Solver,N/A
78,W12_OAK_BAL,1,2,0.5,0.5,Non-Solver,N/A
80,W12_OAK_BAL,1,2,0.25,0.75,Non-Solver,N/A
82,W12_OAK_BAL,1,4,0.74,0.26,Non-Solver,N/A
83,W12_OAK_BAL,2,6,0.3,0.7,Solver,N/A
85,W12_OAK_BAL,1,2,0.6,0.4,Non-Solver,N/A
86,W12_OAK_BAL,2,8,0.28,0.72,Solver,N/A
87,W12_OAK_BAL,1,4,0.23,0.77,Non-Solver,N/A
88,W12_OAK_BAL,2,8,0.26,0.74,Solver,N/A
89,W12_OAK_BAL,1,4,0.44,0.56,Non-Solver,N/A
91,W12_OAK_BAL,1,4,0.81,0.19,Non-Solver,N/A
92,W12_OAK_BAL,2,8,0.29,0.71,Solver,N/A
95,W12_OAK_BAL,1,2,0.39,0.61,Non-Solver,N/A
97,W12_OAK_BAL,1,8,0.55,0.45,Non-Solver,N/A
98,W12_OAK_BAL,1,4,0.38,0.62,Non-Solver,N/A
99,W12_OAK_BAL,1,8,0.81,0.19,Non-Solver,N/A
100,W12_OAK_BAL,1,2,0.37,0.63,Non-Solver,N/A
101,W12_OAK_BAL,2,8,0.2,0.8,Solver,N/A
103,W12_OAK_BAL,2,6,0.5,0.5,Solver,N/A
105,W12_OAK_BAL,2,2,0.4,0.6,Solver,N/A
