Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W12_SEA_CAR,1,4,0.65,0.35,Solver,N/A
4,W12_SEA_CAR,1,4,0.41,0.59,Solver,N/A
6,W12_SEA_CAR,1,2,0.4,0.6,Solver,N/A
9,W12_SEA_CAR,1,2,0.58,0.42,Solver,N/A
11,W12_SEA_CAR,1,6,0.52,0.48,Solver,N/A
13,W12_SEA_CAR,1,4,0.76,0.24,Solver,N/A
14,W12_SEA_CAR,2,2,0.83,0.17,Non-Solver,N/A
16,W12_SEA_CAR,1,8,0.79,0.21,Solver,N/A
17,W12_SEA_CAR,1,4,0.42,0.58,Solver,N/A
20,W12_SEA_CAR,1,6,0.73,0.27,Solver,N/A
21,W12_SEA_CAR,2,10,0.35,0.65,Non-Solver,N/A
23,W12_SEA_CAR,1,10,0.83,0.17,Solver,N/A
25,W12_SEA_CAR,1,4,0.43,0.57,Solver,N/A
26,W12_SEA_CAR,1,2,0.35,0.65,Solver,N/A
28,W12_SEA_CAR,1,2,0.31,0.69,Solver,N/A
29,W12_SEA_CAR,1,2,0.5,0.5,Solver,N/A
31,W12_SEA_CAR,1,4,0.54,0.46,Solver,N/A
35,W12_SEA_CAR,2,2,1.0,0.0,Non-Solver,N/A
39,W12_SEA_CAR,1,8,0.8,0.2,Solver,N/A
44,W12_SEA_CAR,1,8,0.7,0.3,Solver,N/A
45,W12_SEA_CAR,1,8,0.83,0.17,Solver,N/A
46,W12_SEA_CAR,1,6,0.55,0.45,Solver,N/A
48,W12_SEA_CAR,2,6,0.35,0.65,Non-Solver,N/A
50,W12_SEA_CAR,1,2,0.41,0.59,Solver,N/A
51,W12_SEA_CAR,1,6,0.59,0.41,Solver,N/A
53,W12_SEA_CAR,1,2,0.5,0.5,Solver,N/A
54,W12_SEA_CAR,1,2,0.5,0.5,Solver,N/A
56,W12_SEA_CAR,1,2,0.55,0.45,Solver,N/A
57,W12_SEA_CAR,1,8,0.65,0.35,Solver,N/A
60,W12_SEA_CAR,1,10,0.96,0.04,Solver,N/A
61,W12_SEA_CAR,1,6,0.55,0.45,Solver,N/A
62,W12_SEA_CAR,1,6,0.57,0.43,Solver,N/A
63,W12_SEA_CAR,1,2,0.45,0.55,Solver,N/A
65,W12_SEA_CAR,1,6,0.46,0.54,Solver,N/A
66,W12_SEA_CAR,1,6,0.59,0.41,Solver,N/A
69,W12_SEA_CAR,2,6,0.41,0.59,Non-Solver,N/A
70,W12_SEA_CAR,1,10,0.9,0.1,Solver,N/A
71,W12_SEA_CAR,2,8,0.54,0.46,Non-Solver,N/A
73,W12_SEA_CAR,1,2,0.5,0.5,Solver,N/A
75,W12_SEA_CAR,1,8,0.74,0.26,Solver,N/A
76,W12_SEA_CAR,2,6,0.64,0.36,Non-Solver,N/A
78,W12_SEA_CAR,1,2,0.5,0.5,Solver,N/A
80,W12_SEA_CAR,1,2,0.61,0.39,Solver,N/A
82,W12_SEA_CAR,1,4,0.46,0.54,Solver,N/A
83,W12_SEA_CAR,2,6,0.41,0.59,Non-Solver,N/A
85,W12_SEA_CAR,1,2,0.57,0.43,Solver,N/A
86,W12_SEA_CAR,1,8,0.72,0.28,Solver,N/A
87,W12_SEA_CAR,1,6,0.49,0.51,Solver,N/A
88,W12_SEA_CAR,1,6,0.55,0.45,Solver,N/A
89,W12_SEA_CAR,1,4,0.6,0.4,Solver,N/A
91,W12_SEA_CAR,1,8,0.79,0.21,Solver,N/A
92,W12_SEA_CAR,2,10,0.03,0.97,Non-Solver,N/A
97,W12_SEA_CAR,2,2,0.56,0.44,Non-Solver,N/A
98,W12_SEA_CAR,2,6,0.46,0.54,Non-Solver,N/A
100,W12_SEA_CAR,1,2,0.36,0.64,Solver,N/A
101,W12_SEA_CAR,1,6,0.5,0.5,Solver,N/A
