Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W12_TEN_HOU,1,2,0.45,0.55,Non-Solver,N/A
4,W12_TEN_HOU,1,8,0.41,0.59,Non-Solver,N/A
6,W12_TEN_HOU,1,2,0.41,0.59,Non-Solver,N/A
9,W12_TEN_HOU,2,8,0.37,0.63,Solver,N/A
11,W12_TEN_HOU,1,10,0.53,0.47,Non-Solver,N/A
13,W12_TEN_HOU,1,2,0.31,0.69,Non-Solver,N/A
14,W12_TEN_HOU,1,2,0.23,0.77,Non-Solver,N/A
16,W12_TEN_HOU,1,2,0.51,0.49,Non-Solver,N/A
17,W12_TEN_HOU,2,8,0.43,0.57,Solver,N/A
21,W12_TEN_HOU,2,8,0.43,0.57,Solver,N/A
23,W12_TEN_HOU,1,12,0.86,0.14,Non-Solver,N/A
24,W12_TEN_HOU,2,8,0.72,0.28,Solver,N/A
25,W12_TEN_HOU,1,2,0.39,0.61,Non-Solver,N/A
26,W12_TEN_HOU,1,2,0.91,0.09,Non-Solver,N/A
29,W12_TEN_HOU,1,2,0.5,0.5,Non-Solver,N/A
31,W12_TEN_HOU,1,10,0.53,0.47,Non-Solver,N/A
35,W12_TEN_HOU,1,2,0.0,1.0,Non-Solver,N/A
44,W12_TEN_HOU,2,2,0.65,0.35,Solver,N/A
45,W12_TEN_HOU,2,10,0.21,0.79,Solver,N/A
46,W12_TEN_HOU,1,14,0.8,0.2,Non-Solver,N/A
48,W12_TEN_HOU,2,10,0.45,0.55,Solver,N/A
50,W12_TEN_HOU,1,8,0.28,0.72,Non-Solver,N/A
51,W12_TEN_HOU,2,2,0.63,0.37,Solver,N/A
53,W12_TEN_HOU,2,2,0.5,0.5,Solver,N/A
54,W12_TEN_HOU,2,2,0.5,0.5,Solver,N/A
56,W12_TEN_HOU,2,2,0.44,0.56,Solver,N/A
60,W12_TEN_HOU,1,10,0.73,0.27,Non-Solver,N/A
61,W12_TEN_HOU,2,10,0.46,0.54,Solver,N/A
62,W12_TEN_HOU,2,12,0.17,0.83,Solver,N/A
65,W12_TEN_HOU,1,2,0.08,0.92,Non-Solver,N/A
66,W12_TEN_HOU,2,10,0.47,0.53,Solver,N/A
69,W12_TEN_HOU,2,12,0.25,0.75,Solver,N/A
70,W12_TEN_HOU,2,12,0.15,0.85,Solver,N/A
71,W12_TEN_HOU,1,12,0.72,0.28,Non-Solver,N/A
73,W12_TEN_HOU,1,2,0.5,0.5,Non-Solver,N/A
75,W12_TEN_HOU,2,10,0.29,0.71,Solver,N/A
76,W12_TEN_HOU,1,8,0.3,0.7,Non-Solver,N/A
78,W12_TEN_HOU,1,2,0.4,0.6,Non-Solver,N/A
80,W12_TEN_HOU,2,2,0.64,0.36,Solver,N/A
82,W12_TEN_HOU,1,10,0.71,0.29,Non-Solver,N/A
83,W12_TEN_HOU,2,8,0.52,0.48,Solver,N/A
86,W12_TEN_HOU,1,10,0.61,0.39,Non-Solver,N/A
87,W12_TEN_HOU,2,2,0.92,0.08,Solver,N/A
88,W12_TEN_HOU,2,10,0.45,0.55,Solver,N/A
89,W12_TEN_HOU,1,8,0.55,0.45,Non-Solver,N/A
91,W12_TEN_HOU,1,10,0.81,0.19,Non-Solver,N/A
92,W12_TEN_HOU,2,2,0.61,0.39,Solver,N/A
97,W12_TEN_HOU,1,10,0.37,0.63,Non-Solver,N/A
98,W12_TEN_HOU,2,8,0.7,0.3,Solver,N/A
99,W12_TEN_HOU,1,10,0.61,0.39,Non-Solver,N/A
100,W12_TEN_HOU,1,2,0.68,0.32,Non-Solver,N/A
101,W12_TEN_HOU,2,12,0.22,0.78,Solver,N/A
103,W12_TEN_HOU,2,10,0.5,0.5,Solver,N/A
105,W12_TEN_HOU,1,2,0.5,0.5,Non-Solver,N/A
106,W12_TEN_HOU,2,10,0.34,0.66,Solver,N/A
109,W12_TEN_HOU,2,10,0.43,0.57,Solver,N/A
110,W12_TEN_HOU,1,2,0.77,0.23,Non-Solver,N/A
111,W12_TEN_HOU,2,10,0.28,0.72,Solver,N/A
112,W12_TEN_HOU,1,2,0.4,0.6,Non-Solver,N/A
113,W12_TEN_HOU,1,8,0.3,0.7,Non-Solver,N/A
115,W12_TEN_HOU,2,2,0.52,0.48,Solver,N/A
118,W12_TEN_HOU,1,14,0.85,0.15,Non-Solver,N/A
119,W12_TEN_HOU,1,8,0.65,0.35,Non-Solver,N/A
121,W12_TEN_HOU,1,8,0.34,0.66,Non-Solver,N/A
124,W12_TEN_HOU,2,14,0.29,0.71,Solver,N/A
131,W12_TEN_HOU,2,12,0.37,0.63,Solver,N/A
132,W12_TEN_HOU,2,2,0.55,0.45,Solver,N/A
136,W12_TEN_HOU,2,8,0.68,0.32,Solver,N/A
137,W12_TEN_HOU,1,12,0.85,0.15,Non-Solver,N/A
143,W12_TEN_HOU,1,2,0.51,0.49,Non-Solver,N/A
146,W12_TEN_HOU,2,2,0.43,0.57,Solver,N/A
149,W12_TEN_HOU,2,10,0.37,0.63,Solver,N/A
153,W12_TEN_HOU,2,2,0.49,0.51,Solver,N/A
156,W12_TEN_HOU,1,10,0.35,0.65,Non-Solver,N/A
162,W12_TEN_HOU,1,8,0.27,0.73,Non-Solver,N/A
165,W12_TEN_HOU,1,12,0.79,0.21,Non-Solver,N/A
167,W12_TEN_HOU,1,12,0.89,0.11,Non-Solver,N/A
169,W12_TEN_HOU,1,8,0.52,0.48,Non-Solver,N/A
171,W12_TEN_HOU,2,12,0.25,0.75,Solver,N/A
172,W12_TEN_HOU,2,10,0.32,0.68,Solver,N/A
175,W12_TEN_HOU,1,10,0.62,0.38,Non-Solver,N/A
177,W12_TEN_HOU,2,12,0.38,0.62,Solver,N/A
180,W12_TEN_HOU,2,10,0.22,0.78,Solver,N/A
186,W12_TEN_HOU,2,12,0.24,0.76,Solver,N/A
189,W12_TEN_HOU,2,8,0.69,0.31,Solver,N/A
190,W12_TEN_HOU,2,2,0.95,0.05,Solver,N/A
191,W12_TEN_HOU,1,2,0.57,0.43,Non-Solver,N/A
196,W12_TEN_HOU,1,8,0.32,0.68,Non-Solver,N/A
199,W12_TEN_HOU,1,2,0.32,0.68,Non-Solver,N/A
200,W12_TEN_HOU,2,10,0.19,0.81,Solver,N/A
202,W12_TEN_HOU,1,2,0.19,0.81,Non-Solver,N/A
203,W12_TEN_HOU,1,10,0.32,0.68,Non-Solver,N/A
204,W12_TEN_HOU,1,10,0.55,0.45,Non-Solver,N/A
206,W12_TEN_HOU,2,10,0.26,0.74,Solver,N/A
210,W12_TEN_HOU,1,2,0.23,0.77,Non-Solver,N/A
211,W12_TEN_HOU,2,10,0.42,0.58,Solver,N/A
214,W12_TEN_HOU,2,8,0.6,0.4,Solver,N/A
225,W12_TEN_HOU,2,2,0.28,0.72,Solver,N/A
