Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_ARI_GB,1,6,0.41,0.59,Solver,N/A
3,W13_ARI_GB,2,2,0.55,0.45,Non-Solver,N/A
4,W13_ARI_GB,2,8,0.08,0.92,Non-Solver,N/A
6,W13_ARI_GB,2,8,0.15,0.85,Non-Solver,N/A
8,W13_ARI_GB,1,2,0.05,0.95,Solver,N/A
9,W13_ARI_GB,2,4,0.27,0.73,Non-Solver,N/A
11,W13_ARI_GB,2,8,0.35,0.65,Non-Solver,N/A
13,W13_ARI_GB,2,4,0.29,0.71,Non-Solver,N/A
14,W13_ARI_GB,1,2,0.3,0.7,Solver,N/A
16,W13_ARI_GB,1,6,0.56,0.44,Solver,N/A
17,W13_ARI_GB,2,6,0.36,0.64,Non-Solver,N/A
20,W13_ARI_GB,2,6,0.34,0.66,Non-Solver,N/A
21,W13_ARI_GB,2,4,0.48,0.52,Non-Solver,N/A
23,W13_ARI_GB,2,8,0.19,0.81,Non-Solver,N/A
24,W13_ARI_GB,1,2,0.78,0.22,Solver,N/A
25,W13_ARI_GB,2,2,0.48,0.52,Non-Solver,N/A
26,W13_ARI_GB,1,2,0.63,0.37,Solver,N/A
27,W13_ARI_GB,2,2,0.5,0.5,Non-Solver,N/A
29,W13_ARI_GB,2,4,0.41,0.59,Non-Solver,N/A
31,W13_ARI_GB,2,6,0.46,0.54,Non-Solver,N/A
35,W13_ARI_GB,2,6,0.4,0.6,Non-Solver,N/A
39,W13_ARI_GB,2,10,0.05,0.95,Non-Solver,N/A
44,W13_ARI_GB,1,6,0.45,0.55,Solver,N/A
45,W13_ARI_GB,2,8,0.2,0.8,Non-Solver,N/A
46,W13_ARI_GB,2,6,0.63,0.37,Non-Solver,N/A
48,W13_ARI_GB,2,6,0.5,0.5,Non-Solver,N/A
49,W13_ARI_GB,2,8,0.21,0.79,Non-Solver,N/A
50,W13_ARI_GB,1,6,0.64,0.36,Solver,N/A
51,W13_ARI_GB,2,4,0.25,0.75,Non-Solver,N/A
53,W13_ARI_GB,2,2,0.5,0.5,Non-Solver,N/A
54,W13_ARI_GB,1,2,0.5,0.5,Solver,N/A
56,W13_ARI_GB,1,2,0.56,0.44,Solver,N/A
60,W13_ARI_GB,2,6,0.26,0.74,Non-Solver,N/A
61,W13_ARI_GB,2,6,0.45,0.55,Non-Solver,N/A
62,W13_ARI_GB,1,2,0.31,0.69,Solver,N/A
63,W13_ARI_GB,2,2,0.67,0.33,Non-Solver,N/A
64,W13_ARI_GB,2,2,0.44,0.56,Non-Solver,N/A
65,W13_ARI_GB,2,6,0.63,0.37,Non-Solver,N/A
66,W13_ARI_GB,1,6,0.74,0.26,Solver,N/A
67,W13_ARI_GB,2,6,0.16,0.84,Non-Solver,N/A
69,W13_ARI_GB,2,2,0.4,0.6,Non-Solver,N/A
70,W13_ARI_GB,1,8,0.8,0.2,Solver,N/A
71,W13_ARI_GB,2,8,0.38,0.62,Non-Solver,N/A
73,W13_ARI_GB,1,2,0.5,0.5,Solver,N/A
76,W13_ARI_GB,2,6,0.35,0.65,Non-Solver,N/A
77,W13_ARI_GB,2,6,0.27,0.73,Non-Solver,N/A
78,W13_ARI_GB,2,2,0.6,0.4,Non-Solver,N/A
80,W13_ARI_GB,2,2,0.7,0.3,Non-Solver,N/A
82,W13_ARI_GB,2,6,0.41,0.59,Non-Solver,N/A
83,W13_ARI_GB,2,6,0.4,0.6,Non-Solver,N/A
86,W13_ARI_GB,2,8,0.3,0.7,Non-Solver,N/A
87,W13_ARI_GB,2,6,0.39,0.61,Non-Solver,N/A
89,W13_ARI_GB,2,2,0.45,0.55,Non-Solver,N/A
91,W13_ARI_GB,1,8,0.81,0.19,Solver,N/A
92,W13_ARI_GB,2,8,0.16,0.84,Non-Solver,N/A
97,W13_ARI_GB,2,10,0.35,0.65,Non-Solver,N/A
98,W13_ARI_GB,2,6,0.39,0.61,Non-Solver,N/A
99,W13_ARI_GB,2,6,0.4,0.6,Non-Solver,N/A
100,W13_ARI_GB,2,2,0.58,0.42,Non-Solver,N/A
101,W13_ARI_GB,2,8,0.35,0.65,Non-Solver,N/A
103,W13_ARI_GB,2,6,0.55,0.45,Non-Solver,N/A
104,W13_ARI_GB,2,8,0.3,0.7,Non-Solver,N/A
105,W13_ARI_GB,2,8,0.2,0.8,Non-Solver,N/A
106,W13_ARI_GB,2,10,0.17,0.83,Non-Solver,N/A
108,W13_ARI_GB,2,6,0.44,0.56,Non-Solver,N/A
109,W13_ARI_GB,2,6,0.33,0.67,Non-Solver,N/A
110,W13_ARI_GB,2,6,0.33,0.67,Non-Solver,N/A
111,W13_ARI_GB,2,10,0.13,0.87,Non-Solver,N/A
112,W13_ARI_GB,2,8,0.25,0.75,Non-Solver,N/A
113,W13_ARI_GB,1,4,0.34,0.66,Solver,N/A
115,W13_ARI_GB,2,2,0.44,0.56,Non-Solver,N/A
118,W13_ARI_GB,2,10,0.04,0.96,Non-Solver,N/A
119,W13_ARI_GB,2,6,0.3,0.7,Non-Solver,N/A
124,W13_ARI_GB,1,6,0.4,0.6,Solver,N/A
129,W13_ARI_GB,2,6,0.21,0.79,Non-Solver,N/A
130,W13_ARI_GB,1,4,0.07,0.93,Solver,N/A
131,W13_ARI_GB,2,8,0.37,0.63,Non-Solver,N/A
132,W13_ARI_GB,1,4,0.4,0.6,Solver,N/A
137,W13_ARI_GB,1,2,0.19,0.81,Solver,N/A
143,W13_ARI_GB,1,6,0.49,0.51,Solver,N/A
149,W13_ARI_GB,1,6,0.8,0.2,Solver,N/A
153,W13_ARI_GB,2,2,0.5,0.5,Non-Solver,N/A
156,W13_ARI_GB,2,8,0.35,0.65,Non-Solver,N/A
161,W13_ARI_GB,2,4,0.43,0.57,Non-Solver,N/A
162,W13_ARI_GB,2,6,0.4,0.6,Non-Solver,N/A
165,W13_ARI_GB,1,6,0.5,0.5,Solver,N/A
167,W13_ARI_GB,1,6,0.78,0.22,Solver,N/A
169,W13_ARI_GB,1,6,0.8,0.2,Solver,N/A
171,W13_ARI_GB,2,6,0.42,0.58,Non-Solver,N/A
172,W13_ARI_GB,2,6,0.46,0.54,Non-Solver,N/A
175,W13_ARI_GB,2,10,0.07,0.93,Non-Solver,N/A
177,W13_ARI_GB,2,8,0.29,0.71,Non-Solver,N/A
180,W13_ARI_GB,2,8,0.1,0.9,Non-Solver,N/A
186,W13_ARI_GB,2,6,0.3,0.7,Non-Solver,N/A
190,W13_ARI_GB,2,8,0.23,0.77,Non-Solver,N/A
191,W13_ARI_GB,2,2,0.41,0.59,Non-Solver,N/A
196,W13_ARI_GB,1,6,0.54,0.46,Solver,N/A
199,W13_ARI_GB,1,2,0.32,0.68,Solver,N/A
200,W13_ARI_GB,2,6,0.18,0.82,Non-Solver,N/A
203,W13_ARI_GB,1,2,0.35,0.65,Solver,N/A
204,W13_ARI_GB,2,6,0.4,0.6,Non-Solver,N/A
206,W13_ARI_GB,2,8,0.25,0.75,Non-Solver,N/A
207,W13_ARI_GB,2,8,0.25,0.75,Non-Solver,N/A
211,W13_ARI_GB,2,6,0.41,0.59,Non-Solver,N/A
212,W13_ARI_GB,2,8,0.36,0.64,Non-Solver,N/A
214,W13_ARI_GB,2,4,0.62,0.38,Non-Solver,N/A
215,W13_ARI_GB,2,8,0.25,0.75,Non-Solver,N/A
218,W13_ARI_GB,2,4,0.72,0.28,Non-Solver,N/A
221,W13_ARI_GB,2,10,0.0,1.0,Non-Solver,N/A
225,W13_ARI_GB,2,2,0.45,0.55,Non-Solver,N/A
227,W13_ARI_GB,2,6,0.46,0.54,Non-Solver,N/A
