Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_BUF_MIA,2,14,0.6,0.4,Solver,N/A
3,W13_BUF_MIA,2,2,0.4,0.6,Solver,N/A
4,W13_BUF_MIA,2,2,0.58,0.42,Solver,N/A
6,W13_BUF_MIA,2,2,0.46,0.54,Solver,N/A
8,W13_BUF_MIA,1,2,0.04,0.96,Non-Solver,N/A
9,W13_BUF_MIA,1,2,0.32,0.68,Non-Solver,N/A
11,W13_BUF_MIA,1,10,0.51,0.49,Non-Solver,N/A
13,W13_BUF_MIA,1,2,0.31,0.69,Non-Solver,N/A
14,W13_BUF_MIA,1,2,0.19,0.81,Non-Solver,N/A
15,W13_BUF_MIA,2,2,0.6,0.4,Solver,N/A
16,W13_BUF_MIA,1,8,0.54,0.46,Non-Solver,N/A
17,W13_BUF_MIA,1,10,0.47,0.53,Non-Solver,N/A
21,W13_BUF_MIA,2,14,0.19,0.81,Solver,N/A
24,W13_BUF_MIA,1,2,0.43,0.57,Non-Solver,N/A
25,W13_BUF_MIA,2,2,0.57,0.43,Solver,N/A
27,W13_BUF_MIA,2,12,0.22,0.78,Solver,N/A
29,W13_BUF_MIA,2,2,0.4,0.6,Solver,N/A
31,W13_BUF_MIA,2,8,0.46,0.54,Solver,N/A
35,W13_BUF_MIA,1,2,0.5,0.5,Non-Solver,N/A
39,W13_BUF_MIA,2,2,0.9,0.1,Solver,N/A
44,W13_BUF_MIA,2,2,0.55,0.45,Solver,N/A
45,W13_BUF_MIA,2,10,0.36,0.64,Solver,N/A
46,W13_BUF_MIA,2,10,0.42,0.58,Solver,N/A
48,W13_BUF_MIA,1,10,0.46,0.54,Non-Solver,N/A
49,W13_BUF_MIA,2,10,0.33,0.67,Solver,N/A
50,W13_BUF_MIA,2,8,0.59,0.41,Solver,N/A
53,W13_BUF_MIA,1,2,0.5,0.5,Non-Solver,N/A
54,W13_BUF_MIA,1,2,0.5,0.5,Non-Solver,N/A
56,W13_BUF_MIA,1,2,0.56,0.44,Non-Solver,N/A
60,W13_BUF_MIA,2,10,0.24,0.76,Solver,N/A
61,W13_BUF_MIA,1,10,0.56,0.44,Non-Solver,N/A
62,W13_BUF_MIA,1,2,0.37,0.63,Non-Solver,N/A
63,W13_BUF_MIA,2,8,0.56,0.44,Solver,N/A
64,W13_BUF_MIA,2,2,0.32,0.68,Solver,N/A
65,W13_BUF_MIA,2,10,0.52,0.48,Solver,N/A
66,W13_BUF_MIA,1,10,0.36,0.64,Non-Solver,N/A
67,W13_BUF_MIA,2,10,0.2,0.8,Solver,N/A
69,W13_BUF_MIA,2,10,0.69,0.31,Solver,N/A
71,W13_BUF_MIA,2,14,0.17,0.83,Solver,N/A
