Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_CAR_TB,1,6,0.42,0.58,Non-Solver,N/A
3,W13_CAR_TB,1,2,0.35,0.65,Non-Solver,N/A
4,W13_CAR_TB,2,2,0.73,0.27,Solver,N/A
6,W13_CAR_TB,1,2,0.52,0.48,Non-Solver,N/A
8,W13_CAR_TB,1,4,0.08,0.92,Non-Solver,N/A
9,W13_CAR_TB,1,8,0.71,0.29,Non-Solver,N/A
11,W13_CAR_TB,1,8,0.7,0.3,Non-Solver,N/A
13,W13_CAR_TB,1,2,0.65,0.35,Non-Solver,N/A
14,W13_CAR_TB,1,2,0.17,0.83,Non-Solver,N/A
15,W13_CAR_TB,2,2,0.6,0.4,Solver,N/A
16,W13_CAR_TB,1,4,0.55,0.45,Non-Solver,N/A
17,W13_CAR_TB,2,4,0.46,0.54,Solver,N/A
21,W13_CAR_TB,1,10,0.81,0.19,Non-Solver,N/A
23,W13_CAR_TB,1,6,0.71,0.29,Non-Solver,N/A
24,W13_CAR_TB,1,2,0.65,0.35,Non-Solver,N/A
25,W13_CAR_TB,1,2,0.38,0.62,Non-Solver,N/A
26,W13_CAR_TB,1,2,0.91,0.09,Non-Solver,N/A
27,W13_CAR_TB,2,4,0.49,0.51,Solver,N/A
29,W13_CAR_TB,2,2,0.57,0.43,Solver,N/A
31,W13_CAR_TB,2,4,0.46,0.54,Solver,N/A
35,W13_CAR_TB,1,8,0.7,0.3,Non-Solver,N/A
39,W13_CAR_TB,1,2,0.1,0.9,Non-Solver,N/A
44,W13_CAR_TB,1,6,0.6,0.4,Non-Solver,N/A
45,W13_CAR_TB,2,6,0.73,0.27,Solver,N/A
46,W13_CAR_TB,2,6,0.55,0.45,Solver,N/A
48,W13_CAR_TB,1,6,0.67,0.33,Non-Solver,N/A
49,W13_CAR_TB,2,6,0.35,0.65,Solver,N/A
50,W13_CAR_TB,2,2,0.68,0.32,Solver,N/A
53,W13_CAR_TB,1,2,0.5,0.5,Non-Solver,N/A
54,W13_CAR_TB,1,2,0.5,0.5,Non-Solver,N/A
56,W13_CAR_TB,1,2,0.53,0.47,Non-Solver,N/A
57,W13_CAR_TB,1,8,0.6,0.4,Non-Solver,N/A
60,W13_CAR_TB,1,8,0.84,0.16,Non-Solver,N/A
61,W13_CAR_TB,1,6,0.55,0.45,Non-Solver,N/A
62,W13_CAR_TB,1,2,0.22,0.78,Non-Solver,N/A
63,W13_CAR_TB,2,2,0.75,0.25,Solver,N/A
64,W13_CAR_TB,2,4,0.3,0.7,Solver,N/A
65,W13_CAR_TB,1,6,0.41,0.59,Non-Solver,N/A
66,W13_CAR_TB,1,6,0.68,0.32,Non-Solver,N/A
67,W13_CAR_TB,1,2,0.76,0.24,Non-Solver,N/A
69,W13_CAR_TB,2,8,0.57,0.43,Solver,N/A
70,W13_CAR_TB,1,6,0.75,0.25,Non-Solver,N/A
71,W13_CAR_TB,2,8,0.31,0.69,Solver,N/A
73,W13_CAR_TB,1,2,0.5,0.5,Non-Solver,N/A
75,W13_CAR_TB,1,8,0.68,0.32,Non-Solver,N/A
76,W13_CAR_TB,1,6,0.59,0.41,Non-Solver,N/A
77,W13_CAR_TB,1,2,0.42,0.58,Non-Solver,N/A
78,W13_CAR_TB,1,2,0.4,0.6,Non-Solver,N/A
80,W13_CAR_TB,2,2,0.61,0.39,Solver,N/A
82,W13_CAR_TB,1,8,0.58,0.42,Non-Solver,N/A
83,W13_CAR_TB,1,6,0.58,0.42,Non-Solver,N/A
86,W13_CAR_TB,1,6,0.6,0.4,Non-Solver,N/A
