Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_CHI_NYG,2,4,0.7,0.3,Solver,N/A
3,W13_CHI_NYG,2,2,0.55,0.45,Solver,N/A
4,W13_CHI_NYG,2,8,0.05,0.95,Solver,N/A
6,W13_CHI_NYG,2,2,0.52,0.48,Solver,N/A
8,W13_CHI_NYG,1,6,0.02,0.98,Non-Solver,N/A
9,W13_CHI_NYG,1,10,0.81,0.19,Non-Solver,N/A
11,W13_CHI_NYG,1,10,0.7,0.3,Non-Solver,N/A
13,W13_CHI_NYG,2,2,0.65,0.35,Solver,N/A
14,W13_CHI_NYG,2,2,0.77,0.23,Solver,N/A
16,W13_CHI_NYG,2,2,0.45,0.55,Solver,N/A
17,W13_CHI_NYG,1,6,0.57,0.43,Non-Solver,N/A
21,W13_CHI_NYG,2,10,0.09,0.91,Solver,N/A
23,W13_CHI_NYG,1,10,0.83,0.17,Non-Solver,N/A
24,W13_CHI_NYG,1,2,0.26,0.74,Non-Solver,N/A
25,W13_CHI_NYG,2,4,0.23,0.77,Solver,N/A
26,W13_CHI_NYG,1,2,0.77,0.23,Non-Solver,N/A
27,W13_CHI_NYG,2,6,0.5,0.5,Solver,N/A
28,W13_CHI_NYG,2,2,0.6,0.4,Solver,N/A
29,W13_CHI_NYG,1,10,0.96,0.04,Non-Solver,N/A
31,W13_CHI_NYG,1,2,0.54,0.46,Non-Solver,N/A
35,W13_CHI_NYG,1,6,0.6,0.4,Non-Solver,N/A
39,W13_CHI_NYG,2,8,0.2,0.8,Solver,N/A
44,W13_CHI_NYG,1,2,0.4,0.6,Non-Solver,N/A
45,W13_CHI_NYG,2,8,0.15,0.85,Solver,N/A
46,W13_CHI_NYG,2,8,0.2,0.8,Solver,N/A
48,W13_CHI_NYG,2,6,0.35,0.65,Solver,N/A
49,W13_CHI_NYG,2,6,0.31,0.69,Solver,N/A
50,W13_CHI_NYG,1,6,0.44,0.56,Non-Solver,N/A
53,W13_CHI_NYG,2,2,0.5,0.5,Solver,N/A
54,W13_CHI_NYG,1,2,0.5,0.5,Non-Solver,N/A
56,W13_CHI_NYG,2,2,0.46,0.54,Solver,N/A
60,W13_CHI_NYG,2,8,0.13,0.87,Solver,N/A
61,W13_CHI_NYG,2,8,0.35,0.65,Solver,N/A
62,W13_CHI_NYG,1,2,0.34,0.66,Non-Solver,N/A
63,W13_CHI_NYG,2,4,0.53,0.47,Solver,N/A
64,W13_CHI_NYG,1,2,0.56,0.44,Non-Solver,N/A
65,W13_CHI_NYG,2,6,0.53,0.47,Solver,N/A
66,W13_CHI_NYG,1,6,0.7,0.3,Non-Solver,N/A
67,W13_CHI_NYG,2,6,0.12,0.88,Solver,N/A
69,W13_CHI_NYG,1,6,0.63,0.37,Non-Solver,N/A
70,W13_CHI_NYG,2,8,0.2,0.8,Solver,N/A
71,W13_CHI_NYG,2,6,0.66,0.34,Solver,N/A
73,W13_CHI_NYG,2,2,0.5,0.5,Solver,N/A
76,W13_CHI_NYG,1,8,0.68,0.32,Non-Solver,N/A
77,W13_CHI_NYG,2,4,0.62,0.38,Solver,N/A
78,W13_CHI_NYG,1,2,0.4,0.6,Non-Solver,N/A
80,W13_CHI_NYG,2,2,0.65,0.35,Solver,N/A
82,W13_CHI_NYG,2,6,0.65,0.35,Solver,N/A
83,W13_CHI_NYG,2,6,0.38,0.62,Solver,N/A
86,W13_CHI_NYG,2,8,0.3,0.7,Solver,N/A
