Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_CLE_HOU,2,6,0.58,0.42,Solver,N/A
3,W13_CLE_HOU,1,2,0.25,0.75,Non-Solver,N/A
4,W13_CLE_HOU,1,8,0.89,0.11,Non-Solver,N/A
6,W13_CLE_HOU,1,2,0.54,0.46,Non-Solver,N/A
8,W13_CLE_HOU,1,2,0.05,0.95,Non-Solver,N/A
9,W13_CLE_HOU,2,8,0.3,0.7,Solver,N/A
11,W13_CLE_HOU,2,8,0.31,0.69,Solver,N/A
13,W13_CLE_HOU,1,2,0.25,0.75,Non-Solver,N/A
14,W13_CLE_HOU,1,4,0.24,0.76,Non-Solver,N/A
16,W13_CLE_HOU,2,2,0.47,0.53,Solver,N/A
17,W13_CLE_HOU,2,8,0.34,0.66,Solver,N/A
21,W13_CLE_HOU,1,6,0.51,0.49,Non-Solver,N/A
23,W13_CLE_HOU,1,6,0.75,0.25,Non-Solver,N/A
24,W13_CLE_HOU,1,2,0.77,0.23,Non-Solver,N/A
25,W13_CLE_HOU,1,2,0.67,0.33,Non-Solver,N/A
26,W13_CLE_HOU,1,2,0.69,0.31,Non-Solver,N/A
27,W13_CLE_HOU,1,2,0.5,0.5,Non-Solver,N/A
28,W13_CLE_HOU,2,2,0.36,0.64,Solver,N/A
29,W13_CLE_HOU,2,2,0.55,0.45,Solver,N/A
31,W13_CLE_HOU,2,6,0.46,0.54,Solver,N/A
35,W13_CLE_HOU,2,10,0.2,0.8,Solver,N/A
39,W13_CLE_HOU,2,8,0.15,0.85,Solver,N/A
44,W13_CLE_HOU,2,2,0.6,0.4,Solver,N/A
45,W13_CLE_HOU,2,8,0.14,0.86,Solver,N/A
46,W13_CLE_HOU,2,6,0.58,0.42,Solver,N/A
48,W13_CLE_HOU,2,6,0.45,0.55,Solver,N/A
49,W13_CLE_HOU,1,6,0.69,0.31,Non-Solver,N/A
50,W13_CLE_HOU,2,4,0.38,0.62,Solver,N/A
51,W13_CLE_HOU,1,2,0.19,0.81,Non-Solver,N/A
53,W13_CLE_HOU,2,2,0.5,0.5,Solver,N/A
54,W13_CLE_HOU,1,2,0.5,0.5,Non-Solver,N/A
56,W13_CLE_HOU,2,2,0.45,0.55,Solver,N/A
60,W13_CLE_HOU,2,8,0.15,0.85,Solver,N/A
61,W13_CLE_HOU,2,8,0.45,0.55,Solver,N/A
62,W13_CLE_HOU,2,2,0.78,0.22,Solver,N/A
63,W13_CLE_HOU,1,2,0.08,0.92,Non-Solver,N/A
64,W13_CLE_HOU,2,2,0.43,0.57,Solver,N/A
65,W13_CLE_HOU,1,6,0.38,0.62,Non-Solver,N/A
66,W13_CLE_HOU,2,6,0.3,0.7,Solver,N/A
67,W13_CLE_HOU,2,2,0.24,0.76,Solver,N/A
69,W13_CLE_HOU,2,10,0.1,0.9,Solver,N/A
70,W13_CLE_HOU,2,6,0.25,0.75,Solver,N/A
71,W13_CLE_HOU,2,8,0.31,0.69,Solver,N/A
