Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_IND_JAC,2,6,0.49,0.51,Solver,N/A
3,W13_IND_JAC,1,2,0.35,0.65,Non-Solver,N/A
4,W13_IND_JAC,1,8,0.91,0.09,Non-Solver,N/A
6,W13_IND_JAC,2,2,0.52,0.48,Solver,N/A
8,W13_IND_JAC,1,2,0.03,0.97,Non-Solver,N/A
9,W13_IND_JAC,1,6,0.7,0.3,Non-Solver,N/A
11,W13_IND_JAC,1,4,0.49,0.51,Non-Solver,N/A
13,W13_IND_JAC,1,2,0.3,0.7,Non-Solver,N/A
14,W13_IND_JAC,2,2,0.8,0.2,Solver,N/A
15,W13_IND_JAC,2,2,0.6,0.4,Solver,N/A
16,W13_IND_JAC,1,6,0.58,0.42,Non-Solver,N/A
17,W13_IND_JAC,1,6,0.67,0.33,Non-Solver,N/A
21,W13_IND_JAC,2,8,0.29,0.71,Solver,N/A
23,W13_IND_JAC,2,6,0.21,0.79,Solver,N/A
24,W13_IND_JAC,2,2,0.68,0.32,Solver,N/A
25,W13_IND_JAC,1,2,0.66,0.34,Non-Solver,N/A
26,W13_IND_JAC,2,2,0.29,0.71,Solver,N/A
27,W13_IND_JAC,1,2,0.42,0.58,Non-Solver,N/A
29,W13_IND_JAC,2,4,0.45,0.55,Solver,N/A
31,W13_IND_JAC,1,6,0.54,0.46,Non-Solver,N/A
35,W13_IND_JAC,1,10,0.8,0.2,Non-Solver,N/A
39,W13_IND_JAC,2,6,0.45,0.55,Solver,N/A
44,W13_IND_JAC,2,2,0.55,0.45,Solver,N/A
45,W13_IND_JAC,1,8,0.75,0.25,Non-Solver,N/A
46,W13_IND_JAC,1,6,0.56,0.44,Non-Solver,N/A
48,W13_IND_JAC,1,6,0.5,0.5,Non-Solver,N/A
50,W13_IND_JAC,2,6,0.63,0.37,Solver,N/A
51,W13_IND_JAC,1,2,0.24,0.76,Non-Solver,N/A
53,W13_IND_JAC,2,2,0.5,0.5,Solver,N/A
56,W13_IND_JAC,2,2,0.44,0.56,Solver,N/A
60,W13_IND_JAC,2,6,0.27,0.73,Solver,N/A
61,W13_IND_JAC,1,6,0.55,0.45,Non-Solver,N/A
62,W13_IND_JAC,1,2,0.3,0.7,Non-Solver,N/A
63,W13_IND_JAC,1,2,0.17,0.83,Non-Solver,N/A
64,W13_IND_JAC,2,2,0.48,0.52,Solver,N/A
65,W13_IND_JAC,1,6,0.42,0.58,Non-Solver,N/A
66,W13_IND_JAC,2,8,0.22,0.78,Solver,N/A
67,W13_IND_JAC,1,2,0.8,0.2,Non-Solver,N/A
69,W13_IND_JAC,1,4,0.21,0.79,Non-Solver,N/A
71,W13_IND_JAC,2,8,0.3,0.7,Solver,N/A
73,W13_IND_JAC,1,2,0.5,0.5,Non-Solver,N/A
76,W13_IND_JAC,2,4,0.65,0.35,Solver,N/A
77,W13_IND_JAC,1,2,0.53,0.47,Non-Solver,N/A
78,W13_IND_JAC,2,2,0.5,0.5,Solver,N/A
80,W13_IND_JAC,2,2,0.51,0.49,Solver,N/A
82,W13_IND_JAC,1,2,0.41,0.59,Non-Solver,N/A
83,W13_IND_JAC,1,6,0.59,0.41,Non-Solver,N/A
86,W13_IND_JAC,1,8,0.66,0.34,Non-Solver,N/A
87,W13_IND_JAC,2,2,0.87,0.13,Solver,N/A
89,W13_IND_JAC,2,4,0.45,0.55,Solver,N/A
91,W13_IND_JAC,1,4,0.21,0.79,Non-Solver,N/A
92,W13_IND_JAC,1,10,1.0,0.0,Non-Solver,N/A
95,W13_IND_JAC,1,6,0.59,0.41,Non-Solver,N/A
97,W13_IND_JAC,2,6,0.56,0.44,Solver,N/A
98,W13_IND_JAC,1,6,0.54,0.46,Non-Solver,N/A
100,W13_IND_JAC,2,2,0.58,0.42,Solver,N/A
101,W13_IND_JAC,1,6,0.46,0.54,Non-Solver,N/A
103,W13_IND_JAC,2,6,0.53,0.47,Solver,N/A
