Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_KC_OAK,1,4,0.31,0.69,Solver,N/A
3,W13_KC_OAK,2,2,0.35,0.65,Non-Solver,N/A
4,W13_KC_OAK,2,6,0.32,0.68,Non-Solver,N/A
6,W13_KC_OAK,2,6,0.27,0.73,Non-Solver,N/A
8,W13_KC_OAK,1,2,0.05,0.95,Solver,N/A
9,W13_KC_OAK,1,10,0.97,0.03,Solver,N/A
11,W13_KC_OAK,1,10,0.32,0.68,Solver,N/A
13,W13_KC_OAK,2,2,0.65,0.35,Non-Solver,N/A
14,W13_KC_OAK,2,2,0.82,0.18,Non-Solver,N/A
16,W13_KC_OAK,1,6,0.61,0.39,Solver,N/A
17,W13_KC_OAK,1,4,0.72,0.28,Solver,N/A
20,W13_KC_OAK,2,6,0.33,0.67,Non-Solver,N/A
21,W13_KC_OAK,2,2,0.29,0.71,Non-Solver,N/A
23,W13_KC_OAK,2,6,0.3,0.7,Non-Solver,N/A
24,W13_KC_OAK,2,2,0.22,0.78,Non-Solver,N/A
25,W13_KC_OAK,2,6,0.14,0.86,Non-Solver,N/A
26,W13_KC_OAK,1,2,0.84,0.16,Solver,N/A
27,W13_KC_OAK,1,4,0.29,0.71,Solver,N/A
28,W13_KC_OAK,2,2,0.09,0.91,Non-Solver,N/A
29,W13_KC_OAK,1,10,0.95,0.05,Solver,N/A
31,W13_KC_OAK,2,6,0.46,0.54,Non-Solver,N/A
35,W13_KC_OAK,1,8,0.65,0.35,Solver,N/A
44,W13_KC_OAK,1,8,0.75,0.25,Solver,N/A
45,W13_KC_OAK,2,10,0.23,0.77,Non-Solver,N/A
46,W13_KC_OAK,1,6,0.65,0.35,Solver,N/A
48,W13_KC_OAK,1,10,0.95,0.05,Solver,N/A
49,W13_KC_OAK,1,6,0.69,0.31,Solver,N/A
50,W13_KC_OAK,1,4,0.42,0.58,Solver,N/A
51,W13_KC_OAK,2,8,0.31,0.69,Non-Solver,N/A
53,W13_KC_OAK,2,2,0.5,0.5,Non-Solver,N/A
54,W13_KC_OAK,1,2,0.5,0.5,Solver,N/A
56,W13_KC_OAK,2,2,0.44,0.56,Non-Solver,N/A
60,W13_KC_OAK,2,8,0.15,0.85,Non-Solver,N/A
61,W13_KC_OAK,2,8,0.3,0.7,Non-Solver,N/A
62,W13_KC_OAK,1,2,0.35,0.65,Solver,N/A
63,W13_KC_OAK,2,4,0.42,0.58,Non-Solver,N/A
64,W13_KC_OAK,1,2,0.85,0.15,Solver,N/A
65,W13_KC_OAK,1,6,0.46,0.54,Solver,N/A
66,W13_KC_OAK,2,4,0.27,0.73,Non-Solver,N/A
67,W13_KC_OAK,2,6,0.23,0.77,Non-Solver,N/A
