Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_LAC_PIT,2,6,0.52,0.48,Non-Solver,N/A
3,W13_LAC_PIT,2,4,0.45,0.55,Non-Solver,N/A
4,W13_LAC_PIT,1,8,0.78,0.22,Solver,N/A
6,W13_LAC_PIT,2,10,0.0,1.0,Non-Solver,N/A
8,W13_LAC_PIT,1,2,0.06,0.94,Solver,N/A
9,W13_LAC_PIT,1,6,0.4,0.6,Solver,N/A
11,W13_LAC_PIT,1,8,0.71,0.29,Solver,N/A
13,W13_LAC_PIT,1,2,0.79,0.21,Solver,N/A
14,W13_LAC_PIT,1,4,0.39,0.61,Solver,N/A
15,W13_LAC_PIT,1,6,0.55,0.45,Solver,N/A
16,W13_LAC_PIT,1,8,0.79,0.21,Solver,N/A
17,W13_LAC_PIT,2,8,0.15,0.85,Non-Solver,N/A
20,W13_LAC_PIT,1,4,0.72,0.28,Solver,N/A
21,W13_LAC_PIT,1,8,0.71,0.29,Solver,N/A
23,W13_LAC_PIT,1,6,0.71,0.29,Solver,N/A
24,W13_LAC_PIT,1,2,0.94,0.0600000000000001,Solver,N/A
25,W13_LAC_PIT,1,4,0.66,0.34,Solver,N/A
26,W13_LAC_PIT,1,2,0.91,0.09,Solver,N/A
27,W13_LAC_PIT,1,8,0.81,0.19,Solver,N/A
28,W13_LAC_PIT,1,2,0.69,0.31,Solver,N/A
29,W13_LAC_PIT,2,2,0.39,0.61,Non-Solver,N/A
31,W13_LAC_PIT,2,6,0.44,0.56,Non-Solver,N/A
35,W13_LAC_PIT,1,8,0.8,0.2,Solver,N/A
39,W13_LAC_PIT,1,8,0.8,0.2,Solver,N/A
44,W13_LAC_PIT,2,10,0.1,0.9,Non-Solver,N/A
45,W13_LAC_PIT,2,8,0.05,0.95,Non-Solver,N/A
46,W13_LAC_PIT,2,8,0.22,0.78,Non-Solver,N/A
48,W13_LAC_PIT,1,6,0.67,0.33,Solver,N/A
49,W13_LAC_PIT,1,6,0.66,0.34,Solver,N/A
50,W13_LAC_PIT,1,2,0.72,0.28,Solver,N/A
53,W13_LAC_PIT,2,2,0.5,0.5,Non-Solver,N/A
54,W13_LAC_PIT,2,2,0.5,0.5,Non-Solver,N/A
56,W13_LAC_PIT,2,2,0.47,0.53,Non-Solver,N/A
57,W13_LAC_PIT,2,8,0.39,0.61,Non-Solver,N/A
60,W13_LAC_PIT,1,8,0.86,0.14,Solver,N/A
61,W13_LAC_PIT,1,8,0.75,0.25,Solver,N/A
