Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_LAR_DET,1,6,0.42,0.58,Solver,N/A
3,W13_LAR_DET,1,2,0.35,0.65,Solver,N/A
4,W13_LAR_DET,1,8,0.91,0.09,Solver,N/A
6,W13_LAR_DET,1,2,0.54,0.46,Solver,N/A
8,W13_LAR_DET,1,2,0.02,0.98,Solver,N/A
9,W13_LAR_DET,1,10,0.92,0.08,Solver,N/A
11,W13_LAR_DET,1,10,0.94,0.0600000000000001,Solver,N/A
13,W13_LAR_DET,1,2,0.69,0.31,Solver,N/A
14,W13_LAR_DET,1,4,0.25,0.75,Solver,N/A
15,W13_LAR_DET,1,8,0.7,0.3,Solver,N/A
16,W13_LAR_DET,1,8,0.79,0.21,Solver,N/A
17,W13_LAR_DET,1,8,0.85,0.15,Solver,N/A
20,W13_LAR_DET,1,4,0.61,0.39,Solver,N/A
21,W13_LAR_DET,1,10,0.81,0.19,Solver,N/A
23,W13_LAR_DET,1,8,0.83,0.17,Solver,N/A
24,W13_LAR_DET,1,2,0.93,0.07,Solver,N/A
25,W13_LAR_DET,1,8,0.88,0.12,Solver,N/A
26,W13_LAR_DET,1,2,0.59,0.41,Solver,N/A
27,W13_LAR_DET,1,10,1.0,0.0,Solver,N/A
28,W13_LAR_DET,1,2,0.77,0.23,Solver,N/A
29,W13_LAR_DET,1,10,1.0,0.0,Solver,N/A
31,W13_LAR_DET,1,6,0.54,0.46,Solver,N/A
35,W13_LAR_DET,1,10,0.9,0.1,Solver,N/A
39,W13_LAR_DET,1,2,0.11,0.89,Solver,N/A
44,W13_LAR_DET,1,10,0.85,0.15,Solver,N/A
45,W13_LAR_DET,1,8,0.2,0.8,Solver,N/A
46,W13_LAR_DET,1,6,0.64,0.36,Solver,N/A
48,W13_LAR_DET,1,8,0.86,0.14,Solver,N/A
49,W13_LAR_DET,1,6,0.71,0.29,Solver,N/A
50,W13_LAR_DET,1,6,0.4,0.6,Solver,N/A
51,W13_LAR_DET,1,10,0.94,0.0600000000000001,Solver,N/A
53,W13_LAR_DET,1,2,0.5,0.5,Solver,N/A
54,W13_LAR_DET,1,2,0.5,0.5,Solver,N/A
56,W13_LAR_DET,2,2,0.44,0.56,Non-Solver,N/A
60,W13_LAR_DET,1,8,0.89,0.11,Solver,N/A
61,W13_LAR_DET,1,8,0.75,0.25,Solver,N/A
62,W13_LAR_DET,1,2,0.29,0.71,Solver,N/A
63,W13_LAR_DET,1,4,0.52,0.48,Solver,N/A
64,W13_LAR_DET,1,6,0.75,0.25,Solver,N/A
65,W13_LAR_DET,1,10,0.95,0.05,Solver,N/A
66,W13_LAR_DET,1,4,0.66,0.34,Solver,N/A
67,W13_LAR_DET,1,10,0.92,0.08,Solver,N/A
69,W13_LAR_DET,1,6,0.62,0.38,Solver,N/A
70,W13_LAR_DET,1,2,0.5,0.5,Solver,N/A
71,W13_LAR_DET,1,6,0.67,0.33,Solver,N/A
73,W13_LAR_DET,1,2,0.5,0.5,Solver,N/A
