Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_NO_DAL,2,6,0.39,0.61,Solver,N/A
3,W13_NO_DAL,2,2,0.6,0.4,Solver,N/A
4,W13_NO_DAL,2,8,0.13,0.87,Solver,N/A
6,W13_NO_DAL,1,2,0.45,0.55,Non-Solver,N/A
8,W13_NO_DAL,1,2,0.01,0.99,Non-Solver,N/A
9,W13_NO_DAL,2,4,0.85,0.15,Solver,N/A
11,W13_NO_DAL,1,10,0.72,0.28,Non-Solver,N/A
13,W13_NO_DAL,2,2,0.57,0.43,Solver,N/A
14,W13_NO_DAL,2,2,0.77,0.23,Solver,N/A
15,W13_NO_DAL,1,2,0.4,0.6,Non-Solver,N/A
16,W13_NO_DAL,1,6,0.72,0.28,Non-Solver,N/A
17,W13_NO_DAL,1,6,0.72,0.28,Non-Solver,N/A
21,W13_NO_DAL,1,8,0.6,0.4,Non-Solver,N/A
23,W13_NO_DAL,2,6,0.21,0.79,Solver,N/A
24,W13_NO_DAL,2,2,0.67,0.33,Solver,N/A
25,W13_NO_DAL,1,6,0.77,0.23,Non-Solver,N/A
26,W13_NO_DAL,2,2,0.3,0.7,Solver,N/A
27,W13_NO_DAL,2,6,0.4,0.6,Solver,N/A
28,W13_NO_DAL,2,2,0.32,0.68,Solver,N/A
29,W13_NO_DAL,1,10,0.4,0.6,Non-Solver,N/A
31,W13_NO_DAL,2,6,0.41,0.59,Solver,N/A
35,W13_NO_DAL,1,10,0.5,0.5,Non-Solver,N/A
44,W13_NO_DAL,1,10,0.85,0.15,Non-Solver,N/A
45,W13_NO_DAL,2,8,0.17,0.83,Solver,N/A
46,W13_NO_DAL,2,6,0.56,0.44,Solver,N/A
48,W13_NO_DAL,1,8,0.76,0.24,Non-Solver,N/A
50,W13_NO_DAL,1,4,0.59,0.41,Non-Solver,N/A
53,W13_NO_DAL,2,2,0.5,0.5,Solver,N/A
54,W13_NO_DAL,1,2,0.5,0.5,Non-Solver,N/A
56,W13_NO_DAL,1,2,0.53,0.47,Non-Solver,N/A
60,W13_NO_DAL,2,6,0.33,0.67,Solver,N/A
61,W13_NO_DAL,2,6,0.4,0.6,Solver,N/A
62,W13_NO_DAL,2,4,0.79,0.21,Solver,N/A
63,W13_NO_DAL,2,2,0.73,0.27,Solver,N/A
64,W13_NO_DAL,1,2,0.55,0.45,Non-Solver,N/A
65,W13_NO_DAL,2,6,0.48,0.52,Solver,N/A
66,W13_NO_DAL,2,6,0.32,0.68,Solver,N/A
67,W13_NO_DAL,2,6,0.25,0.75,Solver,N/A
69,W13_NO_DAL,1,4,0.72,0.28,Non-Solver,N/A
70,W13_NO_DAL,2,8,0.2,0.8,Solver,N/A
71,W13_NO_DAL,1,8,0.71,0.29,Non-Solver,N/A
73,W13_NO_DAL,1,2,0.5,0.5,Non-Solver,N/A
76,W13_NO_DAL,1,4,0.62,0.38,Non-Solver,N/A
77,W13_NO_DAL,2,2,0.42,0.58,Solver,N/A
78,W13_NO_DAL,2,2,0.3,0.7,Solver,N/A
80,W13_NO_DAL,2,4,0.36,0.64,Solver,N/A
82,W13_NO_DAL,1,6,0.78,0.22,Non-Solver,N/A
83,W13_NO_DAL,2,8,0.25,0.75,Solver,N/A
86,W13_NO_DAL,1,8,0.7,0.3,Non-Solver,N/A
87,W13_NO_DAL,1,6,0.64,0.36,Non-Solver,N/A
89,W13_NO_DAL,1,4,0.55,0.45,Non-Solver,N/A
91,W13_NO_DAL,1,8,0.92,0.08,Non-Solver,N/A
92,W13_NO_DAL,1,10,0.8,0.2,Non-Solver,N/A
