Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_NYJ_TEN,1,4,0.42,0.58,Non-Solver,N/A
3,W13_NYJ_TEN,1,2,0.4,0.6,Non-Solver,N/A
4,W13_NYJ_TEN,1,2,0.32,0.68,Non-Solver,N/A
6,W13_NYJ_TEN,2,2,0.5,0.5,Solver,N/A
8,W13_NYJ_TEN,2,2,0.97,0.03,Solver,N/A
9,W13_NYJ_TEN,2,8,0.4,0.6,Solver,N/A
11,W13_NYJ_TEN,1,6,0.5,0.5,Non-Solver,N/A
13,W13_NYJ_TEN,1,2,0.26,0.74,Non-Solver,N/A
14,W13_NYJ_TEN,1,2,0.16,0.84,Non-Solver,N/A
15,W13_NYJ_TEN,1,2,0.4,0.6,Non-Solver,N/A
16,W13_NYJ_TEN,1,6,0.54,0.46,Non-Solver,N/A
17,W13_NYJ_TEN,1,4,0.34,0.66,Non-Solver,N/A
21,W13_NYJ_TEN,1,10,0.95,0.05,Non-Solver,N/A
23,W13_NYJ_TEN,2,8,0.18,0.82,Solver,N/A
24,W13_NYJ_TEN,1,2,0.8,0.2,Non-Solver,N/A
25,W13_NYJ_TEN,1,2,0.71,0.29,Non-Solver,N/A
26,W13_NYJ_TEN,1,2,0.68,0.32,Non-Solver,N/A
27,W13_NYJ_TEN,1,6,0.62,0.38,Non-Solver,N/A
28,W13_NYJ_TEN,1,2,0.73,0.27,Non-Solver,N/A
29,W13_NYJ_TEN,2,4,0.55,0.45,Solver,N/A
31,W13_NYJ_TEN,1,6,0.54,0.46,Non-Solver,N/A
35,W13_NYJ_TEN,1,2,0.5,0.5,Non-Solver,N/A
39,W13_NYJ_TEN,1,4,0.3,0.7,Non-Solver,N/A
44,W13_NYJ_TEN,1,6,0.4,0.6,Non-Solver,N/A
45,W13_NYJ_TEN,1,4,0.21,0.79,Non-Solver,N/A
46,W13_NYJ_TEN,2,8,0.24,0.76,Solver,N/A
48,W13_NYJ_TEN,1,2,0.45,0.55,Non-Solver,N/A
49,W13_NYJ_TEN,1,6,0.59,0.41,Non-Solver,N/A
50,W13_NYJ_TEN,2,4,0.61,0.39,Solver,N/A
51,W13_NYJ_TEN,1,8,0.61,0.39,Non-Solver,N/A
53,W13_NYJ_TEN,2,2,0.5,0.5,Solver,N/A
54,W13_NYJ_TEN,1,2,0.5,0.5,Non-Solver,N/A
56,W13_NYJ_TEN,1,2,0.55,0.45,Non-Solver,N/A
60,W13_NYJ_TEN,2,6,0.28,0.72,Solver,N/A
61,W13_NYJ_TEN,2,6,0.4,0.6,Solver,N/A
62,W13_NYJ_TEN,1,2,0.29,0.71,Non-Solver,N/A
63,W13_NYJ_TEN,1,4,0.54,0.46,Non-Solver,N/A
64,W13_NYJ_TEN,2,2,0.65,0.35,Solver,N/A
65,W13_NYJ_TEN,1,6,0.48,0.52,Non-Solver,N/A
66,W13_NYJ_TEN,1,6,0.69,0.31,Non-Solver,N/A
67,W13_NYJ_TEN,1,2,0.73,0.27,Non-Solver,N/A
69,W13_NYJ_TEN,1,6,0.39,0.61,Non-Solver,N/A
70,W13_NYJ_TEN,1,8,0.8,0.2,Non-Solver,N/A
71,W13_NYJ_TEN,2,6,0.33,0.67,Solver,N/A
73,W13_NYJ_TEN,2,2,0.5,0.5,Solver,N/A
76,W13_NYJ_TEN,2,4,0.64,0.36,Solver,N/A
77,W13_NYJ_TEN,1,2,0.52,0.48,Non-Solver,N/A
78,W13_NYJ_TEN,2,2,0.6,0.4,Solver,N/A
80,W13_NYJ_TEN,1,2,0.41,0.59,Non-Solver,N/A
82,W13_NYJ_TEN,1,6,0.63,0.37,Non-Solver,N/A
83,W13_NYJ_TEN,1,6,0.55,0.45,Non-Solver,N/A
86,W13_NYJ_TEN,1,6,0.66,0.34,Non-Solver,N/A
87,W13_NYJ_TEN,1,2,0.19,0.81,Non-Solver,N/A
92,W13_NYJ_TEN,2,8,0.29,0.71,Solver,N/A
97,W13_NYJ_TEN,2,4,0.66,0.34,Solver,N/A
98,W13_NYJ_TEN,1,2,0.2,0.8,Non-Solver,N/A
99,W13_NYJ_TEN,1,6,0.6,0.4,Non-Solver,N/A
100,W13_NYJ_TEN,1,2,0.6,0.4,Non-Solver,N/A
101,W13_NYJ_TEN,2,10,0.15,0.85,Solver,N/A
103,W13_NYJ_TEN,1,6,0.48,0.52,Non-Solver,N/A
104,W13_NYJ_TEN,2,6,0.36,0.64,Solver,N/A
105,W13_NYJ_TEN,1,2,0.7,0.3,Non-Solver,N/A
106,W13_NYJ_TEN,2,2,0.39,0.61,Solver,N/A
108,W13_NYJ_TEN,2,6,0.59,0.41,Solver,N/A
109,W13_NYJ_TEN,1,4,0.53,0.47,Non-Solver,N/A
110,W13_NYJ_TEN,2,2,0.3,0.7,Solver,N/A
111,W13_NYJ_TEN,2,8,0.09,0.91,Solver,N/A
112,W13_NYJ_TEN,1,2,0.5,0.5,Non-Solver,N/A
113,W13_NYJ_TEN,2,8,0.28,0.72,Solver,N/A
115,W13_NYJ_TEN,1,2,0.36,0.64,Non-Solver,N/A
118,W13_NYJ_TEN,1,10,0.82,0.18,Non-Solver,N/A
119,W13_NYJ_TEN,2,4,0.4,0.6,Solver,N/A
129,W13_NYJ_TEN,2,6,0.31,0.69,Solver,N/A
130,W13_NYJ_TEN,2,2,0.98,0.02,Solver,N/A
132,W13_NYJ_TEN,2,4,0.65,0.35,Solver,N/A
137,W13_NYJ_TEN,1,6,0.62,0.38,Non-Solver,N/A
143,W13_NYJ_TEN,1,4,0.33,0.67,Non-Solver,N/A
149,W13_NYJ_TEN,1,6,0.6,0.4,Non-Solver,N/A
153,W13_NYJ_TEN,1,2,0.5,0.5,Non-Solver,N/A
156,W13_NYJ_TEN,2,8,0.34,0.66,Solver,N/A
162,W13_NYJ_TEN,1,4,0.28,0.72,Non-Solver,N/A
165,W13_NYJ_TEN,2,8,0.3,0.7,Solver,N/A
167,W13_NYJ_TEN,2,6,0.09,0.91,Solver,N/A
169,W13_NYJ_TEN,2,8,0.15,0.85,Solver,N/A
171,W13_NYJ_TEN,1,6,0.47,0.53,Non-Solver,N/A
172,W13_NYJ_TEN,1,2,0.69,0.31,Non-Solver,N/A
175,W13_NYJ_TEN,1,4,0.42,0.58,Non-Solver,N/A
177,W13_NYJ_TEN,1,4,0.4,0.6,Non-Solver,N/A
180,W13_NYJ_TEN,1,2,0.6,0.4,Non-Solver,N/A
186,W13_NYJ_TEN,1,6,0.41,0.59,Non-Solver,N/A
190,W13_NYJ_TEN,1,6,0.77,0.23,Non-Solver,N/A
191,W13_NYJ_TEN,2,2,0.39,0.61,Solver,N/A
196,W13_NYJ_TEN,2,6,0.66,0.34,Solver,N/A
199,W13_NYJ_TEN,1,2,0.32,0.68,Non-Solver,N/A
200,W13_NYJ_TEN,1,6,0.8,0.2,Non-Solver,N/A
203,W13_NYJ_TEN,1,4,0.37,0.63,Non-Solver,N/A
