Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_SF_SEA,1,10,0.22,0.78,Non-Solver,N/A
3,W13_SF_SEA,2,8,0.35,0.65,Solver,N/A
4,W13_SF_SEA,1,14,0.96,0.04,Non-Solver,N/A
6,W13_SF_SEA,1,2,0.63,0.37,Non-Solver,N/A
8,W13_SF_SEA,1,2,0.06,0.94,Non-Solver,N/A
9,W13_SF_SEA,2,12,0.28,0.72,Solver,N/A
11,W13_SF_SEA,1,10,0.6,0.4,Non-Solver,N/A
13,W13_SF_SEA,2,8,0.34,0.66,Solver,N/A
14,W13_SF_SEA,1,2,0.25,0.75,Non-Solver,N/A
16,W13_SF_SEA,2,12,0.17,0.83,Solver,N/A
17,W13_SF_SEA,2,10,0.37,0.63,Solver,N/A
20,W13_SF_SEA,1,8,0.56,0.44,Non-Solver,N/A
21,W13_SF_SEA,2,8,0.34,0.66,Solver,N/A
23,W13_SF_SEA,1,12,0.81,0.19,Non-Solver,N/A
24,W13_SF_SEA,1,2,0.83,0.17,Non-Solver,N/A
25,W13_SF_SEA,1,2,0.33,0.67,Non-Solver,N/A
26,W13_SF_SEA,1,2,1.0,0.0,Non-Solver,N/A
27,W13_SF_SEA,2,12,0.2,0.8,Solver,N/A
28,W13_SF_SEA,1,2,0.66,0.34,Non-Solver,N/A
29,W13_SF_SEA,2,10,0.25,0.75,Solver,N/A
31,W13_SF_SEA,2,10,0.46,0.54,Solver,N/A
35,W13_SF_SEA,2,10,0.5,0.5,Solver,N/A
39,W13_SF_SEA,1,12,0.9,0.1,Non-Solver,N/A
44,W13_SF_SEA,2,12,0.4,0.6,Solver,N/A
45,W13_SF_SEA,1,14,0.89,0.11,Non-Solver,N/A
46,W13_SF_SEA,1,12,0.88,0.12,Non-Solver,N/A
48,W13_SF_SEA,2,12,0.25,0.75,Solver,N/A
49,W13_SF_SEA,2,10,0.31,0.69,Solver,N/A
50,W13_SF_SEA,1,12,0.33,0.67,Non-Solver,N/A
51,W13_SF_SEA,1,10,0.71,0.29,Non-Solver,N/A
53,W13_SF_SEA,2,2,0.5,0.5,Solver,N/A
54,W13_SF_SEA,1,2,0.5,0.5,Non-Solver,N/A
56,W13_SF_SEA,2,2,0.44,0.56,Solver,N/A
60,W13_SF_SEA,2,14,0.05,0.95,Solver,N/A
61,W13_SF_SEA,1,10,0.55,0.45,Non-Solver,N/A
62,W13_SF_SEA,1,2,0.58,0.42,Non-Solver,N/A
63,W13_SF_SEA,2,2,0.64,0.36,Solver,N/A
64,W13_SF_SEA,1,10,0.59,0.41,Non-Solver,N/A
65,W13_SF_SEA,2,10,0.44,0.56,Solver,N/A
66,W13_SF_SEA,2,10,0.34,0.66,Solver,N/A
67,W13_SF_SEA,2,12,0.14,0.86,Solver,N/A
69,W13_SF_SEA,1,8,0.24,0.76,Non-Solver,N/A
70,W13_SF_SEA,1,12,0.8,0.2,Non-Solver,N/A
71,W13_SF_SEA,2,10,0.31,0.69,Solver,N/A
73,W13_SF_SEA,2,2,0.5,0.5,Solver,N/A
76,W13_SF_SEA,2,10,0.65,0.35,Solver,N/A
77,W13_SF_SEA,1,10,0.56,0.44,Non-Solver,N/A
78,W13_SF_SEA,1,2,0.5,0.5,Non-Solver,N/A
