Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W13_WAS_PHI,2,6,0.79,0.21,Solver,N/A
3,W13_WAS_PHI,2,2,0.45,0.55,Solver,N/A
4,W13_WAS_PHI,2,2,0.64,0.36,Solver,N/A
6,W13_WAS_PHI,2,2,0.54,0.46,Solver,N/A
8,W13_WAS_PHI,1,2,0.08,0.92,Non-Solver,N/A
11,W13_WAS_PHI,2,6,0.5,0.5,Solver,N/A
13,W13_WAS_PHI,2,2,0.61,0.39,Solver,N/A
14,W13_WAS_PHI,2,2,0.84,0.16,Solver,N/A
15,W13_WAS_PHI,2,2,0.6,0.4,Solver,N/A
16,W13_WAS_PHI,2,6,0.35,0.65,Solver,N/A
17,W13_WAS_PHI,2,4,0.38,0.62,Solver,N/A
21,W13_WAS_PHI,2,10,0.28,0.72,Solver,N/A
23,W13_WAS_PHI,1,6,0.72,0.28,Non-Solver,N/A
24,W13_WAS_PHI,1,2,0.79,0.21,Non-Solver,N/A
25,W13_WAS_PHI,2,4,0.36,0.64,Solver,N/A
26,W13_WAS_PHI,2,2,0.32,0.68,Solver,N/A
27,W13_WAS_PHI,2,2,0.49,0.51,Solver,N/A
28,W13_WAS_PHI,2,2,0.26,0.74,Solver,N/A
29,W13_WAS_PHI,2,6,0.25,0.75,Solver,N/A
31,W13_WAS_PHI,1,6,0.54,0.46,Non-Solver,N/A
35,W13_WAS_PHI,1,2,0.5,0.5,Non-Solver,N/A
37,W13_WAS_PHI,1,2,0.5,0.5,Non-Solver,N/A
44,W13_WAS_PHI,2,2,0.45,0.55,Solver,N/A
45,W13_WAS_PHI,1,8,0.78,0.22,Non-Solver,N/A
46,W13_WAS_PHI,2,6,0.31,0.69,Solver,N/A
48,W13_WAS_PHI,2,6,0.35,0.65,Solver,N/A
49,W13_WAS_PHI,2,6,0.36,0.64,Solver,N/A
50,W13_WAS_PHI,1,6,0.55,0.45,Non-Solver,N/A
51,W13_WAS_PHI,1,6,0.56,0.44,Non-Solver,N/A
53,W13_WAS_PHI,2,2,0.5,0.5,Solver,N/A
54,W13_WAS_PHI,1,2,0.5,0.5,Non-Solver,N/A
56,W13_WAS_PHI,2,2,0.44,0.56,Solver,N/A
60,W13_WAS_PHI,2,8,0.16,0.84,Solver,N/A
61,W13_WAS_PHI,2,6,0.45,0.55,Solver,N/A
62,W13_WAS_PHI,2,4,0.41,0.59,Solver,N/A
63,W13_WAS_PHI,1,2,0.26,0.74,Non-Solver,N/A
64,W13_WAS_PHI,2,2,0.38,0.62,Solver,N/A
65,W13_WAS_PHI,2,6,0.52,0.48,Solver,N/A
66,W13_WAS_PHI,2,6,0.59,0.41,Solver,N/A
67,W13_WAS_PHI,2,6,0.11,0.89,Solver,N/A
69,W13_WAS_PHI,2,6,0.4,0.6,Solver,N/A
70,W13_WAS_PHI,2,8,0.13,0.87,Solver,N/A
71,W13_WAS_PHI,2,8,0.29,0.71,Solver,N/A
73,W13_WAS_PHI,2,2,0.5,0.5,Solver,N/A
76,W13_WAS_PHI,2,4,0.35,0.65,Solver,N/A
77,W13_WAS_PHI,2,8,0.22,0.78,Solver,N/A
78,W13_WAS_PHI,2,2,0.6,0.4,Solver,N/A
80,W13_WAS_PHI,2,2,0.61,0.39,Solver,N/A
82,W13_WAS_PHI,2,8,0.41,0.59,Solver,N/A
83,W13_WAS_PHI,2,6,0.42,0.58,Solver,N/A
86,W13_WAS_PHI,2,8,0.3,0.7,Solver,N/A
87,W13_WAS_PHI,2,4,0.62,0.38,Solver,N/A
89,W13_WAS_PHI,2,4,0.45,0.55,Solver,N/A
91,W13_WAS_PHI,2,8,0.2,0.8,Solver,N/A
92,W13_WAS_PHI,1,6,0.78,0.22,Non-Solver,N/A
97,W13_WAS_PHI,2,8,0.35,0.65,Solver,N/A
98,W13_WAS_PHI,1,6,0.61,0.39,Non-Solver,N/A
99,W13_WAS_PHI,2,6,0.4,0.6,Solver,N/A
100,W13_WAS_PHI,2,2,0.7,0.3,Solver,N/A
101,W13_WAS_PHI,1,6,0.77,0.23,Non-Solver,N/A
103,W13_WAS_PHI,2,6,0.3,0.7,Solver,N/A
104,W13_WAS_PHI,2,6,0.37,0.63,Solver,N/A
105,W13_WAS_PHI,2,8,0.2,0.8,Solver,N/A
106,W13_WAS_PHI,2,6,0.42,0.58,Solver,N/A
108,W13_WAS_PHI,1,8,0.79,0.21,Non-Solver,N/A
109,W13_WAS_PHI,2,6,0.41,0.59,Solver,N/A
110,W13_WAS_PHI,1,2,0.65,0.35,Non-Solver,N/A
111,W13_WAS_PHI,2,8,0.2,0.8,Solver,N/A
112,W13_WAS_PHI,2,6,0.6,0.4,Solver,N/A
113,W13_WAS_PHI,2,8,0.29,0.71,Solver,N/A
115,W13_WAS_PHI,2,2,0.54,0.46,Solver,N/A
118,W13_WAS_PHI,1,10,0.95,0.05,Non-Solver,N/A
129,W13_WAS_PHI,2,6,0.39,0.61,Solver,N/A
130,W13_WAS_PHI,2,6,0.92,0.08,Solver,N/A
132,W13_WAS_PHI,2,2,0.5,0.5,Solver,N/A
137,W13_WAS_PHI,2,4,0.71,0.29,Solver,N/A
143,W13_WAS_PHI,2,2,0.49,0.51,Solver,N/A
149,W13_WAS_PHI,1,4,0.25,0.75,Non-Solver,N/A
153,W13_WAS_PHI,2,2,0.49,0.51,Solver,N/A
156,W13_WAS_PHI,1,8,0.64,0.36,Non-Solver,N/A
161,W13_WAS_PHI,1,4,0.72,0.28,Non-Solver,N/A
162,W13_WAS_PHI,2,6,0.47,0.53,Solver,N/A
165,W13_WAS_PHI,1,4,0.41,0.59,Non-Solver,N/A
167,W13_WAS_PHI,1,8,0.92,0.08,Non-Solver,N/A
169,W13_WAS_PHI,2,4,0.48,0.52,Solver,N/A
171,W13_WAS_PHI,2,2,0.38,0.62,Solver,N/A
172,W13_WAS_PHI,2,8,0.38,0.62,Solver,N/A
175,W13_WAS_PHI,2,6,0.2,0.8,Solver,N/A
177,W13_WAS_PHI,1,6,0.53,0.47,Non-Solver,N/A
180,W13_WAS_PHI,2,6,0.35,0.65,Solver,N/A
186,W13_WAS_PHI,2,6,0.48,0.52,Solver,N/A
190,W13_WAS_PHI,1,4,0.25,0.75,Non-Solver,N/A
191,W13_WAS_PHI,2,2,0.4,0.6,Solver,N/A
196,W13_WAS_PHI,2,6,0.58,0.42,Solver,N/A
199,W13_WAS_PHI,1,2,0.36,0.64,Non-Solver,N/A
200,W13_WAS_PHI,2,4,0.33,0.67,Solver,N/A
203,W13_WAS_PHI,2,6,0.73,0.27,Solver,N/A
204,W13_WAS_PHI,1,8,0.7,0.3,Non-Solver,N/A
206,W13_WAS_PHI,1,6,0.41,0.59,Non-Solver,N/A
207,W13_WAS_PHI,2,6,0.45,0.55,Solver,N/A
211,W13_WAS_PHI,2,8,0.2,0.8,Solver,N/A
212,W13_WAS_PHI,2,8,0.26,0.74,Solver,N/A
215,W13_WAS_PHI,2,8,0.3,0.7,Solver,N/A
221,W13_WAS_PHI,2,6,0.25,0.75,Solver,N/A
225,W13_WAS_PHI,2,2,0.34,0.66,Solver,N/A
227,W13_WAS_PHI,1,6,0.56,0.44,Non-Solver,N/A
