Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W14_DEN_SF,2,4,0.35,0.65,Solver,N/A
6,W14_DEN_SF,2,2,0.49,0.51,Solver,N/A
9,W14_DEN_SF,1,6,0.73,0.27,Non-Solver,N/A
11,W14_DEN_SF,1,6,0.65,0.35,Non-Solver,N/A
13,W14_DEN_SF,1,4,0.58,0.42,Non-Solver,N/A
14,W14_DEN_SF,2,2,0.72,0.28,Solver,N/A
16,W14_DEN_SF,1,6,0.65,0.35,Non-Solver,N/A
17,W14_DEN_SF,1,10,0.62,0.38,Non-Solver,N/A
20,W14_DEN_SF,2,4,0.42,0.58,Solver,N/A
21,W14_DEN_SF,2,10,0.4,0.6,Solver,N/A
23,W14_DEN_SF,2,6,0.3,0.7,Solver,N/A
24,W14_DEN_SF,2,2,0.15,0.85,Solver,N/A
25,W14_DEN_SF,2,4,0.33,0.67,Solver,N/A
26,W14_DEN_SF,2,2,0.18,0.82,Solver,N/A
28,W14_DEN_SF,2,2,0.32,0.68,Solver,N/A
29,W14_DEN_SF,1,2,0.4,0.6,Non-Solver,N/A
31,W14_DEN_SF,1,6,0.54,0.46,Non-Solver,N/A
32,W14_DEN_SF,2,2,0.46,0.54,Solver,N/A
35,W14_DEN_SF,2,2,0.5,0.5,Solver,N/A
39,W14_DEN_SF,2,8,0.15,0.85,Solver,N/A
44,W14_DEN_SF,1,6,0.75,0.25,Non-Solver,N/A
46,W14_DEN_SF,2,8,0.24,0.76,Solver,N/A
48,W14_DEN_SF,1,6,0.6,0.4,Non-Solver,N/A
49,W14_DEN_SF,1,6,0.38,0.62,Non-Solver,N/A
50,W14_DEN_SF,2,4,0.68,0.32,Solver,N/A
52,W14_DEN_SF,1,10,1.0,0.0,Non-Solver,N/A
53,W14_DEN_SF,1,2,0.5,0.5,Non-Solver,N/A
54,W14_DEN_SF,1,6,0.54,0.46,Non-Solver,N/A
56,W14_DEN_SF,2,2,0.47,0.53,Solver,N/A
60,W14_DEN_SF,1,10,0.91,0.09,Non-Solver,N/A
61,W14_DEN_SF,1,8,0.55,0.45,Non-Solver,N/A
63,W14_DEN_SF,2,4,0.39,0.61,Solver,N/A
64,W14_DEN_SF,2,2,0.38,0.62,Solver,N/A
65,W14_DEN_SF,2,6,0.61,0.39,Solver,N/A
66,W14_DEN_SF,2,2,0.43,0.57,Solver,N/A
67,W14_DEN_SF,2,4,0.28,0.72,Solver,N/A
69,W14_DEN_SF,2,8,0.2,0.8,Solver,N/A
70,W14_DEN_SF,1,8,0.85,0.15,Non-Solver,N/A
71,W14_DEN_SF,1,10,0.64,0.36,Non-Solver,N/A
73,W14_DEN_SF,1,2,0.5,0.5,Non-Solver,N/A
75,W14_DEN_SF,1,10,1.0,0.0,Non-Solver,N/A
76,W14_DEN_SF,1,8,0.75,0.25,Non-Solver,N/A
77,W14_DEN_SF,2,2,0.69,0.31,Solver,N/A
80,W14_DEN_SF,2,2,0.68,0.32,Solver,N/A
82,W14_DEN_SF,2,6,0.58,0.42,Solver,N/A
83,W14_DEN_SF,1,10,1.0,0.0,Non-Solver,N/A
84,W14_DEN_SF,2,8,0.45,0.55,Solver,N/A
88,W14_DEN_SF,2,2,0.48,0.52,Solver,N/A
90,W14_DEN_SF,1,6,0.3,0.7,Non-Solver,N/A
91,W14_DEN_SF,2,6,0.4,0.6,Solver,N/A
95,W14_DEN_SF,1,2,0.39,0.61,Non-Solver,N/A
98,W14_DEN_SF,2,4,0.42,0.58,Solver,N/A
99,W14_DEN_SF,1,6,0.69,0.31,Non-Solver,N/A
100,W14_DEN_SF,2,4,0.21,0.79,Solver,N/A
103,W14_DEN_SF,2,6,0.62,0.38,Solver,N/A
104,W14_DEN_SF,1,8,0.81,0.19,Non-Solver,N/A
105,W14_DEN_SF,2,6,0.3,0.7,Solver,N/A
106,W14_DEN_SF,1,8,0.65,0.35,Non-Solver,N/A
108,W14_DEN_SF,1,6,0.68,0.32,Non-Solver,N/A
109,W14_DEN_SF,1,6,0.63,0.37,Non-Solver,N/A
110,W14_DEN_SF,2,2,0.3,0.7,Solver,N/A
111,W14_DEN_SF,1,8,0.8,0.2,Non-Solver,N/A
113,W14_DEN_SF,1,10,0.98,0.02,Non-Solver,N/A
115,W14_DEN_SF,2,2,0.28,0.72,Solver,N/A
118,W14_DEN_SF,2,10,0.12,0.88,Solver,N/A
119,W14_DEN_SF,1,4,0.6,0.4,Non-Solver,N/A
121,W14_DEN_SF,2,10,0.14,0.86,Solver,N/A
124,W14_DEN_SF,1,8,0.81,0.19,Non-Solver,N/A
126,W14_DEN_SF,1,6,0.6,0.4,Non-Solver,N/A
127,W14_DEN_SF,1,2,0.58,0.42,Non-Solver,N/A
128,W14_DEN_SF,2,4,0.44,0.56,Solver,N/A
129,W14_DEN_SF,2,4,0.67,0.33,Solver,N/A
132,W14_DEN_SF,1,8,0.75,0.25,Non-Solver,N/A
137,W14_DEN_SF,2,4,0.73,0.27,Solver,N/A
140,W14_DEN_SF,1,6,0.37,0.63,Non-Solver,N/A
142,W14_DEN_SF,2,4,0.9,0.1,Solver,N/A
143,W14_DEN_SF,1,10,0.97,0.03,Non-Solver,N/A
146,W14_DEN_SF,1,2,0.6,0.4,Non-Solver,N/A
148,W14_DEN_SF,2,10,0.0,1.0,Solver,N/A
149,W14_DEN_SF,2,6,0.39,0.61,Solver,N/A
153,W14_DEN_SF,2,2,0.49,0.51,Solver,N/A
156,W14_DEN_SF,2,6,0.37,0.63,Solver,N/A
161,W14_DEN_SF,2,4,0.37,0.63,Solver,N/A
