Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W14_DET_ARI,2,2,0.8,0.2,Non-Solver,N/A
6,W14_DET_ARI,1,2,0.55,0.45,Solver,N/A
11,W14_DET_ARI,2,6,0.48,0.52,Non-Solver,N/A
13,W14_DET_ARI,2,2,0.68,0.32,Non-Solver,N/A
14,W14_DET_ARI,1,2,0.18,0.82,Solver,N/A
15,W14_DET_ARI,2,2,0.6,0.4,Non-Solver,N/A
16,W14_DET_ARI,2,6,0.43,0.57,Non-Solver,N/A
17,W14_DET_ARI,2,4,0.7,0.3,Non-Solver,N/A
23,W14_DET_ARI,1,2,0.7,0.3,Solver,N/A
24,W14_DET_ARI,1,2,0.72,0.28,Solver,N/A
25,W14_DET_ARI,2,2,0.25,0.75,Non-Solver,N/A
26,W14_DET_ARI,1,2,0.77,0.23,Solver,N/A
29,W14_DET_ARI,2,2,0.45,0.55,Non-Solver,N/A
31,W14_DET_ARI,1,8,0.53,0.47,Solver,N/A
32,W14_DET_ARI,1,2,0.64,0.36,Solver,N/A
35,W14_DET_ARI,2,2,0.5,0.5,Non-Solver,N/A
44,W14_DET_ARI,2,2,0.55,0.45,Non-Solver,N/A
46,W14_DET_ARI,2,6,0.43,0.57,Non-Solver,N/A
48,W14_DET_ARI,2,2,0.5,0.5,Non-Solver,N/A
49,W14_DET_ARI,2,6,0.28,0.72,Non-Solver,N/A
50,W14_DET_ARI,1,2,0.32,0.68,Solver,N/A
53,W14_DET_ARI,2,2,0.5,0.5,Non-Solver,N/A
54,W14_DET_ARI,2,2,0.65,0.35,Non-Solver,N/A
56,W14_DET_ARI,2,2,0.48,0.52,Non-Solver,N/A
60,W14_DET_ARI,2,8,0.12,0.88,Non-Solver,N/A
61,W14_DET_ARI,1,6,0.6,0.4,Solver,N/A
63,W14_DET_ARI,2,2,0.92,0.08,Non-Solver,N/A
64,W14_DET_ARI,1,2,0.62,0.38,Solver,N/A
65,W14_DET_ARI,2,6,0.41,0.59,Non-Solver,N/A
66,W14_DET_ARI,2,8,0.44,0.56,Non-Solver,N/A
67,W14_DET_ARI,2,4,0.25,0.75,Non-Solver,N/A
69,W14_DET_ARI,1,8,0.69,0.31,Solver,N/A
70,W14_DET_ARI,1,8,0.82,0.18,Solver,N/A
71,W14_DET_ARI,2,10,0.26,0.74,Non-Solver,N/A
73,W14_DET_ARI,1,2,0.5,0.5,Solver,N/A
76,W14_DET_ARI,2,4,0.5,0.5,Non-Solver,N/A
77,W14_DET_ARI,2,2,0.68,0.32,Non-Solver,N/A
80,W14_DET_ARI,2,2,0.62,0.38,Non-Solver,N/A
82,W14_DET_ARI,2,6,0.58,0.42,Non-Solver,N/A
83,W14_DET_ARI,1,6,0.61,0.39,Solver,N/A
84,W14_DET_ARI,1,6,0.64,0.36,Solver,N/A
85,W14_DET_ARI,2,2,0.3,0.7,Non-Solver,N/A
88,W14_DET_ARI,2,2,0.45,0.55,Non-Solver,N/A
90,W14_DET_ARI,2,6,0.6,0.4,Non-Solver,N/A
91,W14_DET_ARI,2,2,0.7,0.3,Non-Solver,N/A
97,W14_DET_ARI,1,6,0.36,0.64,Solver,N/A
98,W14_DET_ARI,2,2,0.35,0.65,Non-Solver,N/A
100,W14_DET_ARI,1,2,0.34,0.66,Solver,N/A
101,W14_DET_ARI,1,6,0.56,0.44,Solver,N/A
103,W14_DET_ARI,2,6,0.58,0.42,Non-Solver,N/A
104,W14_DET_ARI,1,6,0.6,0.4,Solver,N/A
105,W14_DET_ARI,2,2,0.5,0.5,Non-Solver,N/A
106,W14_DET_ARI,1,2,0.67,0.33,Solver,N/A
108,W14_DET_ARI,2,8,0.24,0.76,Non-Solver,N/A
109,W14_DET_ARI,2,6,0.41,0.59,Non-Solver,N/A
110,W14_DET_ARI,2,2,0.37,0.63,Non-Solver,N/A
111,W14_DET_ARI,1,6,0.7,0.3,Solver,N/A
113,W14_DET_ARI,2,8,0.28,0.72,Non-Solver,N/A
115,W14_DET_ARI,2,2,0.4,0.6,Non-Solver,N/A
118,W14_DET_ARI,2,10,0.21,0.79,Non-Solver,N/A
119,W14_DET_ARI,2,4,0.4,0.6,Non-Solver,N/A
121,W14_DET_ARI,1,2,0.56,0.44,Solver,N/A
126,W14_DET_ARI,1,6,0.58,0.42,Solver,N/A
