Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W14_NE_MIA,1,6,0.7,0.3,Non-Solver,N/A
6,W14_NE_MIA,1,2,0.51,0.49,Non-Solver,N/A
9,W14_NE_MIA,1,8,0.81,0.19,Non-Solver,N/A
11,W14_NE_MIA,1,8,0.71,0.29,Non-Solver,N/A
13,W14_NE_MIA,1,6,0.74,0.26,Non-Solver,N/A
14,W14_NE_MIA,1,2,0.27,0.73,Non-Solver,N/A
16,W14_NE_MIA,1,8,0.88,0.12,Non-Solver,N/A
17,W14_NE_MIA,1,10,0.72,0.28,Non-Solver,N/A
21,W14_NE_MIA,2,2,0.36,0.64,Solver,N/A
23,W14_NE_MIA,2,2,0.43,0.57,Solver,N/A
24,W14_NE_MIA,1,2,0.78,0.22,Non-Solver,N/A
25,W14_NE_MIA,1,4,0.79,0.21,Non-Solver,N/A
26,W14_NE_MIA,1,2,0.91,0.09,Non-Solver,N/A
28,W14_NE_MIA,2,2,0.2,0.8,Solver,N/A
29,W14_NE_MIA,2,2,0.75,0.25,Solver,N/A
31,W14_NE_MIA,1,8,0.54,0.46,Non-Solver,N/A
32,W14_NE_MIA,1,2,0.63,0.37,Non-Solver,N/A
35,W14_NE_MIA,1,2,0.7,0.3,Non-Solver,N/A
39,W14_NE_MIA,1,8,0.7,0.3,Non-Solver,N/A
44,W14_NE_MIA,1,8,0.85,0.15,Non-Solver,N/A
46,W14_NE_MIA,1,6,0.49,0.51,Non-Solver,N/A
48,W14_NE_MIA,1,8,0.75,0.25,Non-Solver,N/A
49,W14_NE_MIA,1,8,0.82,0.18,Non-Solver,N/A
50,W14_NE_MIA,1,6,0.32,0.68,Non-Solver,N/A
52,W14_NE_MIA,1,10,1.0,0.0,Non-Solver,N/A
53,W14_NE_MIA,1,2,0.5,0.5,Non-Solver,N/A
54,W14_NE_MIA,1,10,0.79,0.21,Non-Solver,N/A
56,W14_NE_MIA,1,2,0.53,0.47,Non-Solver,N/A
60,W14_NE_MIA,1,10,0.94,0.0600000000000001,Non-Solver,N/A
61,W14_NE_MIA,1,8,0.7,0.3,Non-Solver,N/A
62,W14_NE_MIA,1,10,0.99,0.01,Non-Solver,N/A
63,W14_NE_MIA,2,4,0.45,0.55,Solver,N/A
64,W14_NE_MIA,1,2,0.7,0.3,Non-Solver,N/A
65,W14_NE_MIA,1,6,0.56,0.44,Non-Solver,N/A
66,W14_NE_MIA,1,4,0.57,0.43,Non-Solver,N/A
67,W14_NE_MIA,1,8,0.9,0.1,Non-Solver,N/A
69,W14_NE_MIA,1,4,0.99,0.01,Non-Solver,N/A
70,W14_NE_MIA,1,10,0.9,0.1,Non-Solver,N/A
71,W14_NE_MIA,1,6,0.79,0.21,Non-Solver,N/A
73,W14_NE_MIA,1,2,0.5,0.5,Non-Solver,N/A
75,W14_NE_MIA,1,6,0.86,0.14,Non-Solver,N/A
76,W14_NE_MIA,1,8,0.6,0.4,Non-Solver,N/A
77,W14_NE_MIA,1,2,0.41,0.59,Non-Solver,N/A
80,W14_NE_MIA,2,2,0.6,0.4,Solver,N/A
82,W14_NE_MIA,1,6,0.6,0.4,Non-Solver,N/A
83,W14_NE_MIA,1,10,1.0,0.0,Non-Solver,N/A
84,W14_NE_MIA,1,6,0.64,0.36,Non-Solver,N/A
88,W14_NE_MIA,1,6,0.72,0.28,Non-Solver,N/A
89,W14_NE_MIA,1,4,0.7,0.3,Non-Solver,N/A
90,W14_NE_MIA,1,6,0.8,0.2,Non-Solver,N/A
91,W14_NE_MIA,1,10,0.99,0.01,Non-Solver,N/A
95,W14_NE_MIA,1,6,0.61,0.39,Non-Solver,N/A
97,W14_NE_MIA,1,8,0.52,0.48,Non-Solver,N/A
98,W14_NE_MIA,1,8,0.76,0.24,Non-Solver,N/A
99,W14_NE_MIA,1,8,0.8,0.2,Non-Solver,N/A
100,W14_NE_MIA,2,4,0.26,0.74,Solver,N/A
101,W14_NE_MIA,1,8,0.76,0.24,Non-Solver,N/A
103,W14_NE_MIA,2,6,0.57,0.43,Solver,N/A
104,W14_NE_MIA,1,8,0.79,0.21,Non-Solver,N/A
105,W14_NE_MIA,1,8,0.8,0.2,Non-Solver,N/A
106,W14_NE_MIA,1,8,0.79,0.21,Non-Solver,N/A
108,W14_NE_MIA,1,8,0.73,0.27,Non-Solver,N/A
109,W14_NE_MIA,1,8,0.64,0.36,Non-Solver,N/A
110,W14_NE_MIA,1,2,0.63,0.37,Non-Solver,N/A
111,W14_NE_MIA,1,8,1.0,0.0,Non-Solver,N/A
113,W14_NE_MIA,2,8,0.28,0.72,Solver,N/A
115,W14_NE_MIA,1,2,0.58,0.42,Non-Solver,N/A
118,W14_NE_MIA,2,10,0.15,0.85,Solver,N/A
119,W14_NE_MIA,1,6,0.7,0.3,Non-Solver,N/A
121,W14_NE_MIA,1,8,0.72,0.28,Non-Solver,N/A
124,W14_NE_MIA,1,6,0.61,0.39,Non-Solver,N/A
126,W14_NE_MIA,2,4,0.43,0.57,Solver,N/A
127,W14_NE_MIA,1,2,0.54,0.46,Non-Solver,N/A
128,W14_NE_MIA,1,4,0.56,0.44,Non-Solver,N/A
129,W14_NE_MIA,1,6,0.64,0.36,Non-Solver,N/A
131,W14_NE_MIA,1,10,0.84,0.16,Non-Solver,N/A
132,W14_NE_MIA,1,6,0.7,0.3,Non-Solver,N/A
137,W14_NE_MIA,1,10,0.9,0.1,Non-Solver,N/A
140,W14_NE_MIA,1,8,0.55,0.45,Non-Solver,N/A
142,W14_NE_MIA,1,6,0.62,0.38,Non-Solver,N/A
143,W14_NE_MIA,1,4,0.21,0.79,Non-Solver,N/A
146,W14_NE_MIA,1,2,0.8,0.2,Non-Solver,N/A
148,W14_NE_MIA,1,8,0.84,0.16,Non-Solver,N/A
149,W14_NE_MIA,1,6,0.69,0.31,Non-Solver,N/A
