Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W14_NYG_WAS,1,2,0.45,0.55,Solver,N/A
6,W14_NYG_WAS,1,6,0.74,0.26,Solver,N/A
9,W14_NYG_WAS,1,4,0.67,0.33,Solver,N/A
11,W14_NYG_WAS,2,6,0.48,0.52,Non-Solver,N/A
13,W14_NYG_WAS,1,2,0.64,0.36,Solver,N/A
14,W14_NYG_WAS,1,2,0.32,0.68,Solver,N/A
16,W14_NYG_WAS,1,6,0.58,0.42,Solver,N/A
17,W14_NYG_WAS,1,6,0.72,0.28,Solver,N/A
21,W14_NYG_WAS,1,6,0.5,0.5,Solver,N/A
23,W14_NYG_WAS,1,2,0.6,0.4,Solver,N/A
24,W14_NYG_WAS,1,2,0.73,0.27,Solver,N/A
25,W14_NYG_WAS,1,4,0.67,0.33,Solver,N/A
26,W14_NYG_WAS,1,2,0.75,0.25,Solver,N/A
28,W14_NYG_WAS,1,2,0.69,0.31,Solver,N/A
29,W14_NYG_WAS,2,2,0.35,0.65,Non-Solver,N/A
31,W14_NYG_WAS,1,8,0.53,0.47,Solver,N/A
32,W14_NYG_WAS,1,2,0.58,0.42,Solver,N/A
35,W14_NYG_WAS,1,2,0.5,0.5,Solver,N/A
39,W14_NYG_WAS,1,8,0.75,0.25,Solver,N/A
44,W14_NYG_WAS,1,6,0.7,0.3,Solver,N/A
46,W14_NYG_WAS,1,8,0.69,0.31,Solver,N/A
48,W14_NYG_WAS,1,6,0.65,0.35,Solver,N/A
49,W14_NYG_WAS,2,6,0.33,0.67,Non-Solver,N/A
50,W14_NYG_WAS,1,6,0.36,0.64,Solver,N/A
52,W14_NYG_WAS,1,4,0.21,0.79,Solver,N/A
53,W14_NYG_WAS,1,2,0.5,0.5,Solver,N/A
54,W14_NYG_WAS,1,6,0.55,0.45,Solver,N/A
56,W14_NYG_WAS,2,2,0.47,0.53,Non-Solver,N/A
60,W14_NYG_WAS,1,8,0.82,0.18,Solver,N/A
61,W14_NYG_WAS,2,6,0.45,0.55,Non-Solver,N/A
63,W14_NYG_WAS,2,2,0.74,0.26,Non-Solver,N/A
64,W14_NYG_WAS,2,2,0.45,0.55,Non-Solver,N/A
65,W14_NYG_WAS,1,4,0.56,0.44,Solver,N/A
66,W14_NYG_WAS,1,8,0.46,0.54,Solver,N/A
67,W14_NYG_WAS,1,6,0.89,0.11,Solver,N/A
70,W14_NYG_WAS,1,8,0.8,0.2,Solver,N/A
71,W14_NYG_WAS,1,4,0.86,0.14,Solver,N/A
73,W14_NYG_WAS,1,2,0.5,0.5,Solver,N/A
75,W14_NYG_WAS,1,4,0.55,0.45,Solver,N/A
76,W14_NYG_WAS,1,6,0.4,0.6,Solver,N/A
