Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W14_NYJ_BUF,2,2,0.6,0.4,Non-Solver,N/A
6,W14_NYJ_BUF,1,2,0.45,0.55,Solver,N/A
9,W14_NYJ_BUF,2,2,0.55,0.45,Non-Solver,N/A
11,W14_NYJ_BUF,2,6,0.48,0.52,Non-Solver,N/A
13,W14_NYJ_BUF,1,2,0.65,0.35,Solver,N/A
14,W14_NYJ_BUF,1,2,0.23,0.77,Solver,N/A
16,W14_NYJ_BUF,2,4,0.48,0.52,Non-Solver,N/A
17,W14_NYJ_BUF,1,8,0.67,0.33,Solver,N/A
21,W14_NYJ_BUF,1,6,0.81,0.19,Solver,N/A
23,W14_NYJ_BUF,1,2,0.56,0.44,Solver,N/A
24,W14_NYJ_BUF,1,2,0.85,0.15,Solver,N/A
25,W14_NYJ_BUF,1,2,0.44,0.56,Solver,N/A
26,W14_NYJ_BUF,1,2,0.28,0.72,Solver,N/A
27,W14_NYJ_BUF,2,6,0.36,0.64,Non-Solver,N/A
28,W14_NYJ_BUF,1,2,0.61,0.39,Solver,N/A
29,W14_NYJ_BUF,2,2,0.55,0.45,Non-Solver,N/A
31,W14_NYJ_BUF,1,6,0.53,0.47,Solver,N/A
32,W14_NYJ_BUF,1,2,0.54,0.46,Solver,N/A
35,W14_NYJ_BUF,1,2,0.5,0.5,Solver,N/A
39,W14_NYJ_BUF,1,8,0.75,0.25,Solver,N/A
44,W14_NYJ_BUF,2,6,0.4,0.6,Non-Solver,N/A
46,W14_NYJ_BUF,1,6,0.59,0.41,Solver,N/A
48,W14_NYJ_BUF,1,6,0.65,0.35,Solver,N/A
49,W14_NYJ_BUF,2,6,0.37,0.63,Non-Solver,N/A
50,W14_NYJ_BUF,1,2,0.43,0.57,Solver,N/A
52,W14_NYJ_BUF,1,4,0.1,0.9,Solver,N/A
53,W14_NYJ_BUF,2,2,0.5,0.5,Non-Solver,N/A
54,W14_NYJ_BUF,1,6,0.45,0.55,Solver,N/A
56,W14_NYJ_BUF,2,2,0.47,0.53,Non-Solver,N/A
60,W14_NYJ_BUF,2,8,0.21,0.79,Non-Solver,N/A
64,W14_NYJ_BUF,1,2,0.55,0.45,Solver,N/A
65,W14_NYJ_BUF,1,4,0.56,0.44,Solver,N/A
66,W14_NYJ_BUF,2,10,0.44,0.56,Non-Solver,N/A
67,W14_NYJ_BUF,1,4,0.7,0.3,Solver,N/A
69,W14_NYJ_BUF,2,6,0.4,0.6,Non-Solver,N/A
70,W14_NYJ_BUF,1,6,0.7,0.3,Solver,N/A
71,W14_NYJ_BUF,2,6,0.25,0.75,Non-Solver,N/A
73,W14_NYJ_BUF,2,2,0.5,0.5,Non-Solver,N/A
75,W14_NYJ_BUF,1,4,0.57,0.43,Solver,N/A
76,W14_NYJ_BUF,2,6,0.64,0.36,Non-Solver,N/A
77,W14_NYJ_BUF,1,2,0.71,0.29,Solver,N/A
80,W14_NYJ_BUF,1,2,0.31,0.69,Solver,N/A
82,W14_NYJ_BUF,1,6,0.39,0.61,Solver,N/A
83,W14_NYJ_BUF,1,4,0.41,0.59,Solver,N/A
84,W14_NYJ_BUF,1,6,0.71,0.29,Solver,N/A
85,W14_NYJ_BUF,1,2,0.6,0.4,Solver,N/A
88,W14_NYJ_BUF,1,6,0.65,0.35,Solver,N/A
90,W14_NYJ_BUF,1,6,0.6,0.4,Solver,N/A
91,W14_NYJ_BUF,2,4,0.8,0.2,Non-Solver,N/A
95,W14_NYJ_BUF,1,4,0.59,0.41,Solver,N/A
97,W14_NYJ_BUF,1,6,0.46,0.54,Solver,N/A
