Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_ARI_ATL,2,2,0.37,0.63,Solver,N/A
9,W15_ARI_ATL,2,10,0.14,0.86,Solver,N/A
11,W15_ARI_ATL,2,6,0.47,0.53,Solver,N/A
13,W15_ARI_ATL,1,2,0.35,0.65,Non-Solver,N/A
14,W15_ARI_ATL,1,2,0.2,0.8,Non-Solver,N/A
15,W15_ARI_ATL,2,2,0.6,0.4,Solver,N/A
16,W15_ARI_ATL,1,4,0.63,0.37,Non-Solver,N/A
17,W15_ARI_ATL,2,8,0.44,0.56,Solver,N/A
21,W15_ARI_ATL,2,10,0.34,0.66,Solver,N/A
24,W15_ARI_ATL,1,2,0.31,0.69,Non-Solver,N/A
25,W15_ARI_ATL,2,2,0.22,0.78,Solver,N/A
26,W15_ARI_ATL,2,2,0.2,0.8,Solver,N/A
27,W15_ARI_ATL,1,2,0.1,0.9,Non-Solver,N/A
28,W15_ARI_ATL,1,2,0.66,0.34,Non-Solver,N/A
29,W15_ARI_ATL,1,2,0.45,0.55,Non-Solver,N/A
31,W15_ARI_ATL,2,4,0.47,0.53,Solver,N/A
32,W15_ARI_ATL,2,2,0.49,0.51,Solver,N/A
35,W15_ARI_ATL,1,2,0.5,0.5,Non-Solver,N/A
39,W15_ARI_ATL,1,8,0.65,0.35,Non-Solver,N/A
44,W15_ARI_ATL,2,8,0.35,0.65,Solver,N/A
45,W15_ARI_ATL,2,6,0.53,0.47,Solver,N/A
46,W15_ARI_ATL,1,8,0.75,0.25,Non-Solver,N/A
48,W15_ARI_ATL,2,6,0.55,0.45,Solver,N/A
49,W15_ARI_ATL,2,6,0.28,0.72,Solver,N/A
50,W15_ARI_ATL,2,10,0.54,0.46,Solver,N/A
51,W15_ARI_ATL,1,6,0.66,0.34,Non-Solver,N/A
53,W15_ARI_ATL,2,2,0.5,0.5,Solver,N/A
54,W15_ARI_ATL,1,2,0.51,0.49,Non-Solver,N/A
56,W15_ARI_ATL,2,2,0.44,0.56,Solver,N/A
60,W15_ARI_ATL,2,6,0.19,0.81,Solver,N/A
61,W15_ARI_ATL,2,6,0.45,0.55,Solver,N/A
63,W15_ARI_ATL,2,2,0.96,0.04,Solver,N/A
64,W15_ARI_ATL,2,2,0.46,0.54,Solver,N/A
66,W15_ARI_ATL,1,8,0.57,0.43,Non-Solver,N/A
67,W15_ARI_ATL,1,2,0.81,0.19,Non-Solver,N/A
69,W15_ARI_ATL,1,8,0.7,0.3,Non-Solver,N/A
70,W15_ARI_ATL,1,6,0.75,0.25,Non-Solver,N/A
71,W15_ARI_ATL,2,10,0.37,0.63,Solver,N/A
73,W15_ARI_ATL,1,2,0.5,0.5,Non-Solver,N/A
75,W15_ARI_ATL,1,6,0.64,0.36,Non-Solver,N/A
76,W15_ARI_ATL,2,8,0.42,0.58,Solver,N/A
77,W15_ARI_ATL,1,2,0.54,0.46,Non-Solver,N/A
80,W15_ARI_ATL,1,2,0.25,0.75,Non-Solver,N/A
81,W15_ARI_ATL,2,8,0.22,0.78,Solver,N/A
82,W15_ARI_ATL,1,8,0.64,0.36,Non-Solver,N/A
83,W15_ARI_ATL,2,6,0.42,0.58,Solver,N/A
84,W15_ARI_ATL,2,6,0.5,0.5,Solver,N/A
87,W15_ARI_ATL,2,2,0.87,0.13,Solver,N/A
89,W15_ARI_ATL,2,4,0.45,0.55,Solver,N/A
90,W15_ARI_ATL,2,6,0.45,0.55,Solver,N/A
