Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_DEN_CLE,1,2,0.46,0.54,Non-Solver,N/A
9,W15_DEN_CLE,2,4,0.41,0.59,Solver,N/A
11,W15_DEN_CLE,1,8,0.72,0.28,Non-Solver,N/A
13,W15_DEN_CLE,1,4,0.62,0.38,Non-Solver,N/A
14,W15_DEN_CLE,1,2,0.3,0.7,Non-Solver,N/A
16,W15_DEN_CLE,1,6,0.76,0.24,Non-Solver,N/A
17,W15_DEN_CLE,1,8,0.73,0.27,Non-Solver,N/A
21,W15_DEN_CLE,2,2,0.49,0.51,Solver,N/A
24,W15_DEN_CLE,1,2,0.45,0.55,Non-Solver,N/A
25,W15_DEN_CLE,1,2,0.68,0.32,Non-Solver,N/A
26,W15_DEN_CLE,1,2,0.26,0.74,Non-Solver,N/A
27,W15_DEN_CLE,1,6,0.52,0.48,Non-Solver,N/A
28,W15_DEN_CLE,1,2,0.89,0.11,Non-Solver,N/A
29,W15_DEN_CLE,1,2,0.44,0.56,Non-Solver,N/A
31,W15_DEN_CLE,1,6,0.53,0.47,Non-Solver,N/A
32,W15_DEN_CLE,1,2,0.51,0.49,Non-Solver,N/A
35,W15_DEN_CLE,1,2,0.5,0.5,Non-Solver,N/A
39,W15_DEN_CLE,2,8,0.35,0.65,Solver,N/A
44,W15_DEN_CLE,1,8,0.7,0.3,Non-Solver,N/A
45,W15_DEN_CLE,1,10,0.69,0.31,Non-Solver,N/A
46,W15_DEN_CLE,1,8,0.79,0.21,Non-Solver,N/A
48,W15_DEN_CLE,2,6,0.35,0.65,Solver,N/A
49,W15_DEN_CLE,1,6,0.54,0.46,Non-Solver,N/A
50,W15_DEN_CLE,2,2,0.58,0.42,Solver,N/A
51,W15_DEN_CLE,1,2,0.42,0.58,Non-Solver,N/A
53,W15_DEN_CLE,2,2,0.5,0.5,Solver,N/A
54,W15_DEN_CLE,1,2,0.5,0.5,Non-Solver,N/A
56,W15_DEN_CLE,2,2,0.47,0.53,Solver,N/A
58,W15_DEN_CLE,2,2,0.49,0.51,Solver,N/A
60,W15_DEN_CLE,1,6,0.77,0.23,Non-Solver,N/A
61,W15_DEN_CLE,1,6,0.6,0.4,Non-Solver,N/A
63,W15_DEN_CLE,1,4,0.56,0.44,Non-Solver,N/A
64,W15_DEN_CLE,1,2,0.58,0.42,Non-Solver,N/A
66,W15_DEN_CLE,2,6,0.57,0.43,Solver,N/A
67,W15_DEN_CLE,1,2,0.75,0.25,Non-Solver,N/A
69,W15_DEN_CLE,1,2,0.62,0.38,Non-Solver,N/A
70,W15_DEN_CLE,1,8,0.85,0.15,Non-Solver,N/A
71,W15_DEN_CLE,1,8,0.57,0.43,Non-Solver,N/A
73,W15_DEN_CLE,2,2,0.5,0.5,Solver,N/A
76,W15_DEN_CLE,2,4,0.6,0.4,Solver,N/A
77,W15_DEN_CLE,1,2,0.45,0.55,Non-Solver,N/A
80,W15_DEN_CLE,2,2,0.65,0.35,Solver,N/A
81,W15_DEN_CLE,1,6,0.69,0.31,Non-Solver,N/A
82,W15_DEN_CLE,1,6,0.46,0.54,Non-Solver,N/A
83,W15_DEN_CLE,1,8,0.65,0.35,Non-Solver,N/A
84,W15_DEN_CLE,2,6,0.49,0.51,Solver,N/A
87,W15_DEN_CLE,2,2,0.72,0.28,Solver,N/A
90,W15_DEN_CLE,1,6,0.7,0.3,Non-Solver,N/A
92,W15_DEN_CLE,1,4,0.38,0.62,Non-Solver,N/A
93,W15_DEN_CLE,2,2,0.96,0.04,Solver,N/A
97,W15_DEN_CLE,2,6,0.53,0.47,Solver,N/A
98,W15_DEN_CLE,2,6,0.44,0.56,Solver,N/A
99,W15_DEN_CLE,2,6,0.31,0.69,Solver,N/A
101,W15_DEN_CLE,1,6,0.59,0.41,Non-Solver,N/A
103,W15_DEN_CLE,1,6,0.4,0.6,Non-Solver,N/A
104,W15_DEN_CLE,1,6,0.58,0.42,Non-Solver,N/A
105,W15_DEN_CLE,1,6,0.65,0.35,Non-Solver,N/A
106,W15_DEN_CLE,1,6,0.61,0.39,Non-Solver,N/A
108,W15_DEN_CLE,1,8,0.81,0.19,Non-Solver,N/A
109,W15_DEN_CLE,2,6,0.43,0.57,Solver,N/A
110,W15_DEN_CLE,1,6,0.73,0.27,Non-Solver,N/A
111,W15_DEN_CLE,2,8,0.39,0.61,Solver,N/A
112,W15_DEN_CLE,2,2,0.25,0.75,Solver,N/A
113,W15_DEN_CLE,2,8,0.25,0.75,Solver,N/A
