Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_HOU_NYJ,2,2,0.55,0.45,Non-Solver,N/A
9,W15_HOU_NYJ,1,8,0.7,0.3,Solver,N/A
11,W15_HOU_NYJ,1,6,0.52,0.48,Solver,N/A
13,W15_HOU_NYJ,2,2,0.61,0.39,Non-Solver,N/A
14,W15_HOU_NYJ,2,2,0.79,0.21,Non-Solver,N/A
16,W15_HOU_NYJ,1,6,0.68,0.32,Solver,N/A
17,W15_HOU_NYJ,1,6,0.56,0.44,Solver,N/A
21,W15_HOU_NYJ,2,6,0.4,0.6,Non-Solver,N/A
24,W15_HOU_NYJ,2,2,0.16,0.84,Non-Solver,N/A
25,W15_HOU_NYJ,2,2,0.25,0.75,Non-Solver,N/A
26,W15_HOU_NYJ,1,2,0.25,0.75,Solver,N/A
27,W15_HOU_NYJ,2,2,0.69,0.31,Non-Solver,N/A
28,W15_HOU_NYJ,2,2,0.33,0.67,Non-Solver,N/A
29,W15_HOU_NYJ,1,2,0.6,0.4,Solver,N/A
31,W15_HOU_NYJ,2,4,0.56,0.44,Non-Solver,N/A
32,W15_HOU_NYJ,2,2,0.45,0.55,Non-Solver,N/A
35,W15_HOU_NYJ,2,2,0.5,0.5,Non-Solver,N/A
39,W15_HOU_NYJ,2,2,0.45,0.55,Non-Solver,N/A
44,W15_HOU_NYJ,2,2,0.7,0.3,Non-Solver,N/A
45,W15_HOU_NYJ,1,8,0.59,0.41,Solver,N/A
46,W15_HOU_NYJ,2,6,0.4,0.6,Non-Solver,N/A
48,W15_HOU_NYJ,1,6,0.55,0.45,Solver,N/A
49,W15_HOU_NYJ,2,6,0.45,0.55,Non-Solver,N/A
50,W15_HOU_NYJ,1,6,0.36,0.64,Solver,N/A
51,W15_HOU_NYJ,2,6,0.37,0.63,Non-Solver,N/A
53,W15_HOU_NYJ,1,2,0.5,0.5,Solver,N/A
54,W15_HOU_NYJ,1,4,0.48,0.52,Solver,N/A
56,W15_HOU_NYJ,1,2,0.53,0.47,Solver,N/A
60,W15_HOU_NYJ,2,8,0.15,0.85,Non-Solver,N/A
63,W15_HOU_NYJ,2,2,0.77,0.23,Non-Solver,N/A
64,W15_HOU_NYJ,2,2,0.37,0.63,Non-Solver,N/A
66,W15_HOU_NYJ,1,6,0.44,0.56,Solver,N/A
67,W15_HOU_NYJ,1,2,0.67,0.33,Solver,N/A
69,W15_HOU_NYJ,2,6,0.28,0.72,Non-Solver,N/A
70,W15_HOU_NYJ,1,6,0.75,0.25,Solver,N/A
71,W15_HOU_NYJ,1,8,0.68,0.32,Solver,N/A
73,W15_HOU_NYJ,1,2,0.5,0.5,Solver,N/A
75,W15_HOU_NYJ,1,6,0.58,0.42,Solver,N/A
76,W15_HOU_NYJ,1,4,0.44,0.56,Solver,N/A
77,W15_HOU_NYJ,1,2,0.41,0.59,Solver,N/A
80,W15_HOU_NYJ,2,2,0.7,0.3,Non-Solver,N/A
81,W15_HOU_NYJ,1,6,0.72,0.28,Solver,N/A
82,W15_HOU_NYJ,1,4,0.44,0.56,Solver,N/A
83,W15_HOU_NYJ,1,8,0.66,0.34,Solver,N/A
84,W15_HOU_NYJ,1,6,0.51,0.49,Solver,N/A
87,W15_HOU_NYJ,2,2,0.84,0.16,Non-Solver,N/A
90,W15_HOU_NYJ,1,2,0.3,0.7,Solver,N/A
92,W15_HOU_NYJ,2,6,0.43,0.57,Non-Solver,N/A
93,W15_HOU_NYJ,2,2,0.96,0.04,Non-Solver,N/A
97,W15_HOU_NYJ,2,4,0.64,0.36,Non-Solver,N/A
98,W15_HOU_NYJ,1,4,0.64,0.36,Solver,N/A
99,W15_HOU_NYJ,2,8,0.3,0.7,Non-Solver,N/A
101,W15_HOU_NYJ,1,6,0.62,0.38,Solver,N/A
103,W15_HOU_NYJ,2,6,0.5,0.5,Non-Solver,N/A
104,W15_HOU_NYJ,1,8,0.87,0.13,Solver,N/A
105,W15_HOU_NYJ,2,6,0.35,0.65,Non-Solver,N/A
106,W15_HOU_NYJ,1,8,0.68,0.32,Solver,N/A
108,W15_HOU_NYJ,2,2,0.48,0.52,Non-Solver,N/A
109,W15_HOU_NYJ,1,8,0.59,0.41,Solver,N/A
110,W15_HOU_NYJ,1,2,0.72,0.28,Solver,N/A
111,W15_HOU_NYJ,1,10,1.0,0.0,Solver,N/A
112,W15_HOU_NYJ,2,2,0.4,0.6,Non-Solver,N/A
113,W15_HOU_NYJ,1,4,0.34,0.66,Solver,N/A
115,W15_HOU_NYJ,1,2,0.48,0.52,Solver,N/A
118,W15_HOU_NYJ,1,10,0.75,0.25,Solver,N/A
119,W15_HOU_NYJ,2,4,0.4,0.6,Non-Solver,N/A
121,W15_HOU_NYJ,2,8,0.35,0.65,Non-Solver,N/A
124,W15_HOU_NYJ,1,8,0.71,0.29,Solver,N/A
126,W15_HOU_NYJ,2,4,0.48,0.52,Non-Solver,N/A
