Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_LAR_PHI,1,2,0.57,0.43,Non-Solver,N/A
9,W15_LAR_PHI,1,12,0.83,0.17,Non-Solver,N/A
11,W15_LAR_PHI,1,12,0.7,0.3,Non-Solver,N/A
13,W15_LAR_PHI,1,2,0.75,0.25,Non-Solver,N/A
14,W15_LAR_PHI,1,8,0.37,0.63,Non-Solver,N/A
15,W15_LAR_PHI,1,10,0.6,0.4,Non-Solver,N/A
16,W15_LAR_PHI,2,10,0.4,0.6,Solver,N/A
17,W15_LAR_PHI,1,12,0.58,0.42,Non-Solver,N/A
20,W15_LAR_PHI,1,8,0.62,0.38,Non-Solver,N/A
21,W15_LAR_PHI,1,14,0.8,0.2,Non-Solver,N/A
24,W15_LAR_PHI,1,2,0.93,0.07,Non-Solver,N/A
25,W15_LAR_PHI,1,14,0.68,0.32,Non-Solver,N/A
26,W15_LAR_PHI,1,2,0.85,0.15,Non-Solver,N/A
27,W15_LAR_PHI,1,14,1.0,0.0,Non-Solver,N/A
28,W15_LAR_PHI,1,2,0.8,0.2,Non-Solver,N/A
29,W15_LAR_PHI,2,8,0.45,0.55,Solver,N/A
31,W15_LAR_PHI,1,10,0.53,0.47,Non-Solver,N/A
32,W15_LAR_PHI,1,2,0.51,0.49,Non-Solver,N/A
35,W15_LAR_PHI,1,2,0.5,0.5,Non-Solver,N/A
44,W15_LAR_PHI,1,14,0.85,0.15,Non-Solver,N/A
45,W15_LAR_PHI,2,10,0.57,0.43,Solver,N/A
46,W15_LAR_PHI,2,10,0.37,0.63,Solver,N/A
48,W15_LAR_PHI,1,12,0.7,0.3,Non-Solver,N/A
49,W15_LAR_PHI,1,14,0.68,0.32,Non-Solver,N/A
50,W15_LAR_PHI,1,8,0.37,0.63,Non-Solver,N/A
51,W15_LAR_PHI,1,14,0.68,0.32,Non-Solver,N/A
53,W15_LAR_PHI,2,2,0.5,0.5,Solver,N/A
54,W15_LAR_PHI,1,2,0.48,0.52,Non-Solver,N/A
56,W15_LAR_PHI,1,2,0.56,0.44,Non-Solver,N/A
60,W15_LAR_PHI,1,12,0.92,0.08,Non-Solver,N/A
61,W15_LAR_PHI,1,12,0.75,0.25,Non-Solver,N/A
63,W15_LAR_PHI,1,2,0.14,0.86,Non-Solver,N/A
64,W15_LAR_PHI,1,2,0.52,0.48,Non-Solver,N/A
66,W15_LAR_PHI,2,10,0.48,0.52,Solver,N/A
67,W15_LAR_PHI,1,10,0.75,0.25,Non-Solver,N/A
69,W15_LAR_PHI,1,12,0.72,0.28,Non-Solver,N/A
70,W15_LAR_PHI,2,12,0.13,0.87,Solver,N/A
71,W15_LAR_PHI,2,12,0.36,0.64,Solver,N/A
73,W15_LAR_PHI,2,2,0.5,0.5,Solver,N/A
75,W15_LAR_PHI,1,12,0.76,0.24,Non-Solver,N/A
76,W15_LAR_PHI,1,12,0.8,0.2,Non-Solver,N/A
77,W15_LAR_PHI,2,2,0.42,0.58,Solver,N/A
80,W15_LAR_PHI,1,2,0.27,0.73,Non-Solver,N/A
81,W15_LAR_PHI,1,12,0.83,0.17,Non-Solver,N/A
82,W15_LAR_PHI,1,10,0.57,0.43,Non-Solver,N/A
83,W15_LAR_PHI,1,12,0.76,0.24,Non-Solver,N/A
84,W15_LAR_PHI,1,12,0.76,0.24,Non-Solver,N/A
85,W15_LAR_PHI,1,10,0.61,0.39,Non-Solver,N/A
87,W15_LAR_PHI,2,8,0.56,0.44,Solver,N/A
89,W15_LAR_PHI,2,8,0.55,0.45,Solver,N/A
90,W15_LAR_PHI,2,10,0.3,0.7,Solver,N/A
92,W15_LAR_PHI,1,14,0.8,0.2,Non-Solver,N/A
93,W15_LAR_PHI,1,8,0.03,0.97,Non-Solver,N/A
