Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_OAK_CIN,1,6,0.66,0.34,Non-Solver,N/A
9,W15_OAK_CIN,2,4,0.31,0.69,Solver,N/A
11,W15_OAK_CIN,2,10,0.63,0.37,Solver,N/A
13,W15_OAK_CIN,1,2,0.65,0.35,Non-Solver,N/A
14,W15_OAK_CIN,1,2,0.22,0.78,Non-Solver,N/A
16,W15_OAK_CIN,1,2,0.56,0.44,Non-Solver,N/A
17,W15_OAK_CIN,1,10,1.0,0.0,Non-Solver,N/A
20,W15_OAK_CIN,1,4,0.65,0.35,Non-Solver,N/A
21,W15_OAK_CIN,1,8,0.69,0.31,Non-Solver,N/A
24,W15_OAK_CIN,1,2,0.77,0.23,Non-Solver,N/A
25,W15_OAK_CIN,2,6,0.38,0.62,Solver,N/A
26,W15_OAK_CIN,1,2,0.73,0.27,Non-Solver,N/A
27,W15_OAK_CIN,1,4,0.32,0.68,Non-Solver,N/A
28,W15_OAK_CIN,1,2,0.78,0.22,Non-Solver,N/A
29,W15_OAK_CIN,2,8,0.3,0.7,Solver,N/A
31,W15_OAK_CIN,1,6,0.53,0.47,Non-Solver,N/A
32,W15_OAK_CIN,1,2,0.51,0.49,Non-Solver,N/A
35,W15_OAK_CIN,1,2,0.5,0.5,Non-Solver,N/A
39,W15_OAK_CIN,1,2,0.35,0.65,Non-Solver,N/A
44,W15_OAK_CIN,2,2,0.4,0.6,Solver,N/A
45,W15_OAK_CIN,2,10,0.07,0.93,Solver,N/A
46,W15_OAK_CIN,2,6,0.2,0.8,Solver,N/A
48,W15_OAK_CIN,2,2,0.65,0.35,Solver,N/A
49,W15_OAK_CIN,2,6,0.35,0.65,Solver,N/A
50,W15_OAK_CIN,2,6,0.28,0.72,Solver,N/A
51,W15_OAK_CIN,1,4,0.65,0.35,Non-Solver,N/A
53,W15_OAK_CIN,1,2,0.5,0.5,Non-Solver,N/A
54,W15_OAK_CIN,1,4,0.49,0.51,Non-Solver,N/A
56,W15_OAK_CIN,2,2,0.44,0.56,Solver,N/A
60,W15_OAK_CIN,1,8,0.87,0.13,Non-Solver,N/A
61,W15_OAK_CIN,1,6,0.7,0.3,Non-Solver,N/A
63,W15_OAK_CIN,1,4,0.64,0.36,Non-Solver,N/A
64,W15_OAK_CIN,2,4,0.36,0.64,Solver,N/A
66,W15_OAK_CIN,1,4,0.56,0.44,Non-Solver,N/A
67,W15_OAK_CIN,1,6,0.79,0.21,Non-Solver,N/A
69,W15_OAK_CIN,1,4,0.65,0.35,Non-Solver,N/A
70,W15_OAK_CIN,2,10,0.1,0.9,Solver,N/A
71,W15_OAK_CIN,1,8,0.58,0.42,Non-Solver,N/A
73,W15_OAK_CIN,2,2,0.5,0.5,Solver,N/A
