Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_SEA_SF,1,6,0.77,0.23,Non-Solver,N/A
9,W15_SEA_SF,1,8,0.81,0.19,Non-Solver,N/A
11,W15_SEA_SF,1,8,0.71,0.29,Non-Solver,N/A
13,W15_SEA_SF,1,4,0.63,0.37,Non-Solver,N/A
14,W15_SEA_SF,2,2,0.85,0.15,Solver,N/A
16,W15_SEA_SF,1,8,0.84,0.16,Non-Solver,N/A
17,W15_SEA_SF,1,8,0.72,0.28,Non-Solver,N/A
20,W15_SEA_SF,1,6,0.69,0.31,Non-Solver,N/A
21,W15_SEA_SF,2,10,0.28,0.72,Solver,N/A
24,W15_SEA_SF,2,2,0.13,0.87,Solver,N/A
25,W15_SEA_SF,2,2,0.26,0.74,Solver,N/A
26,W15_SEA_SF,1,2,0.93,0.07,Non-Solver,N/A
27,W15_SEA_SF,1,10,0.9,0.1,Non-Solver,N/A
28,W15_SEA_SF,2,2,0.22,0.78,Solver,N/A
29,W15_SEA_SF,1,2,0.5,0.5,Non-Solver,N/A
31,W15_SEA_SF,1,6,0.53,0.47,Non-Solver,N/A
32,W15_SEA_SF,2,2,0.49,0.51,Solver,N/A
35,W15_SEA_SF,1,2,0.5,0.5,Non-Solver,N/A
39,W15_SEA_SF,2,8,0.25,0.75,Solver,N/A
44,W15_SEA_SF,1,10,0.75,0.25,Non-Solver,N/A
45,W15_SEA_SF,2,10,0.01,0.99,Solver,N/A
46,W15_SEA_SF,1,8,0.79,0.21,Non-Solver,N/A
48,W15_SEA_SF,1,6,0.5,0.5,Non-Solver,N/A
49,W15_SEA_SF,1,6,0.69,0.31,Non-Solver,N/A
50,W15_SEA_SF,2,4,0.57,0.43,Solver,N/A
51,W15_SEA_SF,2,6,0.37,0.63,Solver,N/A
53,W15_SEA_SF,1,2,0.5,0.5,Non-Solver,N/A
54,W15_SEA_SF,1,2,0.49,0.51,Non-Solver,N/A
56,W15_SEA_SF,2,2,0.44,0.56,Solver,N/A
60,W15_SEA_SF,1,10,0.96,0.04,Non-Solver,N/A
61,W15_SEA_SF,2,6,0.3,0.7,Solver,N/A
64,W15_SEA_SF,2,2,0.44,0.56,Solver,N/A
66,W15_SEA_SF,2,6,0.54,0.46,Solver,N/A
67,W15_SEA_SF,1,8,0.92,0.08,Non-Solver,N/A
69,W15_SEA_SF,2,10,0.09,0.91,Solver,N/A
70,W15_SEA_SF,2,10,0.1,0.9,Solver,N/A
