Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_TB_BAL,2,2,0.51,0.49,Solver,N/A
9,W15_TB_BAL,2,10,0.3,0.7,Solver,N/A
11,W15_TB_BAL,2,10,0.48,0.52,Solver,N/A
13,W15_TB_BAL,2,2,0.65,0.35,Solver,N/A
14,W15_TB_BAL,1,2,0.25,0.75,Non-Solver,N/A
15,W15_TB_BAL,1,2,0.4,0.6,Non-Solver,N/A
16,W15_TB_BAL,2,8,0.46,0.54,Solver,N/A
17,W15_TB_BAL,1,12,0.59,0.41,Non-Solver,N/A
21,W15_TB_BAL,2,14,0.2,0.8,Solver,N/A
24,W15_TB_BAL,2,2,0.15,0.85,Solver,N/A
25,W15_TB_BAL,1,2,0.55,0.45,Non-Solver,N/A
26,W15_TB_BAL,1,2,0.76,0.24,Non-Solver,N/A
27,W15_TB_BAL,2,10,0.49,0.51,Solver,N/A
28,W15_TB_BAL,2,2,0.74,0.26,Solver,N/A
29,W15_TB_BAL,2,2,0.55,0.45,Solver,N/A
31,W15_TB_BAL,1,10,0.53,0.47,Non-Solver,N/A
32,W15_TB_BAL,2,2,0.48,0.52,Solver,N/A
35,W15_TB_BAL,1,2,0.5,0.5,Non-Solver,N/A
39,W15_TB_BAL,1,2,0.25,0.75,Non-Solver,N/A
44,W15_TB_BAL,2,10,0.3,0.7,Solver,N/A
45,W15_TB_BAL,1,12,0.67,0.33,Non-Solver,N/A
46,W15_TB_BAL,1,10,0.75,0.25,Non-Solver,N/A
48,W15_TB_BAL,2,10,0.45,0.55,Solver,N/A
49,W15_TB_BAL,2,10,0.37,0.63,Solver,N/A
50,W15_TB_BAL,2,10,0.42,0.58,Solver,N/A
51,W15_TB_BAL,2,8,0.52,0.48,Solver,N/A
53,W15_TB_BAL,2,2,0.5,0.5,Solver,N/A
54,W15_TB_BAL,1,8,0.48,0.52,Non-Solver,N/A
56,W15_TB_BAL,1,2,0.56,0.44,Non-Solver,N/A
60,W15_TB_BAL,2,12,0.09,0.91,Solver,N/A
61,W15_TB_BAL,2,10,0.35,0.65,Solver,N/A
63,W15_TB_BAL,2,2,0.83,0.17,Solver,N/A
64,W15_TB_BAL,2,2,0.46,0.54,Solver,N/A
67,W15_TB_BAL,2,8,0.25,0.75,Solver,N/A
69,W15_TB_BAL,1,12,0.7,0.3,Non-Solver,N/A
71,W15_TB_BAL,2,10,0.35,0.65,Solver,N/A
73,W15_TB_BAL,2,2,0.5,0.5,Solver,N/A
76,W15_TB_BAL,2,10,0.53,0.47,Solver,N/A
77,W15_TB_BAL,1,2,0.43,0.57,Non-Solver,N/A
80,W15_TB_BAL,1,2,0.38,0.62,Non-Solver,N/A
81,W15_TB_BAL,1,12,0.84,0.16,Non-Solver,N/A
82,W15_TB_BAL,1,10,0.46,0.54,Non-Solver,N/A
83,W15_TB_BAL,2,10,0.4,0.6,Solver,N/A
84,W15_TB_BAL,2,10,0.5,0.5,Solver,N/A
87,W15_TB_BAL,2,2,0.85,0.15,Solver,N/A
89,W15_TB_BAL,1,8,0.57,0.43,Non-Solver,N/A
90,W15_TB_BAL,2,10,0.4,0.6,Solver,N/A
92,W15_TB_BAL,1,10,0.55,0.45,Non-Solver,N/A
93,W15_TB_BAL,1,2,0.02,0.98,Non-Solver,N/A
97,W15_TB_BAL,2,12,0.53,0.47,Solver,N/A
98,W15_TB_BAL,1,8,0.47,0.53,Non-Solver,N/A
103,W15_TB_BAL,2,10,0.5,0.5,Solver,N/A
104,W15_TB_BAL,2,10,0.18,0.82,Solver,N/A
105,W15_TB_BAL,2,10,0.35,0.65,Solver,N/A
106,W15_TB_BAL,2,10,0.33,0.67,Solver,N/A
108,W15_TB_BAL,1,10,0.79,0.21,Non-Solver,N/A
109,W15_TB_BAL,2,10,0.46,0.54,Solver,N/A
110,W15_TB_BAL,1,2,0.77,0.23,Non-Solver,N/A
111,W15_TB_BAL,2,14,0.0,1.0,Solver,N/A
112,W15_TB_BAL,2,2,0.6,0.4,Solver,N/A
113,W15_TB_BAL,2,12,0.2,0.8,Solver,N/A
115,W15_TB_BAL,2,2,0.55,0.45,Solver,N/A
118,W15_TB_BAL,1,14,0.78,0.22,Non-Solver,N/A
119,W15_TB_BAL,1,8,0.6,0.4,Non-Solver,N/A
121,W15_TB_BAL,2,2,0.55,0.45,Solver,N/A
124,W15_TB_BAL,2,12,0.19,0.81,Solver,N/A
126,W15_TB_BAL,1,10,0.58,0.42,Non-Solver,N/A
127,W15_TB_BAL,2,12,0.0,1.0,Solver,N/A
129,W15_TB_BAL,1,14,1.0,0.0,Non-Solver,N/A
131,W15_TB_BAL,2,12,0.41,0.59,Solver,N/A
132,W15_TB_BAL,2,10,0.3,0.7,Solver,N/A
137,W15_TB_BAL,2,14,0.07,0.93,Solver,N/A
141,W15_TB_BAL,1,10,0.58,0.42,Non-Solver,N/A
143,W15_TB_BAL,1,14,0.99,0.01,Non-Solver,N/A
148,W15_TB_BAL,2,14,0.09,0.91,Solver,N/A
153,W15_TB_BAL,2,2,0.47,0.53,Solver,N/A
156,W15_TB_BAL,1,10,0.62,0.38,Non-Solver,N/A
158,W15_TB_BAL,1,2,0.47,0.53,Non-Solver,N/A
159,W15_TB_BAL,2,2,0.54,0.46,Solver,N/A
162,W15_TB_BAL,2,10,0.43,0.57,Solver,N/A
165,W15_TB_BAL,1,12,0.7,0.3,Non-Solver,N/A
