Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,W15_WAS_JAC,2,2,0.38,0.62,Non-Solver,N/A
9,W15_WAS_JAC,2,8,0.15,0.85,Non-Solver,N/A
11,W15_WAS_JAC,2,6,0.48,0.52,Non-Solver,N/A
13,W15_WAS_JAC,1,2,0.28,0.72,Solver,N/A
14,W15_WAS_JAC,2,2,0.79,0.21,Non-Solver,N/A
15,W15_WAS_JAC,2,2,0.6,0.4,Non-Solver,N/A
16,W15_WAS_JAC,1,2,0.52,0.48,Solver,N/A
17,W15_WAS_JAC,1,6,0.55,0.45,Solver,N/A
21,W15_WAS_JAC,2,10,0.38,0.62,Non-Solver,N/A
24,W15_WAS_JAC,1,2,0.8,0.2,Solver,N/A
25,W15_WAS_JAC,2,2,0.34,0.66,Non-Solver,N/A
26,W15_WAS_JAC,1,2,0.76,0.24,Solver,N/A
27,W15_WAS_JAC,2,2,0.9,0.1,Non-Solver,N/A
29,W15_WAS_JAC,1,2,0.45,0.55,Solver,N/A
31,W15_WAS_JAC,1,6,0.52,0.48,Solver,N/A
32,W15_WAS_JAC,1,2,0.54,0.46,Solver,N/A
35,W15_WAS_JAC,1,2,0.5,0.5,Solver,N/A
39,W15_WAS_JAC,2,8,0.25,0.75,Non-Solver,N/A
44,W15_WAS_JAC,2,8,0.35,0.65,Non-Solver,N/A
45,W15_WAS_JAC,2,10,0.22,0.78,Non-Solver,N/A
46,W15_WAS_JAC,1,6,0.59,0.41,Solver,N/A
48,W15_WAS_JAC,1,6,0.51,0.49,Solver,N/A
49,W15_WAS_JAC,1,6,0.7,0.3,Solver,N/A
50,W15_WAS_JAC,1,2,0.4,0.6,Solver,N/A
53,W15_WAS_JAC,2,2,0.5,0.5,Non-Solver,N/A
54,W15_WAS_JAC,1,2,0.51,0.49,Solver,N/A
56,W15_WAS_JAC,1,2,0.56,0.44,Solver,N/A
60,W15_WAS_JAC,1,8,0.9,0.1,Solver,N/A
61,W15_WAS_JAC,1,6,0.6,0.4,Solver,N/A
63,W15_WAS_JAC,1,4,0.66,0.34,Solver,N/A
