Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W1_BUF_BAL,2,4,0.75,0.25,Solver,N/A
2,W1_BUF_BAL,2,6,0.4,0.6,Solver,N/A
3,W1_BUF_BAL,2,2,0.45,0.55,Solver,N/A
4,W1_BUF_BAL,2,2,0.47,0.53,Solver,N/A
5,W1_BUF_BAL,2,4,0.5,0.5,Solver,N/A
6,W1_BUF_BAL,2,2,0.55,0.45,Solver,N/A
7,W1_BUF_BAL,2,6,0.47,0.53,Solver,N/A
8,W1_BUF_BAL,1,2,0.26,0.74,Non-Solver,N/A
11,W1_BUF_BAL,1,6,0.5,0.5,Non-Solver,N/A
14,W1_BUF_BAL,2,2,0.75,0.25,Solver,N/A
15,W1_BUF_BAL,2,6,0.35,0.65,Solver,N/A
16,W1_BUF_BAL,2,8,0.23,0.77,Solver,N/A
17,W1_BUF_BAL,2,8,0.05,0.95,Solver,N/A
18,W1_BUF_BAL,2,4,0.49,0.51,Solver,N/A
20,W1_BUF_BAL,2,2,0.5,0.5,Solver,N/A
23,W1_BUF_BAL,2,2,0.4,0.6,Solver,N/A
25,W1_BUF_BAL,2,6,0.37,0.63,Solver,N/A
28,W1_BUF_BAL,2,2,0.4,0.6,Solver,N/A
29,W1_BUF_BAL,2,6,0.5,0.5,Solver,N/A
31,W1_BUF_BAL,1,6,0.69,0.31,Non-Solver,N/A
32,W1_BUF_BAL,2,6,0.45,0.55,Solver,N/A
36,W1_BUF_BAL,2,6,0.2,0.8,Solver,N/A
37,W1_BUF_BAL,2,2,0.7,0.3,Solver,N/A
44,W1_BUF_BAL,2,8,0.2,0.8,Solver,N/A
45,W1_BUF_BAL,2,6,0.61,0.39,Solver,N/A
46,W1_BUF_BAL,2,6,0.4,0.6,Solver,N/A
48,W1_BUF_BAL,2,6,0.45,0.55,Solver,N/A
51,W1_BUF_BAL,2,2,0.56,0.44,Solver,N/A
53,W1_BUF_BAL,2,2,0.5,0.5,Solver,N/A
54,W1_BUF_BAL,1,2,0.5,0.5,Non-Solver,N/A
55,W1_BUF_BAL,2,8,0.2,0.8,Solver,N/A
56,W1_BUF_BAL,1,2,0.46,0.54,Non-Solver,N/A
60,W1_BUF_BAL,2,8,0.23,0.77,Solver,N/A
61,W1_BUF_BAL,2,6,0.4,0.6,Solver,N/A
62,W1_BUF_BAL,2,8,0.3,0.7,Solver,N/A
64,W1_BUF_BAL,2,6,0.25,0.75,Solver,N/A
65,W1_BUF_BAL,2,4,0.46,0.54,Solver,N/A
66,W1_BUF_BAL,2,6,0.39,0.61,Solver,N/A
68,W1_BUF_BAL,1,8,0.04,0.96,Non-Solver,N/A
71,W1_BUF_BAL,2,10,0.4,0.6,Solver,N/A
73,W1_BUF_BAL,1,6,0.75,0.25,Non-Solver,N/A
75,W1_BUF_BAL,2,6,0.35,0.65,Solver,N/A
76,W1_BUF_BAL,1,6,0.61,0.39,Non-Solver,N/A
80,W1_BUF_BAL,2,2,0.19,0.81,Solver,N/A
81,W1_BUF_BAL,2,4,0.71,0.29,Solver,N/A
82,W1_BUF_BAL,1,4,0.42,0.58,Non-Solver,N/A
83,W1_BUF_BAL,2,6,0.4,0.6,Solver,N/A
84,W1_BUF_BAL,2,6,0.5,0.5,Solver,N/A
86,W1_BUF_BAL,2,4,0.5,0.5,Solver,N/A
87,W1_BUF_BAL,2,2,0.46,0.54,Solver,N/A
88,W1_BUF_BAL,2,6,0.4,0.6,Solver,N/A
89,W1_BUF_BAL,1,6,0.5,0.5,Non-Solver,N/A
