Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W1_CHI_GB,2,6,0.62,0.38,Solver,N/A
2,W1_CHI_GB,2,6,0.32,0.68,Solver,N/A
3,W1_CHI_GB,2,4,0.6,0.4,Solver,N/A
4,W1_CHI_GB,2,6,0.43,0.57,Solver,N/A
5,W1_CHI_GB,2,4,0.5,0.5,Solver,N/A
6,W1_CHI_GB,2,6,0.3,0.7,Solver,N/A
8,W1_CHI_GB,1,2,0.97,0.03,Non-Solver,N/A
9,W1_CHI_GB,2,10,0.05,0.95,Solver,N/A
11,W1_CHI_GB,1,6,0.5,0.5,Non-Solver,N/A
13,W1_CHI_GB,2,2,0.3,0.7,Solver,N/A
14,W1_CHI_GB,1,4,0.25,0.75,Non-Solver,N/A
15,W1_CHI_GB,2,6,0.39,0.61,Solver,N/A
16,W1_CHI_GB,2,6,0.56,0.44,Solver,N/A
17,W1_CHI_GB,2,8,0.34,0.66,Solver,N/A
20,W1_CHI_GB,2,2,0.5,0.5,Solver,N/A
23,W1_CHI_GB,2,6,0.2,0.8,Solver,N/A
25,W1_CHI_GB,2,6,0.14,0.86,Solver,N/A
28,W1_CHI_GB,2,2,0.24,0.76,Solver,N/A
29,W1_CHI_GB,2,10,0.36,0.64,Solver,N/A
30,W1_CHI_GB,2,6,0.19,0.81,Solver,N/A
31,W1_CHI_GB,2,8,0.25,0.75,Solver,N/A
32,W1_CHI_GB,2,2,0.5,0.5,Solver,N/A
36,W1_CHI_GB,2,8,0.1,0.9,Solver,N/A
37,W1_CHI_GB,2,2,0.7,0.3,Solver,N/A
44,W1_CHI_GB,2,8,0.2,0.8,Solver,N/A
45,W1_CHI_GB,2,8,0.3,0.7,Solver,N/A
46,W1_CHI_GB,2,8,0.2,0.8,Solver,N/A
48,W1_CHI_GB,2,4,0.55,0.45,Solver,N/A
51,W1_CHI_GB,2,10,0.16,0.84,Solver,N/A
53,W1_CHI_GB,2,2,0.5,0.5,Solver,N/A
54,W1_CHI_GB,1,2,0.5,0.5,Non-Solver,N/A
55,W1_CHI_GB,2,10,0.0,1.0,Solver,N/A
56,W1_CHI_GB,2,10,0.15,0.85,Solver,N/A
60,W1_CHI_GB,2,8,0.16,0.84,Solver,N/A
61,W1_CHI_GB,1,6,0.55,0.45,Non-Solver,N/A
64,W1_CHI_GB,2,2,0.2,0.8,Solver,N/A
65,W1_CHI_GB,2,10,0.17,0.83,Solver,N/A
66,W1_CHI_GB,2,4,0.74,0.26,Solver,N/A
68,W1_CHI_GB,2,6,0.01,0.99,Solver,N/A
71,W1_CHI_GB,2,10,0.4,0.6,Solver,N/A
73,W1_CHI_GB,1,4,0.55,0.45,Non-Solver,N/A
76,W1_CHI_GB,2,8,0.25,0.75,Solver,N/A
80,W1_CHI_GB,2,6,0.9,0.1,Solver,N/A
82,W1_CHI_GB,2,6,0.35,0.65,Solver,N/A
83,W1_CHI_GB,2,8,0.16,0.84,Solver,N/A
84,W1_CHI_GB,2,6,0.13,0.87,Solver,N/A
86,W1_CHI_GB,2,4,0.4,0.6,Solver,N/A
87,W1_CHI_GB,2,6,0.32,0.68,Solver,N/A
88,W1_CHI_GB,2,8,0.25,0.75,Solver,N/A
89,W1_CHI_GB,2,6,0.4,0.6,Solver,N/A
90,W1_CHI_GB,2,6,0.6,0.4,Solver,N/A
92,W1_CHI_GB,2,8,0.39,0.61,Solver,N/A
97,W1_CHI_GB,2,8,0.43,0.57,Solver,N/A
98,W1_CHI_GB,2,6,0.23,0.77,Solver,N/A
99,W1_CHI_GB,2,10,0.0,1.0,Solver,N/A
100,W1_CHI_GB,2,4,0.5,0.5,Solver,N/A
103,W1_CHI_GB,2,6,0.54,0.46,Solver,N/A
104,W1_CHI_GB,2,10,0.11,0.89,Solver,N/A
105,W1_CHI_GB,2,8,0.2,0.8,Solver,N/A
109,W1_CHI_GB,2,6,0.5,0.5,Solver,N/A
110,W1_CHI_GB,2,2,0.54,0.46,Solver,N/A
111,W1_CHI_GB,2,2,0.3,0.7,Solver,N/A
112,W1_CHI_GB,2,10,0.24,0.76,Solver,N/A
117,W1_CHI_GB,2,10,0.17,0.83,Solver,N/A
118,W1_CHI_GB,2,2,0.24,0.76,Solver,N/A
121,W1_CHI_GB,1,6,0.61,0.39,Non-Solver,N/A
122,W1_CHI_GB,2,10,0.05,0.95,Solver,N/A
126,W1_CHI_GB,2,4,0.46,0.54,Solver,N/A
127,W1_CHI_GB,2,10,0.0,1.0,Solver,N/A
130,W1_CHI_GB,2,6,0.76,0.24,Solver,N/A
131,W1_CHI_GB,2,6,0.38,0.62,Solver,N/A
132,W1_CHI_GB,1,2,0.6,0.4,Non-Solver,N/A
136,W1_CHI_GB,1,4,0.54,0.46,Non-Solver,N/A
137,W1_CHI_GB,2,8,0.25,0.75,Solver,N/A
140,W1_CHI_GB,2,6,0.49,0.51,Solver,N/A
143,W1_CHI_GB,2,2,0.5,0.5,Solver,N/A
144,W1_CHI_GB,1,2,0.3,0.7,Non-Solver,N/A
145,W1_CHI_GB,2,6,0.75,0.25,Solver,N/A
146,W1_CHI_GB,2,2,0.55,0.45,Solver,N/A
147,W1_CHI_GB,2,4,0.18,0.82,Solver,N/A
