Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W1_CIN_IND,2,4,0.42,0.58,Non-Solver,N/A
3,W1_CIN_IND,2,2,0.55,0.45,Non-Solver,N/A
4,W1_CIN_IND,2,2,0.64,0.36,Non-Solver,N/A
5,W1_CIN_IND,2,2,0.5,0.5,Non-Solver,N/A
7,W1_CIN_IND,2,6,0.58,0.42,Non-Solver,N/A
8,W1_CIN_IND,1,4,0.24,0.76,Solver,N/A
9,W1_CIN_IND,2,4,0.36,0.64,Non-Solver,N/A
11,W1_CIN_IND,1,6,0.65,0.35,Solver,N/A
14,W1_CIN_IND,2,2,0.8,0.2,Non-Solver,N/A
15,W1_CIN_IND,2,6,0.35,0.65,Non-Solver,N/A
17,W1_CIN_IND,2,8,0.17,0.83,Non-Solver,N/A
20,W1_CIN_IND,2,2,0.5,0.5,Non-Solver,N/A
23,W1_CIN_IND,2,2,0.4,0.6,Non-Solver,N/A
25,W1_CIN_IND,2,2,0.25,0.75,Non-Solver,N/A
28,W1_CIN_IND,2,2,0.2,0.8,Non-Solver,N/A
29,W1_CIN_IND,2,8,0.36,0.64,Non-Solver,N/A
30,W1_CIN_IND,2,4,0.39,0.61,Non-Solver,N/A
32,W1_CIN_IND,1,2,0.65,0.35,Solver,N/A
36,W1_CIN_IND,2,8,0.2,0.8,Non-Solver,N/A
37,W1_CIN_IND,2,2,0.7,0.3,Non-Solver,N/A
44,W1_CIN_IND,2,6,0.4,0.6,Non-Solver,N/A
45,W1_CIN_IND,1,4,0.23,0.77,Solver,N/A
46,W1_CIN_IND,2,2,0.75,0.25,Non-Solver,N/A
48,W1_CIN_IND,2,2,0.65,0.35,Non-Solver,N/A
51,W1_CIN_IND,2,6,0.32,0.68,Non-Solver,N/A
53,W1_CIN_IND,2,2,0.5,0.5,Non-Solver,N/A
54,W1_CIN_IND,1,2,0.5,0.5,Solver,N/A
55,W1_CIN_IND,2,4,0.5,0.5,Non-Solver,N/A
56,W1_CIN_IND,2,2,0.47,0.53,Non-Solver,N/A
60,W1_CIN_IND,2,8,0.18,0.82,Non-Solver,N/A
61,W1_CIN_IND,2,8,0.3,0.7,Non-Solver,N/A
64,W1_CIN_IND,2,6,0.2,0.8,Non-Solver,N/A
65,W1_CIN_IND,2,6,0.45,0.55,Non-Solver,N/A
66,W1_CIN_IND,2,2,0.7,0.3,Non-Solver,N/A
68,W1_CIN_IND,1,6,0.51,0.49,Solver,N/A
71,W1_CIN_IND,2,8,0.4,0.6,Non-Solver,N/A
73,W1_CIN_IND,1,6,0.55,0.45,Solver,N/A
76,W1_CIN_IND,1,8,0.72,0.28,Solver,N/A
80,W1_CIN_IND,2,2,0.27,0.73,Non-Solver,N/A
81,W1_CIN_IND,2,8,0.09,0.91,Non-Solver,N/A
82,W1_CIN_IND,2,8,0.43,0.57,Non-Solver,N/A
84,W1_CIN_IND,2,6,0.49,0.51,Non-Solver,N/A
86,W1_CIN_IND,2,6,0.35,0.65,Non-Solver,N/A
87,W1_CIN_IND,2,4,0.9,0.1,Non-Solver,N/A
88,W1_CIN_IND,2,8,0.38,0.62,Non-Solver,N/A
89,W1_CIN_IND,2,6,0.48,0.52,Non-Solver,N/A
90,W1_CIN_IND,1,2,0.1,0.9,Solver,N/A
92,W1_CIN_IND,2,6,0.51,0.49,Non-Solver,N/A
97,W1_CIN_IND,2,8,0.46,0.54,Non-Solver,N/A
98,W1_CIN_IND,1,2,0.54,0.46,Solver,N/A
100,W1_CIN_IND,1,2,0.59,0.41,Solver,N/A
103,W1_CIN_IND,2,6,0.5,0.5,Non-Solver,N/A
104,W1_CIN_IND,2,6,0.53,0.47,Non-Solver,N/A
105,W1_CIN_IND,2,2,0.5,0.5,Non-Solver,N/A
106,W1_CIN_IND,2,8,0.18,0.82,Non-Solver,N/A
109,W1_CIN_IND,2,6,0.37,0.63,Non-Solver,N/A
110,W1_CIN_IND,2,2,0.64,0.36,Non-Solver,N/A
111,W1_CIN_IND,2,2,0.28,0.72,Non-Solver,N/A
112,W1_CIN_IND,2,6,0.57,0.43,Non-Solver,N/A
115,W1_CIN_IND,2,2,0.74,0.26,Non-Solver,N/A
117,W1_CIN_IND,1,6,0.6,0.4,Solver,N/A
118,W1_CIN_IND,1,2,0.71,0.29,Solver,N/A
