Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W1_DAL_CAR,1,6,0.57,0.43,Non-Solver,N/A
2,W1_DAL_CAR,2,4,0.44,0.56,Solver,N/A
4,W1_DAL_CAR,1,4,0.42,0.58,Non-Solver,N/A
5,W1_DAL_CAR,2,2,0.5,0.5,Solver,N/A
8,W1_DAL_CAR,1,10,1.0,0.0,Non-Solver,N/A
9,W1_DAL_CAR,1,10,0.4,0.6,Non-Solver,N/A
11,W1_DAL_CAR,1,8,0.8,0.2,Non-Solver,N/A
13,W1_DAL_CAR,2,6,0.18,0.82,Solver,N/A
14,W1_DAL_CAR,1,4,0.2,0.8,Non-Solver,N/A
15,W1_DAL_CAR,1,6,0.65,0.35,Non-Solver,N/A
16,W1_DAL_CAR,1,8,0.74,0.26,Non-Solver,N/A
17,W1_DAL_CAR,2,6,0.44,0.56,Solver,N/A
20,W1_DAL_CAR,1,2,0.5,0.5,Non-Solver,N/A
23,W1_DAL_CAR,1,6,0.8,0.2,Non-Solver,N/A
25,W1_DAL_CAR,2,2,0.26,0.74,Solver,N/A
28,W1_DAL_CAR,1,2,0.39,0.61,Non-Solver,N/A
29,W1_DAL_CAR,2,10,0.7,0.3,Solver,N/A
30,W1_DAL_CAR,1,6,0.8,0.2,Non-Solver,N/A
31,W1_DAL_CAR,2,6,0.5,0.5,Solver,N/A
32,W1_DAL_CAR,1,2,0.6,0.4,Non-Solver,N/A
36,W1_DAL_CAR,1,6,0.64,0.36,Non-Solver,N/A
37,W1_DAL_CAR,1,2,0.3,0.7,Non-Solver,N/A
44,W1_DAL_CAR,1,4,0.3,0.7,Non-Solver,N/A
45,W1_DAL_CAR,1,6,0.5,0.5,Non-Solver,N/A
46,W1_DAL_CAR,1,8,0.8,0.2,Non-Solver,N/A
48,W1_DAL_CAR,1,4,0.5,0.5,Non-Solver,N/A
51,W1_DAL_CAR,1,6,0.58,0.42,Non-Solver,N/A
53,W1_DAL_CAR,1,2,0.5,0.5,Non-Solver,N/A
54,W1_DAL_CAR,1,2,0.5,0.5,Non-Solver,N/A
55,W1_DAL_CAR,2,4,0.5,0.5,Solver,N/A
56,W1_DAL_CAR,1,6,0.55,0.45,Non-Solver,N/A
58,W1_DAL_CAR,1,2,0.7,0.3,Non-Solver,N/A
60,W1_DAL_CAR,2,10,0.05,0.95,Solver,N/A
61,W1_DAL_CAR,1,6,0.6,0.4,Non-Solver,N/A
62,W1_DAL_CAR,1,2,0.62,0.38,Non-Solver,N/A
64,W1_DAL_CAR,1,6,0.5,0.5,Non-Solver,N/A
65,W1_DAL_CAR,1,8,0.76,0.24,Non-Solver,N/A
66,W1_DAL_CAR,1,6,0.62,0.38,Non-Solver,N/A
68,W1_DAL_CAR,2,8,0.8,0.2,Solver,N/A
71,W1_DAL_CAR,2,8,0.23,0.77,Solver,N/A
73,W1_DAL_CAR,1,4,0.5,0.5,Non-Solver,N/A
76,W1_DAL_CAR,1,8,0.81,0.19,Non-Solver,N/A
80,W1_DAL_CAR,1,4,0.68,0.32,Non-Solver,N/A
81,W1_DAL_CAR,1,10,0.95,0.05,Non-Solver,N/A
82,W1_DAL_CAR,1,8,0.84,0.16,Non-Solver,N/A
84,W1_DAL_CAR,1,6,0.63,0.37,Non-Solver,N/A
86,W1_DAL_CAR,1,6,0.65,0.35,Non-Solver,N/A
87,W1_DAL_CAR,2,6,0.24,0.76,Solver,N/A
88,W1_DAL_CAR,1,8,0.66,0.34,Non-Solver,N/A
89,W1_DAL_CAR,1,6,0.55,0.45,Non-Solver,N/A
90,W1_DAL_CAR,1,4,0.65,0.35,Non-Solver,N/A
92,W1_DAL_CAR,2,2,0.62,0.38,Solver,N/A
97,W1_DAL_CAR,1,10,0.67,0.33,Non-Solver,N/A
98,W1_DAL_CAR,1,4,0.56,0.44,Non-Solver,N/A
