Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W1_JAC_NYG,2,8,0.2,0.8,Non-Solver,N/A
3,W1_JAC_NYG,2,2,0.6,0.4,Non-Solver,N/A
4,W1_JAC_NYG,2,6,0.39,0.61,Non-Solver,N/A
5,W1_JAC_NYG,2,2,0.5,0.5,Non-Solver,N/A
9,W1_JAC_NYG,1,10,0.73,0.27,Solver,N/A
11,W1_JAC_NYG,1,6,0.4,0.6,Solver,N/A
13,W1_JAC_NYG,2,2,0.2,0.8,Non-Solver,N/A
14,W1_JAC_NYG,2,4,0.6,0.4,Non-Solver,N/A
16,W1_JAC_NYG,2,6,0.34,0.66,Non-Solver,N/A
17,W1_JAC_NYG,1,6,0.7,0.3,Solver,N/A
20,W1_JAC_NYG,2,2,0.5,0.5,Non-Solver,N/A
23,W1_JAC_NYG,2,6,0.29,0.71,Non-Solver,N/A
25,W1_JAC_NYG,2,8,0.2,0.8,Non-Solver,N/A
28,W1_JAC_NYG,2,2,0.6,0.4,Non-Solver,N/A
29,W1_JAC_NYG,2,2,0.6,0.4,Non-Solver,N/A
30,W1_JAC_NYG,2,6,0.29,0.71,Non-Solver,N/A
31,W1_JAC_NYG,1,8,0.7,0.3,Solver,N/A
32,W1_JAC_NYG,2,2,0.4,0.6,Non-Solver,N/A
36,W1_JAC_NYG,1,6,0.63,0.37,Solver,N/A
37,W1_JAC_NYG,2,2,0.7,0.3,Non-Solver,N/A
44,W1_JAC_NYG,2,4,0.45,0.55,Non-Solver,N/A
45,W1_JAC_NYG,2,8,0.93,0.07,Non-Solver,N/A
46,W1_JAC_NYG,2,8,0.25,0.75,Non-Solver,N/A
48,W1_JAC_NYG,2,6,0.35,0.65,Non-Solver,N/A
51,W1_JAC_NYG,2,2,0.56,0.44,Non-Solver,N/A
53,W1_JAC_NYG,2,2,0.5,0.5,Non-Solver,N/A
54,W1_JAC_NYG,2,2,0.5,0.5,Non-Solver,N/A
55,W1_JAC_NYG,2,10,0.0,1.0,Non-Solver,N/A
56,W1_JAC_NYG,2,2,0.41,0.59,Non-Solver,N/A
60,W1_JAC_NYG,1,8,0.79,0.21,Solver,N/A
61,W1_JAC_NYG,2,6,0.3,0.7,Non-Solver,N/A
62,W1_JAC_NYG,2,6,0.49,0.51,Non-Solver,N/A
64,W1_JAC_NYG,2,6,0.35,0.65,Non-Solver,N/A
65,W1_JAC_NYG,2,6,0.47,0.53,Non-Solver,N/A
66,W1_JAC_NYG,1,8,0.38,0.62,Solver,N/A
73,W1_JAC_NYG,1,4,0.5,0.5,Solver,N/A
76,W1_JAC_NYG,2,6,0.4,0.6,Non-Solver,N/A
80,W1_JAC_NYG,2,4,0.62,0.38,Non-Solver,N/A
81,W1_JAC_NYG,1,10,1.0,0.0,Solver,N/A
82,W1_JAC_NYG,2,8,0.34,0.66,Non-Solver,N/A
83,W1_JAC_NYG,1,4,0.36,0.64,Solver,N/A
84,W1_JAC_NYG,1,4,0.5,0.5,Solver,N/A
86,W1_JAC_NYG,2,6,0.6,0.4,Non-Solver,N/A
87,W1_JAC_NYG,1,4,0.2,0.8,Solver,N/A
89,W1_JAC_NYG,1,6,0.62,0.38,Solver,N/A
90,W1_JAC_NYG,1,6,0.41,0.59,Solver,N/A
92,W1_JAC_NYG,1,6,0.75,0.25,Solver,N/A
97,W1_JAC_NYG,2,6,0.49,0.51,Non-Solver,N/A
98,W1_JAC_NYG,1,4,0.69,0.31,Solver,N/A
99,W1_JAC_NYG,2,8,0.26,0.74,Non-Solver,N/A
100,W1_JAC_NYG,2,2,0.4,0.6,Non-Solver,N/A
103,W1_JAC_NYG,2,6,0.4,0.6,Non-Solver,N/A
104,W1_JAC_NYG,1,8,0.64,0.36,Solver,N/A
105,W1_JAC_NYG,2,6,0.3,0.7,Non-Solver,N/A
106,W1_JAC_NYG,1,8,0.9,0.1,Solver,N/A
109,W1_JAC_NYG,2,6,0.39,0.61,Non-Solver,N/A
110,W1_JAC_NYG,1,2,0.45,0.55,Solver,N/A
111,W1_JAC_NYG,2,2,0.3,0.7,Non-Solver,N/A
115,W1_JAC_NYG,2,2,0.64,0.36,Non-Solver,N/A
117,W1_JAC_NYG,2,8,0.25,0.75,Non-Solver,N/A
118,W1_JAC_NYG,2,2,0.39,0.61,Non-Solver,N/A
121,W1_JAC_NYG,1,2,0.4,0.6,Solver,N/A
122,W1_JAC_NYG,2,6,0.3,0.7,Non-Solver,N/A
125,W1_JAC_NYG,2,6,0.71,0.29,Non-Solver,N/A
126,W1_JAC_NYG,1,2,0.65,0.35,Solver,N/A
127,W1_JAC_NYG,1,6,0.51,0.49,Solver,N/A
130,W1_JAC_NYG,2,2,0.85,0.15,Non-Solver,N/A
132,W1_JAC_NYG,2,2,0.2,0.8,Non-Solver,N/A
136,W1_JAC_NYG,2,6,0.28,0.72,Non-Solver,N/A
137,W1_JAC_NYG,2,6,0.44,0.56,Non-Solver,N/A
140,W1_JAC_NYG,2,8,0.47,0.53,Non-Solver,N/A
143,W1_JAC_NYG,1,4,0.41,0.59,Solver,N/A
144,W1_JAC_NYG,1,2,0.3,0.7,Solver,N/A
145,W1_JAC_NYG,1,8,0.7,0.3,Solver,N/A
146,W1_JAC_NYG,2,2,0.7,0.3,Non-Solver,N/A
147,W1_JAC_NYG,1,10,0.81,0.19,Solver,N/A
148,W1_JAC_NYG,2,8,0.26,0.74,Non-Solver,N/A
149,W1_JAC_NYG,2,2,0.3,0.7,Non-Solver,N/A
152,W1_JAC_NYG,2,2,0.5,0.5,Non-Solver,N/A
155,W1_JAC_NYG,2,4,0.34,0.66,Non-Solver,N/A
158,W1_JAC_NYG,2,6,0.4,0.6,Non-Solver,N/A
159,W1_JAC_NYG,2,6,0.4,0.6,Non-Solver,N/A
165,W1_JAC_NYG,2,8,0.39,0.61,Non-Solver,N/A
166,W1_JAC_NYG,2,4,0.72,0.28,Non-Solver,N/A
171,W1_JAC_NYG,2,6,0.3,0.7,Non-Solver,N/A
172,W1_JAC_NYG,2,6,0.3,0.7,Non-Solver,N/A
175,W1_JAC_NYG,2,6,0.34,0.66,Non-Solver,N/A
180,W1_JAC_NYG,1,6,0.65,0.35,Solver,N/A
188,W1_JAC_NYG,1,8,0.8,0.2,Solver,N/A
190,W1_JAC_NYG,2,10,0.03,0.97,Non-Solver,N/A
195,W1_JAC_NYG,2,6,0.45,0.55,Non-Solver,N/A
196,W1_JAC_NYG,1,8,0.6,0.4,Solver,N/A
197,W1_JAC_NYG,2,8,0.28,0.72,Non-Solver,N/A
198,W1_JAC_NYG,1,6,0.4,0.6,Solver,N/A
199,W1_JAC_NYG,2,2,0.55,0.45,Non-Solver,N/A
200,W1_JAC_NYG,1,8,0.85,0.15,Solver,N/A
201,W1_JAC_NYG,2,4,0.74,0.26,Non-Solver,N/A
203,W1_JAC_NYG,2,4,0.26,0.74,Non-Solver,N/A
207,W1_JAC_NYG,2,8,0.1,0.9,Non-Solver,N/A
208,W1_JAC_NYG,2,6,0.46,0.54,Non-Solver,N/A
209,W1_JAC_NYG,2,4,0.59,0.41,Non-Solver,N/A
