Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,W1_KC_LAC,2,6,0.43,0.57,Non-Solver,N/A
5,W1_KC_LAC,2,4,0.5,0.5,Non-Solver,N/A
6,W1_KC_LAC,2,2,0.36,0.64,Non-Solver,N/A
8,W1_KC_LAC,1,10,0.68,0.32,Solver,N/A
9,W1_KC_LAC,2,8,0.64,0.36,Non-Solver,N/A
11,W1_KC_LAC,2,8,0.2,0.8,Non-Solver,N/A
14,W1_KC_LAC,2,6,0.5,0.5,Non-Solver,N/A
15,W1_KC_LAC,2,6,0.35,0.65,Non-Solver,N/A
16,W1_KC_LAC,2,6,0.81,0.19,Non-Solver,N/A
17,W1_KC_LAC,2,8,0.33,0.67,Non-Solver,N/A
20,W1_KC_LAC,2,2,0.5,0.5,Non-Solver,N/A
23,W1_KC_LAC,2,2,0.4,0.6,Non-Solver,N/A
25,W1_KC_LAC,2,6,0.27,0.73,Non-Solver,N/A
28,W1_KC_LAC,2,2,0.38,0.62,Non-Solver,N/A
29,W1_KC_LAC,2,8,0.24,0.76,Non-Solver,N/A
30,W1_KC_LAC,2,4,0.3,0.7,Non-Solver,N/A
31,W1_KC_LAC,2,8,0.36,0.64,Non-Solver,N/A
32,W1_KC_LAC,2,2,0.5,0.5,Non-Solver,N/A
36,W1_KC_LAC,2,6,0.39,0.61,Non-Solver,N/A
37,W1_KC_LAC,2,2,0.7,0.3,Non-Solver,N/A
44,W1_KC_LAC,2,6,0.2,0.8,Non-Solver,N/A
45,W1_KC_LAC,2,4,0.65,0.35,Non-Solver,N/A
46,W1_KC_LAC,1,6,0.6,0.4,Solver,N/A
48,W1_KC_LAC,2,8,0.25,0.75,Non-Solver,N/A
51,W1_KC_LAC,2,6,0.1,0.9,Non-Solver,N/A
53,W1_KC_LAC,2,2,0.5,0.5,Non-Solver,N/A
54,W1_KC_LAC,2,2,0.5,0.5,Non-Solver,N/A
55,W1_KC_LAC,2,8,0.2,0.8,Non-Solver,N/A
56,W1_KC_LAC,1,2,0.55,0.45,Solver,N/A
60,W1_KC_LAC,2,8,0.13,0.87,Non-Solver,N/A
64,W1_KC_LAC,1,2,0.5,0.5,Solver,N/A
65,W1_KC_LAC,2,4,0.46,0.54,Non-Solver,N/A
66,W1_KC_LAC,2,8,0.22,0.78,Non-Solver,N/A
68,W1_KC_LAC,2,10,0.0,1.0,Non-Solver,N/A
71,W1_KC_LAC,2,10,0.3,0.7,Non-Solver,N/A
73,W1_KC_LAC,1,6,0.7,0.3,Solver,N/A
76,W1_KC_LAC,2,8,0.24,0.76,Non-Solver,N/A
80,W1_KC_LAC,1,4,0.39,0.61,Solver,N/A
