Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W1_PIT_CLE,1,10,0.8,0.2,Solver,N/A
3,W1_PIT_CLE,1,2,0.6,0.4,Solver,N/A
4,W1_PIT_CLE,1,8,0.73,0.27,Solver,N/A
5,W1_PIT_CLE,1,2,0.5,0.5,Solver,N/A
6,W1_PIT_CLE,1,10,0.4,0.6,Solver,N/A
8,W1_PIT_CLE,1,2,0.35,0.65,Solver,N/A
9,W1_PIT_CLE,1,8,0.93,0.07,Solver,N/A
11,W1_PIT_CLE,1,10,0.96,0.04,Solver,N/A
13,W1_PIT_CLE,1,2,0.71,0.29,Solver,N/A
14,W1_PIT_CLE,1,4,0.25,0.75,Solver,N/A
15,W1_PIT_CLE,1,6,0.65,0.35,Solver,N/A
16,W1_PIT_CLE,1,8,0.61,0.39,Solver,N/A
17,W1_PIT_CLE,1,10,1.0,0.0,Solver,N/A
20,W1_PIT_CLE,2,2,0.5,0.5,Non-Solver,N/A
23,W1_PIT_CLE,1,6,0.8,0.2,Solver,N/A
25,W1_PIT_CLE,1,8,0.81,0.19,Solver,N/A
28,W1_PIT_CLE,1,2,0.62,0.38,Solver,N/A
29,W1_PIT_CLE,1,10,1.0,0.0,Solver,N/A
31,W1_PIT_CLE,1,10,1.0,0.0,Solver,N/A
32,W1_PIT_CLE,1,2,0.45,0.55,Solver,N/A
36,W1_PIT_CLE,1,6,0.7,0.3,Solver,N/A
37,W1_PIT_CLE,1,2,0.3,0.7,Solver,N/A
44,W1_PIT_CLE,1,10,1.0,0.0,Solver,N/A
45,W1_PIT_CLE,1,8,0.85,0.15,Solver,N/A
46,W1_PIT_CLE,1,8,0.65,0.35,Solver,N/A
48,W1_PIT_CLE,2,6,0.35,0.65,Non-Solver,N/A
51,W1_PIT_CLE,1,8,0.85,0.15,Solver,N/A
53,W1_PIT_CLE,2,4,0.4,0.6,Non-Solver,N/A
54,W1_PIT_CLE,1,2,0.5,0.5,Solver,N/A
55,W1_PIT_CLE,2,8,0.3,0.7,Non-Solver,N/A
56,W1_PIT_CLE,1,2,0.53,0.47,Solver,N/A
60,W1_PIT_CLE,1,10,0.9,0.1,Solver,N/A
61,W1_PIT_CLE,1,8,1.0,0.0,Solver,N/A
62,W1_PIT_CLE,1,6,0.58,0.42,Solver,N/A
64,W1_PIT_CLE,1,6,0.5,0.5,Solver,N/A
65,W1_PIT_CLE,1,8,0.8,0.2,Solver,N/A
66,W1_PIT_CLE,2,4,0.67,0.33,Non-Solver,N/A
68,W1_PIT_CLE,1,6,0.8,0.2,Solver,N/A
71,W1_PIT_CLE,1,10,0.66,0.34,Solver,N/A
73,W1_PIT_CLE,2,6,0.29,0.71,Non-Solver,N/A
76,W1_PIT_CLE,1,8,0.73,0.27,Solver,N/A
80,W1_PIT_CLE,1,6,0.58,0.42,Solver,N/A
81,W1_PIT_CLE,1,8,0.88,0.12,Solver,N/A
82,W1_PIT_CLE,1,8,0.61,0.39,Solver,N/A
84,W1_PIT_CLE,1,6,0.71,0.29,Solver,N/A
86,W1_PIT_CLE,1,4,0.5,0.5,Solver,N/A
87,W1_PIT_CLE,1,6,0.55,0.45,Solver,N/A
88,W1_PIT_CLE,1,8,0.75,0.25,Solver,N/A
89,W1_PIT_CLE,1,8,0.9,0.1,Solver,N/A
90,W1_PIT_CLE,1,6,0.4,0.6,Solver,N/A
92,W1_PIT_CLE,1,10,0.9,0.1,Solver,N/A
97,W1_PIT_CLE,1,10,0.72,0.28,Solver,N/A
98,W1_PIT_CLE,1,8,0.8,0.2,Solver,N/A
99,W1_PIT_CLE,1,6,0.69,0.31,Solver,N/A
100,W1_PIT_CLE,1,2,0.62,0.38,Solver,N/A
103,W1_PIT_CLE,1,6,0.5,0.5,Solver,N/A
104,W1_PIT_CLE,1,10,0.85,0.15,Solver,N/A
105,W1_PIT_CLE,1,2,0.5,0.5,Solver,N/A
106,W1_PIT_CLE,1,8,0.65,0.35,Solver,N/A
109,W1_PIT_CLE,1,6,0.66,0.34,Solver,N/A
110,W1_PIT_CLE,1,2,0.5,0.5,Solver,N/A
111,W1_PIT_CLE,1,10,0.7,0.3,Solver,N/A
112,W1_PIT_CLE,1,10,0.81,0.19,Solver,N/A
117,W1_PIT_CLE,1,8,0.9,0.1,Solver,N/A
118,W1_PIT_CLE,1,2,0.62,0.38,Solver,N/A
121,W1_PIT_CLE,1,8,0.7,0.3,Solver,N/A
122,W1_PIT_CLE,1,6,0.64,0.36,Solver,N/A
125,W1_PIT_CLE,1,4,0.4,0.6,Solver,N/A
126,W1_PIT_CLE,1,4,0.65,0.35,Solver,N/A
127,W1_PIT_CLE,1,6,0.63,0.37,Solver,N/A
130,W1_PIT_CLE,1,6,0.6,0.4,Solver,N/A
131,W1_PIT_CLE,1,8,0.55,0.45,Solver,N/A
132,W1_PIT_CLE,1,8,0.8,0.2,Solver,N/A
136,W1_PIT_CLE,1,8,0.83,0.17,Solver,N/A
137,W1_PIT_CLE,1,6,0.73,0.27,Solver,N/A
143,W1_PIT_CLE,1,2,0.51,0.49,Solver,N/A
144,W1_PIT_CLE,2,2,0.8,0.2,Non-Solver,N/A
145,W1_PIT_CLE,2,6,0.35,0.65,Non-Solver,N/A
146,W1_PIT_CLE,1,2,0.8,0.2,Solver,N/A
147,W1_PIT_CLE,1,6,0.72,0.28,Solver,N/A
148,W1_PIT_CLE,1,10,1.0,0.0,Solver,N/A
149,W1_PIT_CLE,1,2,0.51,0.49,Solver,N/A
152,W1_PIT_CLE,1,2,0.5,0.5,Solver,N/A
155,W1_PIT_CLE,1,6,0.8,0.2,Solver,N/A
158,W1_PIT_CLE,1,6,0.61,0.39,Solver,N/A
159,W1_PIT_CLE,1,6,0.6,0.4,Solver,N/A
165,W1_PIT_CLE,1,8,0.6,0.4,Solver,N/A
171,W1_PIT_CLE,2,2,0.69,0.31,Non-Solver,N/A
172,W1_PIT_CLE,1,10,0.5,0.5,Solver,N/A
175,W1_PIT_CLE,1,8,1.0,0.0,Solver,N/A
180,W1_PIT_CLE,1,6,0.85,0.15,Solver,N/A
188,W1_PIT_CLE,1,8,0.97,0.03,Solver,N/A
190,W1_PIT_CLE,1,2,0.0,1.0,Solver,N/A
195,W1_PIT_CLE,1,10,1.0,0.0,Solver,N/A
196,W1_PIT_CLE,1,8,0.75,0.25,Solver,N/A
197,W1_PIT_CLE,1,10,0.8,0.2,Solver,N/A
198,W1_PIT_CLE,2,2,0.42,0.58,Non-Solver,N/A
199,W1_PIT_CLE,1,2,0.23,0.77,Solver,N/A
200,W1_PIT_CLE,1,8,0.9,0.1,Solver,N/A
201,W1_PIT_CLE,1,6,0.61,0.39,Solver,N/A
203,W1_PIT_CLE,1,2,0.77,0.23,Solver,N/A
204,W1_PIT_CLE,1,8,0.8,0.2,Solver,N/A
207,W1_PIT_CLE,1,8,0.85,0.15,Solver,N/A
208,W1_PIT_CLE,1,8,0.58,0.42,Solver,N/A
209,W1_PIT_CLE,1,2,0.49,0.51,Solver,N/A
