Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W1_SEA_DEN,2,6,0.37,0.63,Solver,N/A
4,W1_SEA_DEN,2,6,0.4,0.6,Solver,N/A
5,W1_SEA_DEN,2,4,0.5,0.5,Solver,N/A
6,W1_SEA_DEN,2,2,0.58,0.42,Solver,N/A
8,W1_SEA_DEN,2,2,0.1,0.9,Solver,N/A
9,W1_SEA_DEN,1,6,0.47,0.53,Non-Solver,N/A
11,W1_SEA_DEN,1,6,0.7,0.3,Non-Solver,N/A
14,W1_SEA_DEN,1,4,0.1,0.9,Non-Solver,N/A
15,W1_SEA_DEN,1,6,0.65,0.35,Non-Solver,N/A
16,W1_SEA_DEN,1,8,0.62,0.38,Non-Solver,N/A
17,W1_SEA_DEN,1,2,0.56,0.44,Non-Solver,N/A
20,W1_SEA_DEN,1,2,0.5,0.5,Non-Solver,N/A
23,W1_SEA_DEN,1,6,0.7,0.3,Non-Solver,N/A
25,W1_SEA_DEN,2,4,0.35,0.65,Solver,N/A
28,W1_SEA_DEN,2,2,0.3,0.7,Solver,N/A
29,W1_SEA_DEN,1,10,0.87,0.13,Non-Solver,N/A
30,W1_SEA_DEN,1,4,0.7,0.3,Non-Solver,N/A
31,W1_SEA_DEN,1,6,0.54,0.46,Non-Solver,N/A
32,W1_SEA_DEN,1,2,0.65,0.35,Non-Solver,N/A
36,W1_SEA_DEN,1,6,0.7,0.3,Non-Solver,N/A
37,W1_SEA_DEN,2,2,0.7,0.3,Solver,N/A
44,W1_SEA_DEN,1,8,0.85,0.15,Non-Solver,N/A
45,W1_SEA_DEN,1,8,0.83,0.17,Non-Solver,N/A
46,W1_SEA_DEN,2,6,0.4,0.6,Solver,N/A
48,W1_SEA_DEN,1,6,0.65,0.35,Non-Solver,N/A
53,W1_SEA_DEN,1,4,0.6,0.4,Non-Solver,N/A
54,W1_SEA_DEN,1,2,0.5,0.5,Non-Solver,N/A
55,W1_SEA_DEN,2,8,0.3,0.7,Solver,N/A
56,W1_SEA_DEN,2,2,0.44,0.56,Solver,N/A
60,W1_SEA_DEN,2,8,0.09,0.91,Solver,N/A
61,W1_SEA_DEN,2,6,0.3,0.7,Solver,N/A
62,W1_SEA_DEN,2,2,0.49,0.51,Solver,N/A
64,W1_SEA_DEN,1,2,0.5,0.5,Non-Solver,N/A
65,W1_SEA_DEN,1,6,0.46,0.54,Non-Solver,N/A
66,W1_SEA_DEN,2,6,0.49,0.51,Solver,N/A
73,W1_SEA_DEN,1,8,0.75,0.25,Non-Solver,N/A
75,W1_SEA_DEN,1,6,0.66,0.34,Non-Solver,N/A
76,W1_SEA_DEN,1,8,0.76,0.24,Non-Solver,N/A
80,W1_SEA_DEN,1,2,0.58,0.42,Non-Solver,N/A
81,W1_SEA_DEN,2,6,0.31,0.69,Solver,N/A
82,W1_SEA_DEN,1,8,0.67,0.33,Non-Solver,N/A
83,W1_SEA_DEN,1,8,0.69,0.31,Non-Solver,N/A
84,W1_SEA_DEN,1,6,0.49,0.51,Non-Solver,N/A
86,W1_SEA_DEN,2,6,0.25,0.75,Solver,N/A
87,W1_SEA_DEN,1,4,0.4,0.6,Non-Solver,N/A
88,W1_SEA_DEN,2,6,0.38,0.62,Solver,N/A
89,W1_SEA_DEN,1,6,0.55,0.45,Non-Solver,N/A
90,W1_SEA_DEN,1,6,0.6,0.4,Non-Solver,N/A
92,W1_SEA_DEN,1,4,0.31,0.69,Non-Solver,N/A
97,W1_SEA_DEN,2,6,0.61,0.39,Solver,N/A
98,W1_SEA_DEN,1,6,0.64,0.36,Non-Solver,N/A
100,W1_SEA_DEN,2,4,0.32,0.68,Solver,N/A
103,W1_SEA_DEN,2,4,0.7,0.3,Solver,N/A
104,W1_SEA_DEN,2,8,0.28,0.72,Solver,N/A
105,W1_SEA_DEN,1,6,0.7,0.3,Non-Solver,N/A
106,W1_SEA_DEN,1,8,0.86,0.14,Non-Solver,N/A
109,W1_SEA_DEN,1,6,0.64,0.36,Non-Solver,N/A
110,W1_SEA_DEN,2,2,0.38,0.62,Solver,N/A
111,W1_SEA_DEN,1,2,0.62,0.38,Non-Solver,N/A
118,W1_SEA_DEN,1,2,0.76,0.24,Non-Solver,N/A
121,W1_SEA_DEN,2,4,0.52,0.48,Solver,N/A
